ID	X	Y	Width	Height	Text
009db11e-c8b4-4de1-8240-82e75b55beeb	45	18	173	71	bowen
f22b71fd-f6b1-4062-b88e-6eb72e290f8d	226	19	52	69	o
c2aa184c-29bb-42b5-a091-1a777600d14d	287	20	242	71	authority
8fb53ecf-6642-48ad-9cdf-810e9c8b573f	537	22	61	69	of
2750ca5b-21fa-4309-9986-3b5401227738	606	22	95	70	od
0eb4c435-2317-45cf-a629-e6721f616b4e	709	23	70	70	b
cc4b1c19-7421-4a32-bcc1-dadff14a5ccd	787	24	104	70	they
3369e97f-cfe6-4df2-8ae1-747772660a41	899	25	121	70	had
d8c18493-c9ed-4f4b-b5ac-dbb9a91088c0	1029	26	139	70	been
219e2acf-01e4-42dd-af61-437d6011ef1b	1175	27	251	71	leaching
92268dee-21b0-4e9b-b967-a37fcb5c7c54	1434	29	104	70	the
ce012a82-dd9d-4d48-a5e0-46803f2a20e9	1546	30	156	70	word
37300da0-eedb-45fd-b168-df5449ca7024	1710	31	44	69	of
4e8daf89-5676-481e-8227-78380629a900	1762	32	147	70	for
14a1a290-65bf-4ad7-b7fe-09b07d18bb4d	1917	33	42	70	1
91c88653-5c69-4ffe-bb3a-0e8494782a72	55	105	155	69	esthe
831f422b-60e8-4db9-8da0-570c518713d9	219	105	164	69	space
445187d6-f915-46fd-8983-a39c3ac06b6b	391	105	84	69	of
6ea71f05-d8f4-41c6-9d07-3ac5a8b4b10b	470	101	224	64	Lourteen
da489b9a-855c-4f4e-9cf8-1220b11b41bc	702	101	144	64	yeurs
33abc6d6-4244-4c33-a58e-474cf713cd6a	854	101	200	64	umong
31227b26-de4d-4176-b1c5-b9677e9576d2	1062	101	80	64	the
64b8d54a-22b3-4663-934f-c92934db37c1	1150	101	280	64	Samantes
79fda0e7-703a-4038-b246-91a6131288df	1438	101	210	64	having
5b742384-37fa-426a-b354-dffb7385926c	1438	101	210	64	,
71a69b34-867b-49cd-b6e5-2f004567830f	1658	91	117	55	hud
671b302e-df1f-4c7d-83de-5a2812a4ee33	1782	91	154	55	much
882a0ac8-547a-4468-9315-c9bae1001f9e	27	179	183	74	saccess
08d34909-5164-4858-b3dd-e944532b0541	219	178	82	73	in
447ddaa1-c815-4424-ab77-a795fb01f71a	310	178	219	74	bringing
d55e63a3-9731-411b-a6e8-15a806985892	538	177	165	74	mung
2118f2d6-8894-4bea-840c-2abcd047522b	712	177	64	73	to
d27b48d8-3564-47b2-b8f1-f85d90f2f228	785	176	82	73	the
0c7e943f-a20f-43df-8ebf-116aea0aeca1	876	175	283	74	knowledge
3e0973da-e2f5-49c8-aa91-05b37925200b	1168	175	55	73	of
2949e0bd-0fc2-4853-abf3-096019864f75	1232	175	82	73	the
11737733-3a7f-4826-a253-7ebf3187b5c1	1323	174	292	74	hullayed
67d04369-9c8e-427a-92b6-4b0b0374335c	1624	173	73	73	be
2efd1ca3-8d97-46fa-aa2b-d5bfc49fb341	1706	173	64	73	the
0f3aadf9-d1cd-4bcc-b02d-1d4508ec66d3	1779	173	152	74	foren
553e5023-511f-4796-8dd3-c7a33bb1429a	30	256	43	110	/
7d67f7c3-60e2-4ce6-857f-6c90c85f1b3b	85	253	125	111	Their
7a22af1e-ddaf-484e-8b69-a4b8d18838a5	221	250	152	112	monas
af5535ba-e563-4e42-9b83-4077abfca393	385	247	152	112	many
650176c9-e302-4575-ac9b-92f0713cef21	548	244	125	111	wee
32865aef-0ac4-474e-9a70-6ff90cad1834	684	240	207	113	brought
31a847f1-4332-49a8-984b-ab87472ef063	902	236	179	112	before
29abbb81-d102-454e-97a3-5d2599a8b492	1093	234	84	111	the
f020606f-1ecf-413b-a6db-282b48c56456	1188	229	220	113	altan
569b4b80-1e87-4888-a19b-67891ee10878	1188	229	220	113	./
48771f77-6a8c-49b4-a819-f0eb98890ce0	1420	227	98	111	Ted
44a644f4-dcd9-4164-894f-736dca4306c0	1529	226	43	110	to
f39d4ece-7117-426c-bd3f-8950268c62a6	1583	224	111	111	Call
