ID	X	Y	Width	Height	Text
c7165aa2-a21e-4077-8a85-c3d5790cb903	359	124	65	20	BOOK
46de1cad-6559-4b67-b407-f172230ba094	426	124	40	20	OP
e0caf882-1196-4377-8fb4-cbe0233031eb	469	124	73	20	ALMAr
4e7433f8-bd77-40ba-9ad0-c454e2da0d88	761	113	48	24	325
6e1f49ef-e4e3-4231-be08-c3b2151cb213	95	176	83	34	behold
53266667-336a-4ae7-b4e2-40dd7e92f343	95	176	83	34	,
b7bca4fc-cee5-4e56-a48f-3c5559f9454c	182	175	17	33	I
1d25750e-d8ca-4b0b-9481-87f45a6ae73b	202	173	145	35	remembered
6b61ec37-0130-426e-8cbd-8bfacb5b0012	351	172	50	34	also
ef1b2319-1698-457d-a592-e20d0303d017	404	172	29	33	to
886f49f1-49c1-4214-a4e4-4d47baa9c450	437	170	62	34	have
4a690918-0709-4230-96c8-cea53f61c6b3	503	169	66	34	heard
6a789754-5db3-4dfb-a763-169daee669b2	573	169	42	34	my
42a8d49d-af25-4968-8733-41da291ed43d	619	167	71	34	father
cf42f0e8-41cf-478c-b726-51c2a7925a96	693	165	114	35	prophecy
b91fafde-f21d-4650-96b8-101e7d1243b2	96	198	53	35	unto
862182e8-6d0c-4f31-975c-e5192aa35c8d	153	198	39	35	the
4ba80f73-5487-4354-b37b-1837b6ef38cc	196	198	83	35	people
e24abc09-d746-49ae-86c8-2d757aa1d9b7	196	198	83	35	,
706e78b3-b5a8-439c-848b-75e0509c11b2	284	198	131	35	concerning
755fa71f-bfb7-44aa-a1a8-0e3b63d8c1ad	419	198	39	35	the
d5af295f-35eb-4191-af33-48838dfc9200	463	198	87	35	coming
c89216f0-cf6e-490c-a749-75eef8cf1257	555	198	31	35	of
b3c6e3e8-88de-4e4a-b620-7de63270caa9	590	198	48	35	one
b7e259e5-abed-455d-9ff1-0923a10ed076	642	198	74	35	Jesus
e1b8dbdd-f852-41d9-a5c1-058836dae244	721	198	84	35	Christ
b804ca8b-597c-4b01-8127-37ae2e6cdf77	721	198	84	35	,
d6260473-7d6e-4742-b80e-b5befc475a45	95	234	22	34	i
a1831fb2-887c-48a8-8de3-6750c543f530	120	233	46	34	Son
69ef1383-ead4-4b71-82ba-29d70b1be81b	169	232	26	34	of
3742180e-bf32-4e9e-9a42-2c5ac463a801	198	230	59	35	God
2a0698aa-a87d-4b42-acf5-40ee4bb26532	198	230	59	35	,
1873b1d9-8013-4dbf-85cf-a973927377c1	260	229	30	34	to
63cdb132-e9f3-4691-886e-a32ea4f0fc30	293	227	67	35	atone
39f6f8b5-bf40-4da1-ad50-bbdf3982ac1a	363	226	38	34	for
c9eccbcd-4b46-491b-a94b-99e323f5e5fc	404	225	38	34	the
a59bc1e7-bfac-49be-b035-1db830182b92	445	223	54	34	sins
9c240e9f-be49-4365-9674-99100f33e6e2	503	223	26	34	of
336d6151-d964-47b0-96bf-e9e3bfa69038	532	221	38	34	the
b05e8d1f-d958-4e35-8eff-b0ecf803c2a5	573	219	75	35	world
2ff78b70-a370-4d03-9ff8-674c29f19aa3	573	219	75	35	.
1a8f534b-053e-4505-93e9-bc4283713058	650	227	84	25	Now
0f964159-3f62-4568-ba74-38472f3330e8	737	228	27	24	as
87276646-9464-439f-8a4a-594a23cfb020	767	228	40	25	my
757552a3-f794-467e-8f5c-8af9870e9b0f	93	259	60	33	mind
1f31625b-318b-4e72-80e6-fc7137b735a3	157	258	80	33	caught
c5ec9ec1-0dc2-4fb1-b627-3004a1dce893	241	257	56	33	hold
75a4b888-45d3-499b-9b4a-527bf839f676	301	257	60	33	upon
98b8ceba-5f27-4972-b42f-f0239959ebcd	365	256	44	32	this
24e6e9e9-4499-4894-a898-1b5a9521ae21	413	255	104	33	thought
