ID	X	Y	Width	Height	Text
b05bc29d-9b54-40b4-bd46-7615faf816fe	0	226	20	18	19
17f0376a-b818-41ea-ba6e-7cf6b063b473	0	394	20	18	0
97c50266-159b-4523-af26-8100bbe0a70a	0	394	20	18	-
7a8f3488-7de9-4802-973f-dad9caa4a867	2	452	18	13	1S
1ce34484-7d3c-4218-b917-b9f81a4001c1	0	646	18	16	30
262e118e-9e42-4890-980c-2b63f4271f44	0	752	18	22	кі
9aaaa2f9-c977-414d-be29-8de08c356d5d	0	1027	22	25	11
c0b1aaad-3063-40bb-abfc-4854033facf5	0	1060	18	22	i
356d8830-cbda-416e-874f-9b14634db7eb	0	1060	18	22	-
5d061f35-e565-494b-9e20-ed018776f224	0	1121	18	16	15
f2b98da7-9e15-429a-b04f-3328325890f9	0	1228	20	20	it
13dd2a17-924d-4a4b-a932-5e3b79be094e	286	136	69	22	BOOK
3939b705-1aa1-4dfe-b0dd-b0f7ca6cb111	358	137	39	22	OF
9cbd5951-5b2d-4a86-9a25-8837667a54d7	399	136	71	22	ALMA
32d58613-ffc7-49f9-9b7a-ee80bc53a417	399	136	71	22	.
94580479-f496-4b2d-bbff-57d8eaa06682	686	125	47	27	34
ea171cde-c10b-4c3c-ae83-2b4e3d2940b8	686	125	47	27	%
5a7dd6b6-07a5-44cf-a030-a3efaa212eb7	58	188	27	36	aad
31eba02e-86f2-42f2-9985-7d97ca55287c	88	187	97	36	stretched
a45cb6fc-caa4-4046-b1c4-866e059fbae7	189	186	18	35	it
6e216099-bb1f-4770-8127-436b14de3249	211	185	62	36	forth
d2585aab-a688-4d9c-b9d7-b0a619915e1f	276	185	53	36	unto
47c24942-36c4-4a1f-9ede-487dc00f72ac	333	184	70	36	them
5faa7369-9369-4fb5-b644-3345cd73ea97	333	184	70	36	,
75e2b2d7-059b-4263-9ad9-e2b60266633c	408	183	75	36	saying
0e6adbf0-71b0-4ba5-b378-a041ee39e32a	486	182	53	36	unto
2d040ab0-9395-4699-ae35-457fd42bcadf	543	181	57	36	them
7ad7b911-a035-4ce7-9f7e-fc06ba115795	604	180	53	36	with
0a27a271-e074-4ad8-bcd3-41f08ee1904b	661	180	14	35	a
3595145d-5be8-4fb0-9f5f-c9823282c03c	679	179	55	36	loud
7fd444ae-e15d-4396-826d-8dc96ad78d8c	105	213	101	36	saying
b6e856ca-01ef-4529-975c-e6bc1543b9f0	105	213	101	36	:
9fac9f5d-91f2-4ea1-9943-50ec9ba78a7b	210	213	70	35	Even
2e14b156-f5e2-457e-bf27-4600b8ec9d78	284	213	35	35	as
d9ac2b3c-d699-477d-b923-9c5a763409e9	324	213	48	35	this
77d779be-8d88-4541-832f-6909b427a951	376	213	70	35	scalp
93a529b6-561f-4e86-bfc6-afd746a92923	451	213	57	35	hath
a7b8b03f-0cb0-4d2c-8c7b-246033475039	512	213	74	35	fallen
09f8503f-63cb-4828-a601-242121b9a9be	591	213	26	35	to
6809cf34-1b89-4dc5-a119-427e99c7657c	621	213	35	35	the
ded7c007-8e5c-452a-8738-ab9f734a27cb	661	213	75	36	earth
cf26e498-0379-4b76-985e-5810ff5c221d	661	213	75	36	,
d78be324-f87d-4ca4-b452-a6afcf9569f0	60	226	47	52	rich
786de866-fb0a-4792-b271-633d9775f3f0	114	226	20	52	is
28f9e372-ab6b-4f3b-b80f-798260d95c6c	141	226	34	52	the
ad703dfb-365c-4001-8ce1-7b0d6dddd1c7	182	226	61	52	scalp
ddb64a20-d1b6-4043-a1b0-74cea3afc1c3	249	226	20	52	of
8c000ece-e821-4174-b9ee-8599782abac0	276	226	54	52	your
9fbde73b-71d8-4bc2-810b-f1b1946dca17	337	226	74	52	Chief
636161c0-3fe1-41d2-9e36-c80da0e59b0f	337	226	74	52	,
74d05605-4e32-4604-b620-4db470953b5a	418	226	20	52	so
770600c6-1d3b-41f4-ba9c-358c063070cd	445	226	68	52	shall
5ce210c7-3d07-4649-b1d1-ea4113e9c928	519	226	20	52	ye
6116feb9-c0a9-4739-ab2e-2a45f8bf159c	546	226	40	52	fall
774e535f-941c-4038-b095-e99598df3c7b	593	226	20	52	to
ad74a228-8898-437c-9ead-6283e59b1ff6	620	226	34	52	the
1161b641-fbbf-4dcf-9a21-946262e01a17	661	226	75	52	earth
9fe8323f-0f2e-48fc-afb0-1c976ea299a9	60	274	51	35	except
c91dac3b-726d-492b-a861-f4fc1eac4fe3	115	274	26	34	ye
ead7c7df-1e49-443d-9990-8c7f07bffc52	145	273	51	34	will
4d1abfb3-f3e3-4442-aafb-d769108c5dc6	200	272	85	35	deliver
abba267d-aca6-405a-8591-ea3c1233718e	290	272	34	34	up
ca261c1b-e4f8-407b-a303-927da39944b7	328	271	60	35	your
60c147d0-b384-4286-b605-61520a749d2a	392	270	107	35	weapons
3b2bff1e-aac0-41f9-af63-bbd4c6abb59a	502	270	26	34	of
03923141-9a0b-4a38-8670-a24e7211ff80	532	269	60	35	war
be0c6b2d-05ed-4039-bbaa-24b247bbdfe5	532	269	60	35	,
83f9b74d-5103-4ba6-9efa-7e2b242e0c7d	596	269	51	34	and
70252809-938f-4266-a8b4-a6a2de010dee	651	268	85	36	depart
12be92a6-640f-48b6-8123-a64cf291165f	651	268	85	35	,
5ddfabe2-429d-41ed-9165-25d3b715ac2f	60	300	34	34	with
78eedca8-b282-4952-9e8a-c47bea55a46e	98	300	13	34	a
65c5f5a6-ec65-4a35-8865-3b1001f07470	115	300	98	34	covenant
e49bcbcf-26a2-41e4-ab01-7ace653c43c4	217	300	21	34	of
76ba477b-eb86-455d-abad-90be46071be8	243	300	77	34	peace
0dcb08bd-a99b-4997-8664-77d8ab0f613a	243	300	77	34	.
cb397980-472f-4bfe-a835-77bf152eb402	74	330	46	34	Now
39206958-5c3e-43c5-9108-2153797831d2	123	329	62	34	there
f8297364-6bbb-4dc8-897f-06f929243b78	189	328	58	33	were
a8740ab5-ff20-4a47-9a01-462d5294aba7	251	328	75	34	many
99f09042-73f7-43c3-88a0-53f9d8ecd55e	251	328	75	34	,
360369fa-f9c3-45a6-b81d-7b72220a168b	329	327	66	34	when
9a874e70-fa37-4f01-b84e-11a7f4300824	399	327	54	33	they
5d08c3c1-fc92-455e-b594-ef82959a91dc	457	326	70	34	heard
5668332a-50b6-4948-a057-cf6b1d081b87	531	325	66	34	these
cf136fe0-5133-41af-ade0-ca2289db3f03	602	325	83	34	words
6e1d7a3c-f390-40fb-b4e0-bc18376eb2c8	602	325	83	34	,
