ID	X	Y	Width	Height	Text
d3fa5aef-afc5-4822-9063-6b50dde082de	228	108	48	12	BOOK
b347998d-6aec-4cd3-9543-05c9dcb31e79	278	108	29	12	OF
c491500e-3465-4f57-8a94-885138190a05	308	108	73	12	MOSIAH
37d1bfe0-2e6b-48c2-9bad-1896131690c2	308	108	73	12	.
d55f23be-67f6-486d-be17-e55420bd1224	508	102	34	20	173
6daab593-14d7-4ac9-a2b3-f260ea1e0b5c	230	142	113	22	CHAPTER
74742b8a-2432-42e4-a0e8-e744370218ea	346	142	28	22	II
f8c39ccf-b7e0-4d7b-a24b-2a911fa0abb2	346	142	28	22	.
7c2fc4a5-4f67-48bd-a9f9-6d99acc77c13	88	182	39	24	AND
aa8c8bd9-7267-4a25-8bef-64ca0c8e4c81	130	182	45	24	now
9ea0ca99-8154-4cd4-9b88-622a8b079e22	130	182	45	24	,
4332bbb8-3d7f-4776-85f6-99ed094b5a28	178	182	18	24	it
99b499bb-e49a-4396-a746-fce062fd000b	199	182	48	24	came
2b72d19a-cd13-471b-9b32-80fd88eca1fc	250	182	18	24	to
ab04d028-3dc3-498b-a830-c3a8b736a066	271	182	42	24	pass
535cf038-5772-45a9-8bd2-042f4f39f697	316	182	39	24	that
3f9ddab5-f8b7-46fe-bb25-2bcf399bd838	358	182	48	24	when
21cd267c-dc98-427d-8312-41c9489781a8	409	182	42	24	king
189c0360-8c09-4b13-83fd-c63779044066	454	182	90	24	Benjamin
102f2f87-6d9f-4642-ab25-680b21219bcb	68	200	36	26	had
defc8073-1a13-4146-84c4-96559361767b	107	200	49	26	made
0b2da4d2-05b8-42af-acdf-eb35f6116c7b	159	200	26	26	an
9f04387b-6a91-4edd-a5c3-6983fc8909cc	188	200	36	26	end
d32aba21-25cf-4ba4-a7df-cc7dcab6ce20	227	200	23	26	of
df0a019a-6eff-4535-8b57-83fc9107da59	253	200	84	26	speaking
41792dd9-e00d-4164-b50b-2d0c0156985f	341	200	36	26	the
7c7c6482-55cf-40c1-bf66-196438f697e8	380	200	58	26	words
174cd6b6-50ec-47f7-8648-01d0d9ebe931	442	200	62	26	which
dbe85ee9-0c05-461a-8ac1-36296b702435	507	200	35	26	had
a75cbbc9-3112-4bfc-b4ba-1e75f8414320	70	219	41	19	been
f72103fb-e811-4eba-bbe9-644a3f39ad59	113	219	81	19	delivered
a8c1058d-6bec-44c0-87e9-326d237bb098	196	220	43	18	unto
86e386b8-3c6a-4567-82be-02a3bba2cb86	241	221	38	18	him
8e206759-3d2b-40dd-a900-6f8377ffaf20	281	221	25	18	by
4a714686-3939-4cc1-b7f7-17af6f41b71b	308	221	29	18	the
f1b24132-0d9e-4975-9c18-9464e5a0cffa	340	222	52	19	angel
ef8e7543-1442-4b40-9af4-6af1886ea375	394	222	20	18	of
17c0cad9-d9ed-46f7-9ea4-ecf293d2c1da	416	223	32	18	the
233d7553-17a0-4592-ac57-1f5a6b697874	450	223	50	19	Lord
d34fca11-b924-40f8-9361-a34b45ae9e08	450	223	50	19	,
5ad9ac4c-c2ac-4d81-9805-7e67e577a9ae	502	224	38	19	that
3b46ff7f-69b4-4201-b13f-5e90d497ee9f	502	224	38	19	.
1090b23a-806b-4b53-96e1-a1a3eb5bc4a0	70	244	22	16	he
ed40bfe7-89db-4d35-9f88-4b40810a0a9b	94	244	44	16	cast
3ec07e4d-b020-4330-b060-7e487673a715	140	244	28	16	his
1d6be38f-81d7-46f6-8b9e-2bd29cf2241a	170	244	44	16	eyes
746f0f12-a8a9-4412-9bfa-151ded7dc34e	216	244	60	16	round
8f8767ee-35c8-4b80-b28c-ba3ce880ec9f	278	244	56	16	about
696250fe-9b09-49f0-9dec-c4681d5bb398	336	244	32	16	on
cbc559d2-3454-4227-8c23-14b448381b55	370	244	36	16	the
5656d379-9d21-482d-89d5-7dbaf6d8caa9	408	244	96	16	multitude
06dfae1d-08e9-4e16-80d4-1d1e2bde22f0	408	244	96	16	,
f24bd776-9170-4b00-9b70-48510f3d66f5	506	244	34	16	and
1f999df9-5cb2-4906-8c8c-45325411c76f	68	262	60	20	behold
7ff4d1b2-64a9-4cfb-abc1-6dbba623c2fb	131	262	40	20	they
d444513a-619f-49c4-bec7-bff63220ee7d	173	262	35	20	had
840423b1-a3f0-4cbf-a114-5da6d54f8547	211	262	53	20	fallen
34560081-a465-44cb-b099-da12792ad286	266	262	20	20	to
e04f0769-ca29-4f3e-add1-f257367c19c2	288	262	30	20	the
1e9f544f-ae8d-4378-9308-d48bf31ba13e	321	262	55	20	earth
fa9ff747-cc52-4cc5-bcef-fc70ec3470de	321	262	55	20	,
8b575d45-993c-4a26-9543-bdb6be2d0169	378	262	30	20	for
102ad19e-ec34-4b5f-a67e-3b48dc0dbdce	411	262	30	20	the
f1854909-b3d8-4d5a-bcdb-a109dea7d530	443	262	38	20	fear
a8f24210-8bbb-45d4-966a-4109db26d0a3	483	262	20	20	of
2ebdd430-f940-446a-8830-5515d806c25e	505	262	31	20	the
698de389-b911-4b4e-b630-e5bc23c647c7	68	280	49	26	Lord
d6f568ac-0d97-40bf-91fc-25d90bba9437	120	280	39	26	had
5a802ef8-3610-4e0a-bff3-c4ba10f87206	162	280	52	26	come
263c01bf-3eaa-4b63-b3c6-c63e0c3f235a	217	280	52	26	upon
ca8a98d7-e390-45f1-ace2-100b78c7454f	273	280	58	26	them
f3ac2936-e2b7-41d3-867b-b2e5cddab514	273	280	58	26	;
d42129c4-51a5-4c07-b1f4-42a48b3ed6a3	334	280	39	26	and
ccb8e2cb-00dd-4a39-a643-bc5aacba3704	377	280	49	26	they
f4f8371c-45e5-4b96-a991-519c7c93f927	429	280	42	26	had
0981faef-a5bf-40b9-9bb8-da4e44c20d56	474	280	66	26	viewed
e4ec9ad8-74eb-47f8-b864-d1f80d4a350c	70	296	95	23	themselves
194abee6-d928-431f-b78d-7a39c1d928e1	167	297	21	21	in
61ffb474-93f7-4def-a91a-c83524ecd618	191	298	45	22	their
