ID	X	Y	Width	Height	Text
dae88d1a-c670-4cad-b8ba-ca05ebd4287f	139	131	59	35	358
972d4b82-e94e-4e4c-a81d-8cbabda5dd11	431	134	99	32	BOOK
a82ec819-f832-465c-9630-2a8f69795ce4	534	134	52	32	OF
9d0b770b-1803-4dcf-8d8b-d171d4206ccf	590	134	101	32	ALMA
521b7659-65aa-4633-ae5b-b12b97e7344e	590	134	101	32	.
0ccfcf2a-d3c6-4a2a-99ce-c6dd46d65bde	783	133	107	35	[
577c8f3a-88ad-4bea-94c4-816738812ed4	783	133	107	36	CHAP
de399733-36ca-49f8-8075-f0058ffdd128	783	133	107	35	.
cc6d90a2-4261-461f-9705-4f9a2e3400c9	893	134	93	36	XXIV
df3f6f46-b9c7-4ac7-892c-d79900c1ced4	893	134	93	36	.
88762bf6-cd53-486d-a996-4944dad3e4d9	149	191	160	40	Lamanites
ce19fe94-60f1-47ad-8e3a-e4adca214af2	314	191	95	40	began
16a1229c-88a2-4e98-bb40-04323c8bab65	414	191	35	40	to
28d0da3b-2a57-4a6e-b043-fe070d93f417	454	191	60	40	fall
1edce501-8c99-4eec-ae1d-ce76dabef0c4	518	191	80	40	upon
9941c910-6729-4427-8da3-0dad1a762c5a	603	191	90	40	them
1ebf69b1-6284-48fe-8b69-94a12cdcf202	603	191	90	40	,
a71ec86e-8f45-4f90-8b14-a45822b31d6a	698	191	65	40	and
9ca58dd4-1a08-4018-96d9-985d60faaf87	768	191	95	40	began
3e21abe2-0a3b-4e4b-977d-84ba5f2397f2	868	191	35	40	to
2543dd28-0a92-41ef-bde8-c8cde9a447b5	908	191	70	40	slay
9ea40a8a-4df0-4d7e-a75f-e20c7ac3e3ff	146	223	84	32	them
8b098be4-c2e0-43dd-ae14-e79c477a16a4	234	223	76	32	with
ffea49a4-acc4-4423-8abd-5ad70cad2f50	314	223	56	32	the
df4941f7-b7d2-4ab5-95eb-ecf13bd01a8d	374	223	117	32	sword
af40d0ce-7c2f-4cbd-99f4-4b472c97adc9	374	223	117	32	;
04b808cd-f6f2-438a-ab0a-902977e08543	191	253	60	40	22
7d9593ef-4a40-4619-88c7-b042d0d0f83e	191	253	60	40	.
0db0de76-7228-474e-917e-4a8fc20d3e5e	256	253	70	40	And
773979e2-13db-4cb1-9001-e70349b7e409	331	253	75	40	thus
e6a33929-2ee5-47e7-8718-d75202eac9cd	411	253	120	40	without
e276b703-c572-4f07-922d-bb15e6f3204f	535	253	130	40	meeting
1fa710d2-f179-4a25-a869-bd54426dae2c	670	253	60	40	any
e941ef89-b7c9-43fa-988c-62ddf66e1fac	735	253	165	40	resistance
