ID	X	Y	Width	Height	Text
0f5e0241-8271-42da-bbd5-90e403da4b38	45	129	92	33	CHAP
6ff68e1b-5dd9-4cff-9baa-3155025d8f4d	45	129	92	32	.
79e1e4ec-6d76-42d1-9261-d2abab267a1c	140	129	60	32	IX
290b7ba1-2a85-410e-87fd-4f01e7ba63f7	140	129	60	32	.]
8c5ce333-864f-4c8b-a904-2b715451dc4d	314	119	91	42	BOOK
1b228ba8-86fc-4f55-a8e2-63d02c388772	409	123	44	40	OF
ee3f883d-1506-4326-aee0-f3eb0024277d	456	125	157	44	MORMON
05bbcf21-d97d-4850-b721-73232fec38f9	456	125	157	44	.
4eea000e-5f39-4e1f-ad28-4aa3a4a0e8e8	827	131	57	40	657
64e4e107-c021-43c0-a348-f954c284efaf	49	185	42	38	ye
4e760251-f8a2-420f-9022-65350719b1f9	96	185	143	38	ashamed
c8c91283-7f9b-49e6-b189-226b1d600655	243	186	46	37	to
37101b17-ab20-46a1-8eb0-af1fc2772dcd	294	187	79	38	take
5701fc53-514f-41bc-9378-112746ed4c66	377	187	88	38	upon
7e0c7642-ff8f-47a7-a751-959e6a7e528a	470	188	65	37	you
17ba6081-453a-480c-974d-c950c9765dc3	539	189	65	37	the
26e7e1c2-1091-4155-90d0-05bdc59d8e0b	608	189	97	38	name
c6f18593-82d3-4e1a-85af-1657641a8f33	710	190	46	37	of
f978f991-bf9f-46d7-a410-ae1ddc05a05c	761	190	121	39	Christ
cd6f1b85-f7f9-4c68-aa99-93cd2ad2a70b	761	190	121	39	?
c00986c9-5b64-4c8d-9a69-8777d28ae3c9	49	208	79	41	Why
a5f930e7-3c85-4cf1-83d8-34c10e494579	132	210	40	40	do
e5ca1a7e-53a2-4cae-9602-0725679e8684	176	211	64	40	you
0a56235c-41a2-49cd-bda4-d4067a5cee96	244	212	59	40	not
57a9eb85-5591-4c4c-bb69-aadf5e6796ae	307	213	88	41	think
976129f9-9f71-47cc-a3e8-ca56732c5725	400	215	74	40	that
922a867f-b6c6-47df-bba9-4cda5411bd09	478	216	118	41	greater
290077c6-f75c-46a5-90f3-ddd5f592a467	599	218	30	40	is
f786af43-71da-4380-9154-a82e752c1406	633	219	59	40	the
b7bc46bb-1492-4cc6-b096-3e377c7c717d	697	220	88	41	value
bb112ad7-db8e-4a66-8162-ad48e065f9e3	789	222	40	40	of
7baefdfc-ca07-4d23-8d7c-c5bc34e7a4c4	833	223	47	40	an
30c9f30c-1090-4947-8e52-05270d344d07	49	242	112	35	endless
13f49d7d-24ab-4201-aec6-d8bd06f91e4e	165	244	156	35	happiness
d3d931cc-13d4-4560-af80-2b25bde04003	325	247	81	33	than
0a7e4932-82f3-44b7-aadd-13343bea2d4a	409	248	73	33	that
d6a7de48-d670-4e49-bd24-6d606b61e00f	485	250	112	34	misery
25579472-a482-4b62-8ad4-09b6e319e627	601	252	100	34	which
6666e42f-07a7-4a12-91bd-b167e849c85c	704	254	96	34	never
d77e105d-b03c-4a6a-a5c6-77d23d678e72	804	256	76	34	dies
1f3a375b-6128-4c4a-b735-52b3c82a7735	804	256	76	34	,
1db9010a-d52f-46dd-b457-6e67ea75c2b8	50	283	122	27	because
a0c8954a-6ba1-4d36-ac6b-b80e5ae0ed76	175	283	37	27	of
e8135a53-db64-4049-9a55-24162319c176	215	283	57	27	the
3c4ffb30-73d6-42ac-893a-6276b62fff0b	276	283	105	27	praise
9db04825-05bd-4473-84da-8a1c96fa3d84	384	283	37	27	of
ffaefa03-8deb-49a8-bedd-572caedc363c	424	283	57	27	the
3a33debc-e76c-475d-965c-ee36b67a51e7	485	283	115	27	world
a5f1ac34-206c-4132-b17d-2c011348cb32	485	283	115	27	?
dbe4d17e-f727-447d-a747-ad5d7d3c5a68	91	309	61	36	39
be226bd5-eac3-4118-b6e2-a5f367209a31	91	309	61	36	.
27f8cc51-5a2a-4434-9a19-fadf6c999519	157	309	88	36	Why
89f14509-ddd4-4ff9-92e0-204b7e0bfef6	249	310	44	35	do
cfa24bd1-dee1-48f6-8b40-ab26e8d8d5f6	297	310	44	35	ye
231cc827-16a8-4758-9a02-da4a83b02323	345	311	101	36	adorn
db27456e-00e0-4b7c-8fa6-48abfaa9e4b5	450	312	166	36	yourselves
cbf82d59-e911-4a0f-9235-535b1d9684cb	620	313	79	36	with
aac3370e-1697-433f-953b-b6021f8b38f8	703	313	75	36	that
aa5f3694-a43f-456a-900b-36215d77cec3	782	314	95	36	which
685948d2-636f-4956-bc8c-294db14758f5	44	342	73	35	hath
dee2a666-fdb9-43bf-a5b8-b64495cf738d	121	343	43	34	no
0856351c-7609-424e-a8d2-17be436f1d85	167	343	68	35	life
4d39e360-c568-4f2d-b613-3b4b10ac9ac7	167	343	68	35	,
5ae5b8b8-b2b2-4541-86e9-13808c005ab9	240	344	64	35	and
4cbcb793-4ae4-4bfe-9119-7c9efd6a7f18	308	344	51	34	yet
1208734d-849a-4758-b2c3-258ad90cefb8	363	345	94	35	suffer
3d3dda77-bd10-4afa-982a-209dbfca9f1b	460	346	51	34	the
c3d58f31-e705-4715-8ed7-9143a9e098f4	516	346	128	35	hungry
6935178b-675b-4428-a946-912cf0b5c365	516	346	128	35	,
92da5940-3d7a-4c29-9518-804ba52905fa	647	348	64	35	and
501a050f-b6c4-4cc1-83d7-73f36ba4e185	715	348	56	35	the
acabbdc7-8587-4db3-93fc-dfd925c69161	775	349	103	35	needy
1552f98c-2e7d-4017-9134-d45946e023d4	775	349	103	35	,
a907b88a-fe3a-41f5-a85d-164038e1617b	47	374	61	35	and
d48cbc12-b384-49ff-89b2-6cf6d6de7b60	113	374	57	35	the
f0aee924-83fa-4acd-ac16-f5135259f8b5	174	374	105	35	naked
9cfa0017-89d6-402d-aff9-2acdc240ac05	174	374	105	35	,
ea55039d-f426-4f07-900f-37dceb5541d2	283	374	66	35	and
07fda635-baf9-4d39-a98f-d693172eb845	353	374	61	35	the
692472a7-7147-4d79-a67a-c8f09852c332	418	374	74	35	sick
e8474337-6df2-485e-90b6-58fdec353a9c	418	374	74	35	,
5dd697d5-33d0-4cdd-bab8-46731eeca30a	497	374	66	35	and
f8df06e0-4991-4f92-8813-34129309669f	567	374	57	35	the
883d3a5d-2dfa-425a-bade-8b84d714ddfa	628	374	127	35	afflicted
e480fb8f-929b-4ade-ac42-8384222deb55	759	374	39	35	to
f9c4e654-3844-404d-887a-db393e60431c	803	374	74	35	pass
03b86bd6-1767-4c20-9121-ede38c95ab54	47	406	40	32	by
12a860d8-7bf7-4abe-981b-44bb4d23b7fd	91	407	72	32	you
a5c78200-affc-4db1-ad80-dced71d05e14	91	407	72	32	,
65c7f4c8-e534-426f-b338-c0a188597c15	167	407	64	32	and
22f7a9f4-a83b-468d-a28d-770f27dde1cb	235	407	104	32	notice
11fd0f51-d029-4aeb-b667-0e6279ff98a3	343	407	88	32	them
caa52edc-d742-4296-82fd-c5a14946055d	435	406	76	32	not
ba97f1d8-7149-45d8-821b-89492ab785a7	435	406	76	32	?
c3c0022f-d81b-48b5-86f5-ec92a663ee5f	87	434	52	32	40
06fe7468-4725-4776-abf6-10ddd8f5f084	87	434	52	32	.
a4746483-5ec3-4604-be6d-78511722a439	161	436	70	33	Yea
e07d916e-acb7-4983-b636-819177229bae	161	436	70	33	,
8f34d320-6a94-4f05-9380-2ae3e3ae5a5f	235	436	70	33	why
1ea8ae1b-f982-47c7-98ff-88868c570573	309	436	45	33	do
0f1394b9-22c9-456c-aa34-5fb88baeb0b9	359	436	45	33	ye
2cc62b42-9dd4-446a-b7bb-72bcbb510bf0	408	436	82	33	build
232b7902-70ea-4241-9ddb-5c47cefe0956	495	436	45	33	up
856291f9-c097-441a-9388-18dce63f9808	544	436	78	33	your
ddbd736e-4464-49b4-a0f4-a6e4250bde0f	627	436	95	33	secret
1a95d06d-375e-4b6b-b65a-46f3bda253df	725	436	151	33	abomina
715dc837-726f-4a9d-b5e9-a31c6a411817	725	436	151	33	-
5326007a-87ca-4adb-a19e-7b7814d4ace3	42	468	80	32	tions
904785b3-7169-4f38-a21c-11a7a7c85485	126	469	36	32	to
6febe1b7-f086-4493-b37a-7c675badd80f	166	469	52	32	get
af4283e7-5e14-4ed3-9caa-e32835617339	222	469	80	32	gain
758e660a-71b0-49b3-8f12-f6fff2f414eb	222	469	80	32	,
a998294e-3c31-4c3e-9685-8ba6953da41a	306	469	68	32	and
be5df3f9-cbd6-4d58-9f9f-8a0e80e63fd0	378	469	84	32	cause
ab1f0fca-3ca9-445f-83f9-c33fe5aebb2b	466	469	68	32	that
5d625a11-6571-4e31-9098-df0ddddd7f50	537	469	120	32	widows
bf9d3fe2-720f-499e-8a53-a6bfb816dd89	661	469	104	32	should
145d2a02-786d-436f-947e-11fe1a74a04a	769	468	103	32	mourn
bd6d1467-ed3f-4582-9466-ef1d1931d23a	45	498	103	33	before
ece54379-8b0d-42d3-ac65-d8a1f32381ea	152	498	62	33	the
67d85b34-3f5b-40d0-9e81-81ce4ed7e7d7	218	498	95	33	Lord
7360b8ab-ae79-4311-919a-e6ccda88e2b1	218	498	95	33	,
ce8e32cd-52e1-41c1-8e5c-2a2d1fcacabd	317	498	70	33	and
4fed07c1-862c-46e9-a2c0-62ce5e2c9911	391	498	74	33	also
2471191e-d51e-4d47-bec2-1dbe5ec47f1a	469	498	136	33	orphans
3ed59dce-8dc7-4f74-a2dd-c3349f6b1ff8	610	498	41	33	to
5662c6f4-989d-45b7-87ed-69b1da749ae3	655	498	115	33	mourn
7ba3896d-daac-4ee7-acab-b25599a0620f	774	498	100	33	before
93527bde-2917-42b8-9cec-1884a195db31	42	525	50	37	the
4a9f7e3e-3743-4359-8ffa-185a1eabd0af	96	525	95	37	Lord
7a096c3e-17bb-4bc1-bbfe-21add67b3712	96	525	95	37	;
9208a1b1-9d7e-4aad-bfac-8894e168f5de	195	526	63	37	and
72eec745-0306-4ae1-af3b-88e91439cab7	262	527	68	37	also
853f2836-ca0c-41cb-a543-1f8951148685	334	527	54	36	the
8f30015d-0176-4a87-99e1-ea30bbe4e5a4	392	528	90	37	blood
0f529740-f057-4a65-baf7-563d8050e0f1	487	529	32	36	of
0d0690df-4b3e-4740-9838-b0e5615d070d	523	529	81	37	their
9c4dc622-a06e-4dca-b774-99c68ded8c8f	608	530	117	37	fathers
9fa32115-a5d9-4544-903c-5e76d38d3f40	730	531	59	37	and
1ded7cd2-629f-4c99-97cd-5f8970e914aa	793	531	82	38	their
dd232473-4038-4fab-9035-835e0fb33dde	42	558	152	42	husbands
e685cc9e-739e-4304-800a-f96f8bf126c4	199	558	37	42	to
062a576e-fb8e-4563-84fe-f58baae1cc61	241	558	58	42	cry
6f19b97b-02e3-4b7c-9384-a18a1f2beb1d	304	558	79	42	unto
6cb23963-add0-4e1a-b937-7a988259907f	388	558	58	42	the
47e82605-5f63-4f24-a075-44f1be463127	451	558	84	42	Lord
392f4075-c943-4ee2-97cb-829ec5a9244d	540	558	84	42	from
fc36eb56-ba4b-42e6-bd3c-4b5871d47e76	629	558	52	42	the
2c796ce7-44a2-4ce1-9f9b-d07ee599c954	687	558	126	42	ground
353e1061-8aae-4ae3-a06a-5e2e327d79f5	687	558	126	42	,
a314b8aa-aaf4-4b1c-a036-a029e0e6a3c8	818	558	59	42	for
b03698fb-2f50-457c-b7be-f789d142bae1	42	592	159	30	vengeance
ba53b085-5475-490c-adee-bf0a8178c055	205	593	87	29	upon
62a0c350-222d-4bd1-affe-2089cd0a853f	295	593	80	29	your
a6a83df2-b141-4170-8caa-7ceff9e8573e	379	592	109	30	heads
c6e2412d-bdbf-436a-9926-e86818701d7c	379	592	109	30	?
ae6ae06f-e572-46f9-8d3d-07d3f4e98257	84	620	63	42	41
aadd1431-c468-40ca-8538-4ad3fe395fdf	84	620	63	42	.
1e400312-7868-4314-a7c1-4b7875ae4c1b	152	620	126	42	Behold
491b2155-8c41-424e-bf65-b76dab8753ee	152	620	126	42	,
c16b236d-e15d-42bb-87bd-4540144a500d	283	620	58	42	the
3d76fcaf-f41e-4923-86fe-749bf1736905	346	620	100	42	sword
af9f1c86-c040-4331-bd68-40dbf022178e	451	620	37	42	of
12902b1c-fda9-4582-b9a7-80ec4b1a83a7	493	620	163	42	vengeance
7353b3e4-bd55-4b20-aed7-56785367486c	661	620	136	42	hangeth
93d863fc-9b62-4b27-a390-f09604de1bc3	802	620	72	42	over
5a9aee53-091a-429e-b2a2-289ca5c65f7e	40	652	75	40	you
2640cca0-1e64-4b9d-9748-2465f884a30d	40	652	75	40	;
e59654b5-7eb3-4a9c-a67c-3db2f323b91c	120	652	65	40	and
4dc92c97-78d9-4333-b9e5-c6787f90c6b8	190	652	55	40	the
4b94295a-32da-4c70-8627-bf4a5c8fafa6	250	652	80	40	time
147525f1-1b75-45c5-a53a-da2350fac576	335	652	75	40	soon
4255f2ec-2d33-4e89-b76e-6f68965c34ae	415	652	120	40	cometh
195780cb-94c0-44e4-b522-b08b9c42c9a0	539	652	70	40	that
8c8b2560-70c3-4808-babd-ebf68fbe7ad0	614	652	45	40	he
153f265b-b2b8-46d2-b22b-48bcd76376e2	664	652	150	40	avengeth
b600504f-97be-429a-9e94-71a74251a9a4	819	652	55	40	the
63c4ba78-e6c9-4e90-9a01-c73d4f9dbb03	42	682	89	42	blood
500de52e-a286-4b19-b85d-3f9c8f16c4eb	136	682	37	42	of
e016e49b-4c32-4761-a82f-a4c44b5ab49c	178	682	58	42	the
256be821-b413-4dd6-bf45-01becf28c567	241	682	105	42	saints
1e6b8127-4b05-4504-bf12-6195a332a153	351	682	84	42	upon
2b33cfb7-8ee1-4c4c-9363-c25d350ebbc6	441	682	79	42	you
3160aba3-a095-4cdd-b910-066ca088c005	441	682	79	42	,
c78d720a-beb6-4976-a96b-69d656b21f95	524	682	52	42	for
73431eb3-b0ca-401d-9b47-21a667a6d1fa	582	682	47	42	he
48988e2c-1071-489b-8c37-3f82d8129ce6	635	682	73	42	will
9b257986-3861-48d5-9078-cc03e6b5350f	713	682	58	42	not
34824109-b223-4bbf-855a-491c80cb4c4c	776	682	96	42	suffer
eab9b1be-52d9-4701-a83a-d6fbc7b50543	40	714	80	32	their
ec701795-b07f-4939-adbd-699d905acdc0	124	714	84	32	cries
522c79f6-b892-4393-8c09-af308ca711a4	212	714	64	32	any
19aaf196-f86f-4a2e-abf3-35f39ce03251	280	714	109	32	longer
2798f967-edc0-4db0-ab22-ca242b2b1f25	280	714	109	32	.
19751821-5c80-4d60-848c-a1f898892907	347	781	174	45	CHAPTER
5e58e196-a9bd-4249-bceb-03319d9aa196	526	781	38	45	9
c27afde6-bba6-4da8-aaad-b89e210d60a5	526	781	38	45	.
4b142deb-293b-4026-a55d-f8ecf14ae51d	84	835	48	40	1
ac2efaa6-d519-427e-b044-9e133c48bee1	84	835	48	40	.
13e3e86c-3541-46cd-a234-82353919a3df	137	836	68	39	And
a41976ee-2378-435d-a0a7-e0e2a7edf9f3	211	836	78	39	now
ee7a7083-6748-4e7f-8c98-fcfdc4455a11	211	836	78	39	,
bfd5f3b7-f4f0-4ffb-aee9-5d14515f859a	293	836	19	39	I
3636125b-1895-4189-8ae4-99d64265ebc2	318	836	88	39	speak
d540d67d-adf7-4069-9d1e-f0ffa79781bb	410	836	68	39	also
20796baf-eb35-491d-9b49-58308bd97010	483	836	170	39	concerning
5961116b-387a-4cda-ab61-c9fac1088276	659	836	93	39	those
61e3327d-6481-45d5-8079-7350bd401d97	756	836	63	39	who
04eca7a4-5a6e-43a0-b662-d10ca21edc8d	824	835	45	40	do
51d70194-1ce4-4a4a-9650-374e30ef47a4	37	862	59	33	not
d01223e2-f316-4396-ac2f-729766863166	99	864	117	34	believe
d6fa92ed-1a9c-4f6c-ac2e-ec6d148e5a62	219	867	43	32	in
92cf3ca5-26fb-4c78-8f9b-8b2b5e3f3945	265	868	110	34	Christ
1bb9d8fd-a7a3-446a-bcb0-71cfbcd430e0	265	868	110	34	.
65352bc3-3be6-4f60-ba2a-4fe7e73cfed3	81	894	48	39	2
0d716803-82be-4c31-9fbb-4d2c6824b784	81	894	48	39	.
215e03d0-598f-447a-9072-67423a93a92b	134	895	124	39	Behold
873e6ae4-0af8-4cb6-8487-3806abb4ae9b	134	895	124	39	,
c69534c4-7f2d-424d-bb3b-0f135f2103be	262	896	67	39	will
660d717f-ac0d-4942-b0d2-700aa7f58e33	333	897	48	39	ye
d67f8e3f-b9c9-4d3c-b6f3-abb1cbb565cb	385	897	114	39	believe
6a60dc17-fe9a-4674-89c1-e729446e571f	504	899	38	38	in
1b6c64b7-375b-4f2f-90c7-f9866d625d9e	546	899	57	39	the
2da95738-4674-4422-9049-70f835f41a0c	608	900	67	39	day
89000ef4-7ad8-49a1-85e7-fe75a6581cd2	679	901	38	38	of
e401574f-df28-4777-a94b-27b90fc3e199	722	901	76	39	your
14787b61-3b8d-4dc8-9c66-2f6f908933ae	803	902	67	39	vis
7892f4a5-45fa-40cf-ae69-8a7c2e99f871	803	902	67	39	-
706fd063-5745-41b6-ac73-3326b5f4cfeb	28	930	70	71	that
bd0dbdae-2c29-42ca-b34f-651ead374718	108	930	80	71	Breat
36e2a8e4-6290-43bb-94fa-366273cf89dd	196	930	53	71	day
c78e9187-5dcb-4246-b8ea-73f23e9e305d	258	930	80	71	when
14723dbe-5897-45d3-b3b3-8a52dc7227f2	347	930	62	71	the
19b966bf-5cd6-4267-95dc-a8b2773a8810	418	930	80	71	earn
3b9aa383-cf22-45bd-940b-fcae0f7c5215	507	930	80	71	sall
031a37dc-fa6e-4677-8567-2464e39af094	595	930	27	71	be
96daf3a3-f48e-4818-b4ae-1b8fa39d3399	631	930	98	71	rolled
39f5abea-3256-4b0b-9d70-d86a577c19a9	737	930	44	71	ta
f6c69e7d-0f3d-45c5-b7aa-891689f178f7	737	930	44	71	,
d295bbb6-9d47-46a6-a8d5-8388b1e57e3c	790	930	76	71	ener
34b9b099-36b7-4359-a64e-cfcb41b07ff4	32	988	86	77	meat
1c91c71c-7b97-4070-8c80-9efc71d07352	32	988	86	77	;
64983297-1e53-4ca4-8c3c-541095f634cd	128	988	67	77	vel
19caca54-2419-4deb-84d9-bfda3994bfc1	128	988	67	77	,
b8d9178f-f150-4fb1-ae7b-d39400ebe779	205	988	29	77	in
7f214fca-21a7-4881-9217-44e0e67a6f1e	244	988	212	77	nathema
be8a009a-0ed8-4732-9cd0-d3dce41a34f5	465	988	87	77	sen
03d5961b-b05a-4246-a23d-f5c8d1d825fc	561	988	96	77	est
af607b9e-d24e-4c9d-8d71-f2581ae4e77b	667	988	67	77	be
827321e9-16db-4d64-8a37-ce3c658f19af	744	988	126	77	brought
c10d5c3c-e250-485b-9c1b-39bc6bc8462f	34	1049	39	40	to
f0f92e1f-874f-4eac-858a-ffae084519db	78	1050	98	40	stand
a3fe5411-74f5-48c6-80d7-a0ccd2f22f1e	180	1051	107	40	before
1dc36ec4-75ad-42ac-ba27-54c06612b402	293	1052	59	39	the
dc2b676f-2c18-41e6-bae4-95a4c434ae21	356	1052	103	40	Lamb
8b49d573-9789-4ebc-bb1e-666647334fde	463	1053	39	39	of
e9246bce-5608-4e8d-8f39-2ee50160db49	507	1053	78	40	God
73e8d2e3-6938-4857-9b2a-2378fe341bc1	507	1053	78	40	,
82c4f2a8-0e85-4331-a4ce-96eaf87e70f4	590	1054	83	40	then
eb934bb6-65e4-403c-a784-b3176456e245	677	1055	69	40	will
58e39770-4574-40d3-be1d-1db15a2bce8a	750	1055	49	39	ye
172b5294-34da-40a2-a8e3-3b10cc864340	804	1056	61	40	say
275d2952-c756-49b8-8fe5-4ae4e256a55a	35	1083	68	35	that
de51b2c0-be98-45b5-b8ad-10865ed3fe1d	107	1083	89	34	there
815d4c06-d15a-4f1b-b0b8-53d5f7c64da2	201	1083	34	34	is
2100d986-9a5e-4c63-94d8-ac2e0f51b4cc	239	1083	47	34	no
d7e4e229-a392-4b09-a3d8-8b5cd5972c60	290	1083	84	35	God
cc352bef-c5a7-4f12-aa6b-b90e7358b136	290	1083	84	35	?
f156503c-f5eb-46ec-99e4-979921d8860a	76	1111	44	40	3
21613db9-a04c-463a-9950-6acec7f958d7	76	1111	44	40	.
f1aa22cb-9c27-40c1-a74c-74c175af55ec	125	1111	93	40	Then
d3874aa1-c0fa-42ef-b343-390080a3fe14	223	1112	69	40	will
82ad7ae8-8cc7-4839-8a82-a6a84c7794ff	296	1113	39	39	ye
cc77fa6d-5a9d-41a2-9473-6d870d79ee72	339	1114	108	40	longer
c327d7a1-eaca-481f-9259-7ce93a1236dd	451	1115	78	40	deny
e2ee8e3b-e87d-44e2-b546-9dacbf39ac62	534	1116	59	40	the
c4f36895-551e-4461-a50d-9015273a3a71	598	1117	108	40	Christ
8ad40375-34d7-4621-984f-924142d3e6cb	598	1117	108	40	,
60ee5ca1-5020-4476-9c79-31a1919012bc	710	1118	44	39	or
e848db52-837f-4f29-80e1-cebbbcac9169	758	1118	59	40	can
8dcd4f92-afa8-40c4-9d0a-d0e5e2be7226	822	1119	46	40	ye
a23c38aa-8d2d-4c2a-9960-29498f1b80ef	29	1130	108	42	behold
a9f01149-c4c0-49f8-bf5f-7209e867de5b	141	1133	55	40	the
