ID	X	Y	Width	Height	Text
79c76acf-025b-486f-bcf7-ecd6ed00f2ac	47	91	116	38	CHAP
056131b9-273f-45d4-93cf-7f4359c36fcb	47	91	116	38	.
de5895c8-b64d-4f66-af52-5bc571fc972b	167	90	86	38	XII
9ae4aca6-f0bd-4ae2-afa8-694c4613f68c	167	90	86	38	.]
2f365e3c-c146-4b58-80b9-fee281112007	480	85	106	37	BOOK
b1b88fca-cf28-48a0-b629-4587da280dce	591	85	60	37	OF
387d2a8d-9bed-4705-aaaf-f8934e4a6b91	656	85	122	37	ALMA
0708d5b5-acff-4ffc-a936-48bb0f7fe51c	656	85	122	37	.
bcc3ad63-dd0a-4982-8479-1ae265b2dd6d	1163	81	54	34	271
721c52bd-6c01-4573-80ae-11a7855be034	47	165	43	43	of
b1426afc-83c9-484d-ade1-f3e3e09b6137	94	162	216	45	redemption
abd749bf-3c29-4952-a2fc-585a00b387b9	315	160	90	43	laid
fbac6c8e-cb84-425d-8dcf-00426c9bf0f2	315	160	90	43	,
4d7e712d-949d-4f77-b7cb-c17d634cb434	409	158	121	44	Which
d13cc51c-32a6-43bb-a6cd-5bc0785da574	535	157	95	43	shall
4453b1a3-dce0-4ae1-b1c0-55c171db0ea3	635	155	106	44	bring
91a63dd1-e602-449a-80d4-d5c32a2cd098	745	154	48	43	to
4800a7c1-9cf4-49bc-af36-31b9f8de09a9	798	153	90	43	pass
0816715f-639d-4a7b-81d7-9dffa1f47ef7	892	152	69	43	the
b1ba6c9f-f8b9-42ca-a637-0a2276c470a3	966	148	252	46	resurrection
c0ee5494-d7a1-4095-9a26-2eae503b0d08	47	206	41	41	of
5428a7f1-2f2e-4af6-bd51-b0700c9f99c4	92	205	71	41	the
f50aa129-ddd2-4c76-adc5-61d9a0053f5d	167	203	106	42	dead
2e6669dc-ddb5-4493-beb3-a5e3099aec00	167	203	106	42	,
412d81d3-a42e-4213-a1ca-9a0c568434bc	277	202	46	41	of
b016b791-e391-4f13-863b-0c8ed0c50195	327	201	116	42	which
fde9c0d4-2f0c-446c-a3d8-4ec31163dc2d	447	200	71	41	has
36daee44-5372-422a-83fa-5770d266997d	522	198	91	41	been
462bb8fc-688a-45ff-9b5b-a0cab62cc3bf	617	196	147	42	spoken
f07a1456-4046-4c0c-bf57-3b1e97edde33	617	196	147	42	.
8754362b-29e3-4f3e-88a2-13872ad7079a	88	239	77	48	26
37ab722f-55dc-436c-8ff3-01afaca850cd	88	239	77	48	.
584cb8ca-6467-4db4-80e7-3b1ecf8eebef	170	238	94	48	And
e49f229b-eb93-4a0c-9a20-ff2b52fbe77a	270	238	77	48	now
b9e23136-696b-4b25-a3bd-7e1c3860d8a0	352	237	135	48	behold
54edcee3-2287-4253-8219-985a537e21d6	352	237	135	48	,
a2dbe9fc-6e95-4ca3-98df-2bcd38843e7d	493	236	36	47	if
fb102526-a21f-48a8-9043-4af2f15444c4	534	236	36	47	it
71496df0-4c85-449b-8de2-b02969c8fc63	575	235	94	48	were
941c844b-1813-425a-852b-5c9ae4dec8ac	675	234	153	48	possible
b31b2aa5-2378-4266-89f4-8018d57ebd47	834	234	83	48	that
2775dff7-5ac7-48b9-8747-a564cc1ca463	922	233	65	47	our
2be3480e-10e2-48ca-9584-f5070263365c	992	233	83	48	first
0476477c-b0de-449a-9cdd-1266805c66d6	1081	232	143	48	parents
06a8318a-ee95-480d-9f43-759ba3436f95	44	274	123	47	could
418225ba-5921-4aa4-a0a4-e9513b5cc6ef	173	274	106	47	have
fa368617-1a2e-487a-a21f-79a3912eea5d	285	274	106	47	gone
56ecfc7e-d5f5-4223-a982-2f5ec0528226	397	274	112	47	forth
2448563a-005f-4a72-bc34-31eee7f84b63	514	274	88	47	and
b7b1c50e-4aaa-4ede-9c06-079098eda28b	608	274	217	47	partaken
ac673eb9-c616-4a92-8ab9-dbe32ae76945	831	274	59	47	of
ad115e5f-72ac-453f-8e8b-aca9b44fcde9	896	274	76	47	the
43392d62-cbaf-4916-aa1e-d997e07fced5	978	274	94	47	tree
ad22cd38-f1e8-481a-841b-16468638234f	1078	274	59	47	of
