ID	X	Y	Width	Height	Text
9e0ceb33-45bd-4a64-aad9-cb04715edc59	175	50	54	138	•
6be84bf4-56e9-4031-b575-46d9d59e8eda	243	51	105	139	The
28254afc-3761-4ed7-b712-e5cc9cf367eb	363	53	225	141	Book
444c57fd-c202-4fa1-b976-af6048ccd663	603	57	105	139	o
2772b574-39d4-4930-ab38-d50a55cb7aa6	603	57	105	139	/
ab574c65-c365-45d6-88ac-60d912191def	723	59	259	141	8a
685afcd0-79dc-40b4-903f-0afede46969c	997	64	311	142	Crople
f8579327-995a-4acf-813c-d4977279718e	1322	69	54	138	1
83080382-8367-43ff-9cf0-b0cf6ca66ebc	1390	70	225	141	abd
d84d5c44-253c-48cf-b671-44d20572d729	1630	75	105	139	man
50f41fbe-ac9f-4613-90ec-f4fe8a364397	1750	77	213	141	home
39c539c7-ae15-4974-a3df-155febbdf5c9	76	185	196	70	moceed
d5178165-0b7f-4948-bcb5-3f0081282fe6	280	187	52	69	to
995b813b-58dc-4414-8a95-e974d347f52a	339	187	128	69	gine
97396765-1417-4f87-9f00-6ae7408dbd86	475	189	69	69	an
d05f9fd1-0414-4c4b-8407-2891b59b4676	552	190	188	70	adeount
fcfbb89e-f589-40ac-81dd-58aaf9c3dcb8	747	192	60	69	of
0966aa15-448c-4902-8886-f40f1a14ecbd	815	192	128	69	those
18aeba8a-ff1c-4acf-8db7-87294c038ad7	951	194	196	70	ancient
652e6337-11cc-49dd-a6e6-5f992a519919	1155	196	315	71	inhabilants
5411e148-34e7-4fa9-8e2b-be8f2b3d7537	1478	199	179	70	which
b49da50b-1748-4e36-a7e0-eb06dad46d3a	1665	201	283	71	woesedertney
ea636d8a-1a33-4401-a6b8-f6cb826db8fd	1665	201	283	71	.
02befeaa-ebf0-41ce-bb55-c1f4a7c88896	842	267	73	117	the
f92c5e3b-10c1-4788-8889-bfb39aca7977	928	265	160	117	pascof
9d2ee776-3368-475b-8bdd-f61d4aff7229	1101	263	117	116	His
cbc0e5d4-6bba-47f9-bc18-75e5af2937e5	1230	262	131	117	month
a1621639-4b4c-4f60-ae34-a8ec38b0ead7	1374	259	217	118	aunt
c96fc0bb-c283-4f61-b093-0a6a992ba074	1374	259	217	118	,
2ce97a7d-1ab8-43ca-9af8-af7103b53564	1604	258	45	116	X
86d7fe0b-7c2c-4ece-ac29-c24b6adb605b	1661	257	30	115	I
6a5996fb-67d3-44c7-b855-e935810c31fc	1705	256	102	116	take
eea73d42-6505-4e14-adf4-9bfb5376cad9	1820	254	153	118	mine
28af4984-821d-450f-8205-c7d90a16bc9e	43	362	201	67	eunt
68060644-f64b-4639-b964-7bd437da580f	252	362	126	67	pom
62a073b3-57b5-4bdf-9317-2d1519ed60ae	386	362	92	67	the
8baa7b1f-231c-44ab-828f-41bd9b66953c	487	362	168	67	twenty
c93dacca-c86b-431d-a5d0-dbc2dc7eb9d7	663	362	42	67	&
ad8aed9a-b708-40e5-9431-6ef9a13be2f1	713	362	134	67	our
5415899c-0a61-4a25-bcf7-248d2735a552	855	362	159	67	plates
ec8d3296-b3f6-45db-95bb-f105934062de	1023	362	142	67	which
b3c15de4-dbe9-47ed-94ea-18f7bad24f60	1174	362	117	67	wese
fd8a58aa-60ad-4861-b94b-d3b3d759f4e2	1299	362	159	67	found
e8fdca95-5ad3-4871-a32a-ddf636d95faa	1467	362	75	67	by
3f9baebe-26c2-4f0b-8973-a376c0f86439	1551	362	75	67	the
caa43322-a54d-4dc3-8733-e94c0c24dbb4	1634	362	193	67	peoples
a1189508-f8d6-4dd1-bca1-b0b6efb3ba97	1835	362	117	67	Lim
57ff0056-8936-40bf-a443-1d35e7ee6753	33	443	71	81	hi
a04554e2-7f95-4b29-99f5-a86ffdb0709b	33	443	71	81	,
42adec98-1779-4659-b550-83cffd0080c2	114	443	142	81	rohich
c9f6f049-8024-4bae-827d-4c21c6a98407	266	443	51	81	is
ad85f984-76ec-48ef-aebe-adbdd4e55584	327	443	182	81	called
c9875a67-cfcf-4e82-91f2-65e43aba0c91	519	443	61	81	the
b31f18e4-7039-4e3e-b0a9-af300f068101	590	443	142	81	Book
eb292e8e-2df8-469a-9d47-1d39122f1b09	742	443	71	81	of
3897dd08-b155-4491-80b3-1da1e6ba739c	823	443	132	81	Ether
507f82b3-516f-4463-b64b-aeebdda079f0	965	443	61	81	>
b56271da-03d0-4b6d-a442-149de050ce18	1035	443	81	81	as
da57a99e-bac3-4f04-8edf-2fa12aa18107	1127	443	233	81	suppose
81e20ae2-009a-4ce5-9221-f5b20e48f243	1370	443	122	81	Me
b1426d4e-f9ed-4e43-8337-be5951b52d26	1501	443	81	81	the
6f90a96f-7e4f-4902-adb4-5692e94cca3c	1592	443	132	81	finst
427884cd-7ea5-4911-bc03-f3e8d50415da	1734	443	111	81	part
2ed2c90e-87b7-43e8-84ea-ca091288b44c	1856	443	51	81	of
57dee489-8bab-48b5-b32e-65cefd56a727	1916	443	50	81	the
181466ca-c379-460d-80c1-6df441a4a382	43	534	151	67	recond
b45ca14a-2cd0-4722-adff-956667971e61	202	534	167	67	which
8268da41-a4f4-4962-aa22-48af2e733c89	378	534	126	67	ipeu
173b8876-58b1-4e56-ba43-054932b15223	512	534	75	67	or
18d8aa47-b8dd-4868-b184-829e2b8387f0	596	534	276	67	contering
b5d3000b-176d-49e6-9f90-b0eeea2a19ea	881	534	92	67	the
8225fb61-92ad-46f3-9d09-aa11236e369d	981	534	235	67	creation
8adafa75-7751-43ab-8bc4-e9baae375d12	1224	534	42	67	of
cbd20196-c882-499f-af8d-4d3e9dd3f47f	1274	534	84	67	the
e50f9613-eb91-40a8-859e-97bceb2520d3	1366	534	184	67	neorld
465a333f-f9bb-4a97-be60-8f4fc9de14ad	1366	534	184	67	,
ccf2af11-f4bd-4f91-ad94-b063fcbe87ca	1559	534	42	67	i
93046482-f6ef-4ecf-9005-195c4db6fc20	1609	534	109	67	aro
96aca62b-1620-4e72-94da-f91a976ad0f0	1726	534	42	67	of
7afa4e50-7b8b-4697-ad9a-19738800a4c6	1777	534	152	67	Adan
cc4452c2-28a1-4067-ad6f-a4d2f71de5c3	33	610	36	72	B
96adc619-106b-4bc8-a22f-9acc6eb12204	78	610	63	72	an
09208b02-9aab-445e-88f1-b0b0970b998e	150	610	216	72	account
1ed6bc67-eea2-4f29-a96a-7c618bdf71fc	375	610	117	72	pom
32cc373c-b6a4-48d3-a44e-2d6a23da891c	501	610	117	72	Mal
664fb1e1-f072-4cca-9a6a-531185874539	627	610	126	72	time
74ebdf76-d7c7-4709-964a-55bc98632309	762	610	135	72	enen
64546534-b098-4e8a-b7d0-82cda5c41fcd	906	610	54	72	to
fb693d69-96b4-43b2-bfd1-ddbe4e596c25	969	610	81	72	the
354a8844-5c09-4a7c-b716-d20058b649c7	1059	610	153	72	great
e0048188-4eee-448f-a9ee-59ab42ba12b4	1221	610	162	72	lower
8f466e00-8f4c-402b-8c34-cdefdc904c6e	1221	610	162	72	,
cca9667d-c96b-48b9-a429-f021af1a696d	1392	610	45	72	&
2fea738e-7885-432f-9205-ed82eadbe4fa	1446	610	297	72	renatsalver
70d09aa6-2b1e-4a3e-b0b0-481bc106164c	1752	610	144	72	things
3d1e5886-0b8a-4b5b-a6e7-be2fd579556e	1905	610	62	72	tra
6377b5d5-7b27-499a-ab5c-7af9f60ff081	24	691	200	100	spired
cb7a3752-f9c3-4a5b-8ad2-2b7ed3006b72	236	691	168	100	among
f5e08354-d49f-4da8-b53a-1bbc2ebf40c9	390	690	97	111	the
39e8ede8-52d0-4256-9591-41cc29cbe108	499	687	192	112	childen
f6d20126-ba7f-49f5-9a68-5fabe66a5953	703	686	29	109	of
8ca423db-596a-42f2-a2d6-9c07f4a95e25	744	684	111	111	men
e1f6c9ac-22b8-493e-b8ef-a5f5c274a6ed	866	682	151	111	until
4f385c19-c720-4613-8039-267d33767a60	1030	678	233	112	hactime
c68a6508-c549-4f63-b71c-7ac8d9e4e75c	1030	678	233	112	,
0288d704-a85d-4cf2-9eaa-c79a80b12c21	1275	678	15	109	i
e74f1871-c60c-47f4-b299-0b4eb33eefd3	1302	676	111	111	had
2c39337d-fe90-4bfc-9563-e14940f263ba	1425	674	165	111	among
8fff3027-2728-4914-aac5-0e95f533366d	1602	672	70	110	he
90b1307c-f2c9-428a-b258-e987b954df9d	1684	670	124	111	ferng
f4c939d4-5cf6-4630-944e-0a3e1c45377b	1820	668	138	111	there
b465d01b-e988-4501-82cc-77428e89c17c	28	735	111	111	fore
f335c8b7-dfc4-45b5-b99f-3c8ab2d74d56	152	736	43	110	I
3d3847d8-2e11-44db-874d-dcbf1a45e3d7	207	737	56	111	do
35964563-428c-4894-9578-82bba6baacf1	275	738	84	111	not
6b04d670-a4f1-4d39-a0a3-7e3ff9fa6b3e	372	739	180	112	nomite
31bac9b2-cfea-4ffc-9b50-674a58fa0d7a	564	741	111	111	thare
40007111-78c6-48bf-be22-ad6bbc0a80b1	688	742	139	112	things
6ce00af7-03ea-472a-bdea-79006526186c	839	744	153	112	which
042c9d7e-89ff-4edb-9b1f-96f3b3fbe7ba	1004	746	111	111	trane
ef9579f5-c584-47d8-8929-270bcefaa065	1128	748	111	111	fired
2067a718-fafd-4223-bfd7-2320c641faf2	1252	749	111	111	prom
d3ad1ad8-9281-4be0-8edd-d1a4dadf67d0	1375	750	84	111	the
baba7c81-3350-4e59-9709-bbe35dd99aed	1472	752	153	112	dago
2ddae6c5-987c-4ffb-bae5-19903bb40631	1637	753	70	111	A
f1c63221-1732-470e-a795-ae525c238c40	1719	754	98	111	lam
fc30c3b3-463f-479f-a720-43a090a9481d	1829	756	129	111	until
1e02060a-0c4d-4051-a3a0-b1459c506d93	42	852	95	125	That
20e4f5a3-8805-459c-b028-dc7e619ec16f	149	849	125	125	time
ac7303f7-4d7c-46fd-9585-4a4a47f306c0	288	847	95	125	hat
86e11199-9c3c-4c04-87fb-e161fbae0be2	395	845	79	124	My
4c965f4b-aee1-4616-b2fb-ec99e7c85862	488	844	79	124	are
2061ca91-5632-4f05-91e7-6417fa4f02c9	580	842	95	125	had
2be4fa6d-8929-46b2-9663-bd604cd57331	687	839	110	125	upon
bc129eb7-8ad3-43b5-b447-96308190cd1e	810	838	64	124	the
cabe38c7-a08a-48e6-a545-839437e3d8b5	887	835	141	126	plate
5377947d-a9a1-47a8-8b15-3b3d3fdc4dd6	1041	834	48	124	to
ea032790-f83d-4b85-b9a3-22c78d4d7d00	1103	831	141	126	when
de8e31f1-5cc2-4bfe-9e0d-1925070ab446	1256	828	125	125	find
