ID	X	Y	Width	Height	Text
28e6c102-8f53-4cd0-8a8f-63b9f9724e3b	0	900	15	15	.-
7dd92a89-2706-4f02-9dfd-c15f9b5faf34	0	1038	13	20	0
fc12b6a0-25b3-43cc-ae2d-62ef73e1600a	0	1117	15	22	ir
a7e3b856-5409-432e-bd0d-e86c10d5cd82	0	1179	15	24	У
03fec173-4309-4d81-8e3f-e2a55f874dd5	318	124	66	22	BOOK
5f27787d-8faf-44d0-a2c5-b31150b62b55	387	124	39	22	OF
e2497e10-0915-4827-8748-24536e87860c	428	124	92	22	MOSIAH
86afb198-8db6-40d8-985a-5e953942cfc4	428	124	92	22	.
b1aea73a-1795-4e1a-b2c8-38fdb353b196	723	122	44	24	177
b147db6f-b1fe-43b2-bac8-d95d95d6d42a	81	165	48	39	they
8d13b549-1a3b-417a-9271-667a8906f491	134	166	43	39	had
3a24fe49-c943-45ad-9e87-5bd8232c8900	181	167	86	40	crossed
82a168eb-b848-40e1-869e-81f64acbd432	271	168	39	39	the
a005c244-9ebe-4c77-9469-2e6a8314a060	314	169	58	39	sea
a62a943a-4f5e-425a-8966-ea5cf9203851	314	169	58	39	;
61c1c440-c721-4ea4-a99b-2c8a29626d8f	376	170	48	39	and
7bbfb8be-bd85-4183-8ada-3c96916de391	428	171	39	39	all
327e226e-31d5-4e8b-a0d8-430e170e8e5b	471	172	58	39	this
42a0c1a1-6ecb-4b8c-bb9d-28b2437ab265	471	172	58	39	,
9d074b04-0745-4f06-ac85-8d4f0aa3bc3a	533	173	96	40	hecause
529f9d04-46f6-4f1d-99b6-08e1edffbb6e	632	175	53	39	that
be05091c-3c3c-4ec3-ad08-576c0588f3a3	689	176	80	39	Nephi
384790a9-fd4a-4a9b-a47c-c853ed37d60d	82	194	43	32	was
b60b40c2-bf94-4974-9ea1-10c8c4f6a03a	128	195	55	32	more
1ae7a3d7-63d6-4776-a1f2-18f5d6b9200f	186	196	82	32	faithful
b2fa51c2-4cf7-42fc-975b-050b12a8c4b7	271	197	28	31	in
710a493e-7993-4410-9ea3-54bec07fce8f	302	197	90	32	keeping
9f2a21e7-525e-4623-9597-8e799a1f80c1	395	198	43	32	the
a2ff5704-02e8-4cf8-a158-736f6432eef0	442	199	179	33	commandments
f7600422-0e90-402d-af9a-e410337f1e1b	624	201	24	31	of
a6e4fde5-1bbe-4711-8ef2-9a7038ad11cc	651	202	39	32	the
b643ad82-6e6f-41f1-b6be-49bf64055eeb	694	202	72	32	Lord
25eda272-7e2b-48dd-90eb-9d1736b52521	694	202	72	32	;
c9b6c535-7a4b-4f40-a366-b599e024f1d4	81	219	97	35	therefore
2c86c6aa-0190-4bd0-a419-f24b805535ed	181	222	29	33	he
32345617-da92-414b-9b42-5e05f7651fe5	213	222	49	33	was
2fdc9fbd-030d-4622-b891-7cb2097d001c	265	224	89	34	favored
e213453d-5191-4100-b63b-a586093d7e93	357	226	29	33	of
b167d515-40ff-4c94-b9ed-762af42b290b	389	227	49	33	the
4d7db070-3ab7-4220-9862-a767abaa40f4	441	228	69	34	Lord
59fe081a-c531-47bf-a00a-888bb4d4a2c4	441	228	69	34	,
c764727b-a3ef-4e06-b9ad-31bc9ac85b96	513	229	37	33	for
79c28569-87c5-4959-bd42-ded46b2f76d9	553	230	41	33	the
4edf43c6-b6dc-42d0-b46a-4506a0777430	597	231	61	33	Lord
a826c04f-a552-451b-8ef3-283558423b0e	661	233	65	33	heard
b24d006e-e48d-414d-9a8c-5886fb78cd36	729	235	39	34	his
284ba79a-4963-40ae-95d4-45862de17dd9	80	259	88	27	prayers
da89e7cb-f1e0-45b4-85ff-ce5289db8089	171	259	42	26	and
76f6097e-4b38-4eee-9804-89d9e714cd6e	216	259	117	26	answered
636b360a-7e2b-4f67-a15d-6509b560a4d4	337	259	75	26	them
f32f4651-815d-4f55-a371-e21685025439	337	259	75	26	,
cd583b4f-3349-4010-a940-6b49101a3d9e	415	259	49	26	and
28b8f7ac-b2fc-4b79-b097-d8cfece99587	467	259	36	26	he
a072a0d3-9d8e-45d5-8f50-a7d51a12dafd	506	259	58	26	took
ae982e58-8d87-4271-b3a1-c7ea23e122c5	567	259	42	26	the
11a8436a-a164-4dfe-b915-2d277048a87f	613	259	55	26	lead
53eb4516-b528-492c-bfe1-cf5fa6153e72	671	259	36	26	of
57d780be-2f1f-4c37-b991-305557836099	710	259	57	27	their
7dd144d6-f8bd-4a83-a7d5-b76d5ad05cab	77	285	84	27	journey
26e36f86-6a95-4314-ad43-806391079953	165	285	24	27	in
c50dae68-5402-4fca-8622-78d8b4e91f27	192	285	41	27	the
08b12404-f3ae-4361-9f76-74280b97046d	236	285	148	27	wilderness
efcc41ff-3bdd-442d-aaf4-c0a413c21d64	236	285	148	27	.
b0646815-d5a8-45ff-804b-917ce7f451f4	388	285	51	27	And
eedbc047-a823-4481-abe1-10e8868a7552	442	285	34	27	his
89e6a61e-b43d-4b24-ba52-7f4ff3d0d405	479	285	98	27	brethren
f53e00b0-8a98-4efc-905d-30cc78822570	580	285	57	27	were
d44ed17e-991e-435c-92bd-38750a80a169	641	285	71	27	wroth
e53aaf3f-ad5e-4d8a-ac6e-3c88bdcc3909	715	285	50	27	with
edd65a01-4552-4887-ac8e-184c72877809	79	309	54	34	hin
7d7008ef-f67e-4e32-befa-2d0e23c0d059	79	309	54	34	,
53038de6-df24-4ec7-b9e2-30f7fb9d9c39	137	310	87	34	because
b38ab92a-f055-4572-9cb1-96ddc6a03aeb	228	311	54	34	they
8fff17aa-7ec3-4859-854a-0b6b50153b42	286	311	128	34	understood
c1ac952b-67cd-4432-90ae-0d8b383b28d3	418	313	42	33	not
cba29f21-ca49-4068-bfc4-be274948d0ad	463	313	42	33	the
2289e13f-b81f-4fa8-9770-754f8a9fb419	508	314	103	34	dealings
9e3ffe2b-10e6-434c-a60b-cbb7a58081c8	616	315	29	33	of
2019ec42-4e18-46c1-8759-8a941563aad2	649	315	42	33	the
d5623e5a-978f-4df1-bb8c-b29184812cb2	694	316	74	34	Lord
