ID	X	Y	Width	Height	Text
ffe418fc-6904-4686-8f59-8f9e1a16ffce	198	140	68	16	SECOND
6ed7b219-5841-4700-8548-a8516e1b1baf	268	140	54	16	BOOK
c5e77388-fd69-49b8-82a1-edd56abd89d4	324	140	28	16	OF
dd79c072-e624-49f5-96eb-7a57e0b7c516	354	140	64	16	NEPHI
4d6c1f50-9005-4030-a3a9-042e6dbcaefd	354	140	64	16	.
713d9aef-98b3-453d-b2ac-1ccd785baf98	534	134	30	22	57
15fe41a4-a71d-4f60-b7af-40c9274ccbad	56	178	36	26	and
fa385783-c2bc-48eb-86a5-eb402a8324fd	95	178	45	26	they
a0deb106-3128-4b86-9617-3b6d00c4f385	144	178	52	26	went
ab1a629e-1ee6-4eef-a72f-201d2ff38602	199	178	52	26	forth
d0d149c1-3d8d-42fa-a063-b7fc4d1454a9	254	178	36	26	out
cfab3095-cad3-49c2-920b-4180d8c683d7	293	178	23	26	of
1c915cf6-15ea-4185-b5ae-f6af9facd482	319	178	32	26	my
d26e7f2c-efac-4457-b4d4-f606c6de0b2a	355	178	68	26	mouth
ca710e7c-4961-430f-bb21-c4e2d9791740	355	178	68	26	,
c1384a42-1163-453e-bd29-864092d9598a	426	178	42	26	and
a5d33284-2b85-414b-83f4-1b4b54148505	472	178	13	26	I
c8660d93-e98f-4942-a4dd-b870642c4849	488	178	72	26	shewed
4f89a7cd-37d5-4ee3-a90b-3e63be745bdb	56	195	60	26	them
cf72a7ca-4dde-42a5-afbd-2b2daf1eaf96	56	195	60	26	;
bac5ff1e-ee92-4c1e-b8d4-c7637f7107be	118	196	19	25	I
aa6325f0-d772-4878-8e6a-5efb488ca698	140	196	35	25	did
3aa30beb-fbce-42c3-a26b-bf2dbd917e90	178	196	50	25	shew
bd2cc99f-b91f-43ac-8d0a-3b730e2f78fa	231	197	53	26	them
19e1b533-04eb-417e-aa11-d42eaad04cc9	287	198	110	26	suddenly
9d776cb4-47e3-40f0-8b6b-09d33074d55d	287	198	110	26	.
54e4f4c0-5993-4071-9ff0-87c9fcffcb6c	400	199	47	25	And
ba5a119f-05c9-4205-b616-663d3e6a68af	450	199	13	25	I
81a8e395-a36e-4186-8efe-37d102f0aac3	465	199	38	25	did
5dca0da4-5ad1-4f92-8d20-fee5f81fa5e0	506	200	19	25	it
61e6319c-e009-4966-ad72-a51cc4489b81	528	200	33	26	be
3c273e03-f2b1-4ab4-9210-d651a23d766b	528	200	33	26	-
e7b36ba8-0d0a-47ec-ab98-0eb9de65c96b	56	220	52	26	cause
7e51f618-a2d0-4eff-9fbf-a2cc5920a706	111	220	13	26	I
2278a39c-ab12-40bc-a00b-9c00ce60a233	127	220	49	26	knew
56ac9e16-f3fd-4ed6-883a-ad273d457fc9	179	220	39	26	that
9b0005f9-a484-4a5f-93ba-d0f92465fb50	222	220	45	26	thou
f7a7e054-1207-4f85-ad6d-f0c9f6f32ad9	270	220	29	26	art
1bb6c15b-e5bc-46e5-a5e4-f567686bf119	303	220	91	26	obstinate
375c14d9-e56d-4237-ade6-9810cb5d00e9	303	220	91	26	,
61b418e4-e829-48fd-90e3-3efff4176b7d	397	220	39	26	and
b0ffca83-a813-4132-a546-0bc522cf994c	439	220	32	26	thy
a2bf58ab-28c5-480f-bba2-a483964c34a7	475	220	42	26	neck
31ed8482-90d7-4555-b317-bc5faaf5c761	521	220	41	26	was
681e3c26-00aa-4723-960e-4f71cb381b45	56	239	22	26	an
948cee8c-8b3a-410b-b58a-3b21d6092de3	81	239	38	25	iron
0bbec82c-ff6c-4c5c-9877-ebcecbf3891d	121	240	63	26	sinew
293b33fb-f278-450c-bee4-19c2d576cef3	121	240	63	26	,
222bc4fb-7e53-4c88-8bb2-d29d939eb345	187	240	35	25	and
d85ce717-61a7-49a3-b7cd-f0613764113d	225	241	32	25	thy
74248def-3342-4382-93e3-5a34685dbd6e	259	241	47	25	brow
e51ed800-06b2-4f87-b90e-adc12fa7aeac	309	242	57	26	brass
ab9ea040-3fc4-45ca-9191-5074dfb21941	309	242	57	26	;
da051111-40ed-4f69-8228-fa4c7a23de5c	368	242	35	25	and
309626f6-36c3-44d0-acc7-2ef6e9604440	406	243	60	26	Thave
9d59c1ed-9056-4c5d-8da4-7e688ef2a72d	406	243	60	26	,
e2063f87-ee77-4997-b721-ea5f5f1e87db	468	243	41	25	even
a3b595fc-d55d-4a11-a761-ef48d25fe354	512	244	48	26	from
0db8d930-a52f-4b7c-8b36-3a061dc74808	56	262	32	26	the
38281143-ff56-4891-a021-ad1d70d93259	92	262	101	26	beginning
131ac13e-bade-4786-b811-1f241bef1b5b	92	262	101	26	,
cdbedac5-759a-49f4-93a4-fe03e0d7664d	196	262	78	26	declared
ac174915-e864-40e8-b455-eda3deba2ce3	277	262	19	26	to
ff397295-5d58-45f0-b530-2387184ab28d	300	262	55	26	thee
822658c9-8721-40e6-be32-bc9bc66749a9	300	262	55	26	;
b8373faa-54ac-48be-ad7b-4cf8ab1c91b0	358	262	55	26	before
4ae639fb-3e03-4410-8c30-ef8e8659f75f	417	262	19	26	it
508cd9bc-326e-46b7-850a-ff5a2bbf28f5	439	262	49	26	came
98efae18-f926-4008-8569-fd95bdd87925	491	262	23	26	to
07005dcf-a5f2-4a61-9bc2-dd1f1155af57	517	262	45	26	pass
25432d41-74e4-492c-8c3a-0255b4781aa5	56	284	15	24	I
bce38ca1-3cfb-4a8b-ad83-a8a5f297cb98	74	284	69	24	shewed
84bfe9d7-0c59-4ce1-a3ea-24c662c658fa	146	284	51	24	them
88aabfca-4116-4bfd-84cc-427f06de7dce	200	284	54	24	thee
2ea29fa5-af57-4ec4-b3e7-f803a427a5e9	200	284	54	24	;
267dd530-9ccd-444c-8dd7-b78c206fc8f3	257	284	39	24	and
22c40e86-69c9-4685-a35b-752157fd558d	299	284	12	24	I
5bf6c9fb-bc87-4c46-9154-8bd48a072ee8	314	284	72	24	shewed
2dfe6b32-9ecd-4049-94da-e665df783ecd	389	284	57	24	them
6a4ed04f-fdca-4c19-896d-a7f5cb6aa7cd	449	284	30	24	for
928949b6-5813-494d-9d90-91c53f6f23a9	482	284	39	24	fear
8476c2b7-7e8f-41ad-9ac1-fa838a94c24c	524	284	36	24	lest
7a737b62-15f7-44ed-89c3-d3a7d2ddfd81	56	304	45	28	thou
b2b744f6-0c18-4657-88ea-e082c5429e5f	105	304	80	28	shouldst
30fbab35-59ad-46f2-aa63-015c19c55e5e	189	304	38	28	say
3570717d-bde6-400f-b1c1-eee2d401bf18	189	304	38	28	,
d609e60e-85fb-4e41-bf79-b91eecd7b579	231	304	49	28	mine
4819a6f4-6755-489e-92f3-1a6007a21128	283	304	38	28	idol
792c231e-950a-4ba1-b83e-25743051b9b1	325	304	45	28	hath
0037ee67-5394-4d62-ae19-d036c0bbc79f	374	304	42	28	done
c2b5cc09-27ed-4de1-924e-c93a8d6e4623	420	304	63	28	them
feb1e818-e108-477e-b815-34086674f96f	420	304	63	28	,
f0a47715-faa0-462c-9599-400a7c28d263	486	304	38	28	and
db62aea1-365b-4638-98e6-222f1a525692	528	304	32	28	my
9451a12a-892a-4302-a54c-2b3be2abaa24	60	330	63	18	graven
94f96c31-d325-44fe-8153-3c1256a935b1	125	330	65	18	image
7bd6eac0-be90-46c8-96f9-9057a31f1f87	125	330	65	18	,
cb4ac950-4502-4324-aefb-c0e04cf62d7a	193	330	43	18	and
6067d0f2-fe15-4798-81e4-2aa37f84036c	238	330	34	18	my
6d9c89a3-ac1a-47b4-b494-c8a46f883c00	274	330	68	18	molten
8d2330f3-e489-4475-8469-40ea0892fa83	344	330	67	18	image
769dc1aa-711b-44e5-b1db-3f512825f862	344	330	67	18	,
46b6a275-e350-4e90-a4bd-29aaa6ff348e	413	330	45	18	hath
692344e6-33d9-4ae7-8804-ca20aeea452e	460	330	98	18	command
220fe483-4e20-4342-a54e-1c1938778698	460	330	98	18	-
e6cf5ed1-fada-42a2-b3b2-36275b99eadd	56	348	25	20	ed
37d64e9b-c436-4474-8fb5-a70c414793d6	83	348	57	21	them
49dc54b7-bcff-47eb-826b-52ed79d2342c	83	348	57	21	.
37167ac3-d449-403f-8cd7-6dbadbf1c99a	160	346	51	18	Thou
f3ee9266-b0bc-4e8f-bd11-84da82be92ff	213	347	43	18	hast
08c584f5-56aa-4e08-bd5f-8ba9494c9c7b	258	348	45	18	seen
22b50a82-ed8c-4ffb-9521-57134a4a28b9	304	348	36	18	and
b75b0527-d3b2-4615-afb2-52900e5da6ae	343	349	55	18	heard
7cb67bf9-7912-46f7-b9b8-9ed95568e745	400	350	26	17	all
bb702fdb-2453-4a45-b8ca-964cbae61daa	428	350	49	18	this
e5277e7b-332d-4572-8e65-8ef35545ab55	428	350	49	18	;
e6297914-45a9-4b86-98c1-f073551e99df	479	351	41	18	and
4fadcc50-f9c6-4aac-b07e-d2c447415fa6	521	351	39	18	will
4072e33b-a702-469c-bf74-c3a5223d3fee	55	369	29	25	ye
d91bed00-3b81-4b26-b6ce-465569529060	87	368	41	24	not
b1d66c7e-599d-42af-8be7-20968f5d57e2	130	366	70	25	declare
a43b5dfb-4585-4b0a-ae31-9741e515b6e8	202	364	63	26	them
fa6fa6f3-3374-4509-8f62-f4af0c6bd5db	202	364	63	25	?
620e2ba2-2c5b-43d7-8186-ef0111de8ede	278	370	45	20	And
bd640184-af85-4b82-8b69-93f8b34c8373	326	370	45	20	that
28cfc355-fc20-4324-8d4c-2aedbbc9b3e9	373	370	12	20	I
bb04d4f7-6d3f-4a8e-8716-e8707ec4dd86	388	370	52	20	have
eb1e0688-a820-467b-becd-bf3f453ade35	443	370	73	20	shewed
709a6904-97b0-462e-b041-36af1ecc1051	518	370	42	20	thee
1f144fb6-5a01-4ee0-b636-05611422912b	56	388	42	28	new
edeea049-a0e3-4b5a-b8cf-6d4341d9aa64	101	388	63	28	things
30f92b19-9c12-4798-8b52-09eef655ddff	168	388	49	28	from
dccbf903-5565-4c86-9a10-7b22c4263277	220	388	38	28	this
9ca9ae65-3b2b-4fbe-b9b9-0b66673e0428	262	388	52	28	time
fc1efe90-5f8f-4c2e-93cb-6f24dca10267	262	388	52	28	,
fe840624-2879-49e0-b996-ccc8de64a7f4	318	388	49	28	even
9aa9a99c-0a52-49c2-bb16-944bbdd5437b	371	388	70	28	hidden
164bba6c-1d20-48ea-9dc7-4be3af5312c2	444	388	73	28	things
130c6764-ec87-4e9c-b607-59490b96cea2	444	388	73	28	,
8a2ef1b9-ec2d-49fc-9411-fa067c221bd4	521	388	39	28	and
3210892c-4dc9-45ba-b9e6-b4c3999805c1	58	414	46	16	thou
055d88dd-7cf9-4486-a067-b62e1d3dd1ca	106	414	52	16	didst
61635919-1bd8-4d50-822a-4e3de801ec4e	160	414	36	16	not
d833d118-e0bd-4014-afdd-b1eb6f7cd3a4	198	414	60	16	know
76d9c1b1-9d70-4f1a-ac38-f7b7f3bd2669	260	414	72	16	them
127a22a0-537a-488e-a065-f90601d4c144	260	414	72	16	.
