ID	X	Y	Width	Height	Text
5a534a2b-b3e7-456d-b3a5-4948c30eb0d7	535	114	123	43	BOOK
830c5798-5d6f-4d89-80c6-1757e457a630	664	114	48	43	OF
0a13fd5f-15b8-4642-9b61-063954444c80	717	114	140	43	MOSIAH
af70ca38-7d38-4292-9bc2-fee69a374fdf	717	114	140	43	.
808047c1-67c3-48de-b48a-ab3e4f8a1816	1210	105	68	39	135
22fc8df9-85d0-4a08-b707-dea642154067	147	186	185	39	wilderness
2ae4ed0f-bac5-4b54-ad1e-4a20cf11529a	147	186	185	39	.
2b8fe53a-a8f4-4335-bf6b-5a5e814f1db8	337	186	83	39	And
43f4313f-a079-4713-94b0-a90d01768bd7	425	186	83	39	after
56652309-deb9-4f40-9099-f16808930637	512	186	78	39	they
3069a743-d12e-48dd-87f6-405763c6537d	595	186	68	39	had
ae82ce27-c630-44d3-811f-d793f9854785	668	186	78	39	been
ff0faa3d-1107-41e1-9c28-86a3e6eed3ae	751	186	34	39	in
7e73007b-41d9-43c6-81ac-657aa4a2eba4	790	186	54	39	the
333e74aa-fc3b-4424-856e-a224dfa8666d	848	186	161	39	wilderness
be913121-66bb-4635-8b9e-2e3efc86720a	1014	186	102	39	twelve
bf5f2368-f9d5-4ecb-8eaa-43692dc265eb	1121	186	78	39	days
df3ac265-f9d2-4c0d-bd5a-2009a0a8856d	1121	186	78	39	,
99014811-da1e-4b67-9bec-3dc1d5fe523a	1204	186	71	39	they
257191f3-e6ab-4dfa-b216-c76622ab94cd	143	219	111	42	arrived
948dbf16-1243-4cba-9b54-e3faf585a3cc	259	219	37	42	to
5d425b2c-2552-4d7d-9c0c-6a8e9c27c07a	301	219	52	42	the
2ee3bf3d-d744-45fa-b16d-c723a4c846e7	359	219	73	42	land
21a75c9f-44a3-4780-bf40-a644b315ae76	438	219	37	42	of
7670497d-50a3-4879-a6c2-73a1e2188c72	480	219	178	42	Zarahemla
bac4a941-2d77-4972-932e-a8252adadd17	480	219	178	42	;
846c6a8e-f246-4752-be55-76bf5062b42b	663	219	68	42	and
e803c609-65b0-4957-9b0c-91803bd995e0	737	219	73	42	king
27fe0b65-62b1-45a7-b876-d5ed7d6fbc70	815	219	115	42	Mosiah
7417f65b-07cc-4fa1-9ef3-e2c5962a8024	936	219	58	42	did
fd4a2058-d202-4ab5-aeb4-ed3378850f93	999	219	68	42	also
a76ea9b2-49ff-46ef-a9c5-fccfa150576a	1072	219	115	42	receive
ede37207-dbf9-448a-963c-f6a325968233	1193	219	85	42	them
ac9479e8-a3c9-4c3b-a803-b76750a41a69	143	255	73	39	with
82f919c0-5880-407f-8575-8d2842332eb6	222	255	88	39	joy
27f08e23-2c02-4916-b1af-efa23f9c602c	222	255	88	39	.
4b154190-0787-451a-ae9b-21366dfe049e	314	255	83	39	And
66f7fe0f-e066-464e-a539-3560cf100b63	402	255	73	39	now
df9e1ecc-e908-478f-8cb6-3390ebea91ec	480	255	83	39	king
048f16d5-5436-4728-8b2c-b523d3e69250	568	255	117	39	Mosiah
fa0e5515-d6cb-403e-b679-c26e7b2cc132	690	255	112	39	caused
e5c22ce4-dca6-4199-9011-e920c801e661	806	255	78	39	that
aa15fccf-049a-416f-8f00-fa2828f1a3ae	889	255	49	39	all
b9551ca3-2931-4b2f-9b4d-00365d2d44a8	943	255	58	39	the
4de13d26-c868-4756-ba11-910e14e0ab97	1006	255	107	39	people
3575edd3-2381-4923-b33b-72d614446cde	1118	255	112	39	should
9594a076-96c9-4fc1-b165-250eb7ed5db6	1235	255	40	39	be
6deae73a-10af-43da-bbc4-54cdd9dbdf86	143	291	137	39	gathered
b8b96391-d382-4477-9e05-a6d18f0d19d7	285	291	142	39	together
1fbdee68-2591-44be-a3e5-b193f39b8f49	285	291	142	39	.
8d3ad0bf-a54b-42f4-a5d9-bdd00e760b26	434	291	94	29	Now
241a8aa3-541d-40a6-8c4a-7433c8fbad10	531	291	83	29	there
ef90a43d-6474-4909-a972-d1ecb18a260d	618	291	80	29	were
39152764-65a6-415f-a2ce-39abdf1607df	702	291	54	29	not
653675a5-2198-4f2a-b207-526c98d8c652	760	291	40	29	so
c3efbfe7-5138-45a9-b3b8-201158108c31	803	291	87	29	many
c1573e4d-3ac9-407d-899f-64c9603604ba	894	291	43	29	of
ef4e667c-f89c-4dbf-83d9-fade27a0da8a	941	291	54	29	the
d0913482-e532-4b90-b990-cde0e954a9e0	999	291	130	29	children
a9e29d65-62a9-4f19-ae7d-d8d7ce6a7623	1133	291	40	29	of
5f96344c-8a55-44db-a337-0e4bd65d7288	1176	291	99	29	Nephi
1ccdd73b-c0f9-4f7f-bd26-97dd95c9a147	1176	291	99	29	,
b36f4d2f-c69c-4174-a8c9-6958290201b5	147	323	37	33	or
e20cd871-8cdf-4b6a-905d-8ce86f3cf3d7	188	323	37	33	so
61225661-8fdf-4581-a69c-07bd88daeb38	229	323	87	33	many
e1f81b46-6386-4c78-a026-b9756a724fd4	320	323	45	33	of
d925d8c5-d76f-4795-a4ed-5ad4ec9c5de8	369	323	87	33	those
f5e1242f-cea2-4391-a2cc-9f0585aeddb3	460	323	66	33	who
c00b82e8-ccbb-4c72-b8ec-d09302edb5d7	530	323	78	33	were
43d99058-f62e-438f-bbe2-24fbe0373e21	613	323	185	33	descendants
cbf2a935-07e2-4fd9-ae5e-a2e0ec75d049	802	323	41	33	of
98139316-a3e1-4887-b414-951ae5146b0b	848	323	103	33	Nephi
9dd39394-60d9-45c8-949a-f2f7a6c3027c	848	323	103	33	,
