ID	X	Y	Width	Height	Text
0047fffc-5449-486c-b3cc-3fdcdec0e3a4	97	60	55	29	455
4cab508c-9d55-4c1c-b5b1-c6665ef94b84	860	63	22	29	3
745ae570-1533-4658-9578-a5ded15d0a8e	885	63	105	29	NEPHI
bc2dc12d-1eb6-42b0-8233-5c8f0d631eba	994	63	107	29	24
9a400124-9c5b-4808-a24b-ac91b9bdea41	994	63	107	29	:
676343fd-0c9b-41f9-b30d-e8e2bd894e61	994	63	107	29	3
a6b00a57-d537-47c6-aad7-73410826eb08	994	63	107	29	-
391452a9-f02a-4d6a-b06f-03d4cad0ccb6	994	63	107	29	17
b3870c72-8483-4bb5-ab35-1577064d1a4e	97	123	23	37	a
5adca5b0-b9ce-4cb5-9156-ded6c0fdbfa1	125	123	139	37	refiner's
78cd2696-7078-4881-b113-6cf6eb3dfffe	268	123	69	37	fire
af6dc1cb-5fea-4e8a-b986-4b7a433e70da	268	123	69	37	,
7f1bb94d-8ddf-4511-b7e5-ae6028e5e209	342	123	60	37	and
9dc246c5-4a75-4b76-b476-0cdcab49ebb7	407	123	65	37	like
7a363487-8ea0-45e7-b646-32127e4e5afa	476	123	107	37	fuller's
24fea768-84ed-422d-a511-1e8d39565539	617	126	50	31	the
5f37220e-7a38-4a0a-87ca-caffb20e4c36	671	126	167	31	storehouse
8c999b28-ddf6-476e-a49f-5c3f098782ca	671	126	167	31	,
5c831071-1b98-40b5-b5d0-47ec03e88e01	842	126	62	31	that
1cba86c7-2d68-420b-a87a-930865f170d9	908	126	81	31	there
af3be86b-b87d-4aaa-8095-f49393076acf	993	126	66	31	may
40aff649-8f1f-475a-84fa-026c1bc4ec93	1063	126	38	31	be
365c7391-26b5-4f42-8bba-a34679ae12a5	97	160	78	24	soap
5fb049e0-f7a2-4e83-bb5f-428dcd11cf95	97	160	78	24	.
8f514616-7585-4ca2-9b79-e326a440842f	614	151	90	32	"
e3b80e16-f20d-43da-9981-94efec448cc5	614	151	90	33	meat
8426464a-8171-48d6-ace4-912b9bda7b6f	707	153	35	32	in
66231ad9-1429-4e87-b9f7-c8019b7fd8fe	746	154	51	32	my
914024fe-1d6f-4890-82ca-d54a08fce4ed	800	154	97	33	house
be95becf-2da7-43af-b078-7729eecc1269	800	154	97	33	;
5ddd41c4-4454-4809-9e38-06d6b8120d7d	901	156	62	32	and
8143d074-5520-4d77-82e7-f3d2f0c3ccb5	967	157	82	32	prove
76514fdf-651c-489b-9e1d-49782cbebfee	1052	159	49	32	me
a5125257-99b0-4668-b01c-0c916f9826b8	115	186	23	24	3
0d188d2c-8e7a-4a34-bff1-a651f0b9ce7e	141	186	63	23	And
b39fb685-bbd4-426c-8c17-fe1fc0ff1bee	207	186	37	23	he
e0bbaf89-57e4-4822-aa10-e71f304933ca	247	186	72	23	shall
c666c471-8cfb-4ef7-b7fe-2855f3115afc	322	186	37	23	sit
4e55be4c-6952-4671-8e10-1484f6bd49e2	362	186	32	23	as
42ef0ed7-76b1-4bd0-847e-b7388247561c	397	186	20	23	a
b8149045-6150-4346-adfc-3c159714d20a	420	186	103	23	refiner
ea5301eb-de78-43dd-86c2-d58b9d2811d0	526	186	54	24	and
f1433955-054e-4c3f-b920-647f212397bc	617	186	68	33	now
9242d777-1419-4522-898e-9894601cf37e	689	185	148	33	herewith
02c34c32-975b-4dec-a09e-863511c64747	689	185	148	33	,
129555a7-f79b-4e63-9768-0f3cae5a5100	841	184	80	33	saith
c663141d-01ec-496d-9ce0-d55a6da39d1c	925	184	56	32	the
61428e77-e5d1-4dd6-8d87-02d10807c33a	985	183	80	33	Lord
3db7065d-c4b1-4a5d-ba17-40cc9122cdda	1069	183	35	33	of
40117395-90b8-4a49-8fc5-ebdf8dfe2729	99	212	116	31	purifier
2e11c832-f909-465d-84a6-f5ed15036c0a	219	212	31	31	of
e2c21d27-7f72-4d4e-b6f5-7dc0dc78ac82	254	212	85	31	silver
84f102ab-3af3-472a-9869-651f2f49f964	254	212	85	31	;
2dcc2cb3-cb15-4a4b-9533-5cd55997e410	343	212	58	31	and
ad7d90ab-94d3-421d-84d2-c3a3287f2e48	405	212	39	31	he
b666c58f-0b14-4482-914b-2b27c4075ac4	448	212	70	31	shall
494d5e5f-664b-44b7-ab40-f9dfba06bf7f	521	212	62	31	apu
df4ef106-7694-41fd-a01c-f5649e034351	521	212	62	31	-
9c87ad7d-c696-472a-af77-ba869a45d37f	617	212	93	31	Hosts
fecd1f86-e1e4-4683-8a83-2fc928067c9f	617	212	93	31	,
5043471c-15a5-4a41-b0e1-58b22c537282	714	212	31	31	if
82cbc090-f1f3-48bf-9ab2-a7e365e84bde	749	212	23	31	I
09e999c4-c106-4683-87a1-d9486a7093b6	776	212	66	31	will
072dab52-f1ba-4797-b07c-869eee07fd8c	846	212	54	31	not
90b7ab77-ea52-43af-b0fa-69e00e47fa4a	904	212	77	31	open
b8c98e3a-94ae-4aed-854c-8f5c728f5a8f	985	212	62	31	you
d82fe980-2e60-438f-8d1f-18160d494ba3	1051	212	50	31	the
89baabef-e793-4155-8370-b7d4bba71ae6	99	238	59	34	rify
7d6c666f-aa3d-4ea6-9551-1105fbdb2bb4	163	238	51	34	the
0b9cae6b-50cf-45ac-b652-1b7c21ffe1c3	218	238	85	34	'
c1b6bb05-8018-48d0-a5ce-5daa246d2b2c	218	238	85	34	sons
3fcaaf51-5952-4498-9c1f-1b6ceefe57dc	307	238	34	34	of
549362a9-64c7-4ee3-b497-d19879c66504	346	238	77	34	Levi
6f402d23-b581-4c9c-afd5-0a2aa8201655	346	238	77	34	,
7121192c-8c10-482c-93d3-59346004640a	426	238	64	34	and
1d2b3160-9d25-41b4-9342-94431fea6dfb	494	238	86	34	purge
abefa3bf-48d6-4bf1-8cc3-2d62dc66dd73	614	240	140	33	windows
06341c45-e364-49d7-8f61-1727412a88eb	758	241	32	32	of
c9505676-04fa-4df6-ab89-8bcbdb87eacc	794	242	112	33	heaven
163ef35e-3815-494f-b67f-eedb0cd00fee	794	242	112	33	,
4f70dda4-ed41-4753-940a-035a347f84e4	910	243	56	33	and
3133f207-189d-4674-a9ba-a90cd442e241	970	243	72	33	pour
98ce7559-1bcb-496b-b2ec-77632c3621b6	1046	244	52	33	you
afe55b98-4a2b-49a9-90ed-1ed21d087de3	94	269	71	63	they
fe408302-73bb-4193-ab91-fc8d8c8741f0	173	269	79	63	after
6e0a4fda-240b-454e-9749-5a570791b408	259	269	63	63	to
5674ea1f-7e68-442f-beb4-b053e7674662	330	269	39	63	de
3aadf604-fd4f-454c-970b-3139b4c3e34d	377	269	63	63	ver
232124ad-0ca5-4ecf-8c8c-7491f090077e	448	269	47	63	an
36ad1ca0-36aa-48bf-a869-f0582cad0d6c	503	269	82	63	other
57d64cb1-84c6-4180-bdd4-cb7622d2481b	503	269	82	63	-
6f9a8a5e-6d1a-4cc3-8530-3d10a732a5b8	617	269	52	32	out
947f2021-cc3c-468e-b6fe-cac827b24bc5	673	269	16	32	a
cdc4430b-2304-48e9-874b-a2f0de3f85c7	693	269	132	32	blessing
f02c3ddb-cf86-488c-9e73-6b123ffe2b77	829	269	60	32	that
defb0ace-55f5-4a05-bf04-089b0ad0cad3	893	269	76	32	there
f607c63a-11a6-4c2f-9811-aee5090da38b	973	269	76	32	shall
1253c49e-ec38-49b4-a349-f0da53c8c617	1053	269	48	32	not
28bdd55e-6acc-43f5-b4cb-ebdd4521a5a5	617	301	40	29	be
1cd74e9a-8237-478d-a48a-371c34b59b29	661	301	80	29	room
b6dcc852-b48b-470c-8014-e9aec1c88c4d	744	301	109	29	enough
2b666445-7643-4681-819b-8b20922f01c0	856	301	33	29	to
a519788b-bcf3-4775-ad9b-c158d22fd8ee	893	301	105	29	receive
f50e3ef4-3270-4d59-9a12-d06e30939b72	1001	301	34	29	it
613b1a5a-92dd-473c-8299-02678e5b5c25	1001	301	34	29	.
7c8b9405-6902-4453-bed6-b71e0a482ded	97	324	51	34	ing
3d5c85e6-41fd-439a-bb4b-c441278a0dc6	152	324	34	34	in
109dea41-8b91-4cbe-8bdc-0ee57ec3e824	191	324	204	34	righteousness
b34a83d5-756e-4799-b762-de06aedff27f	191	324	204	34	.
fd159a6b-e344-4dcc-a4f8-6b71571e2c11	633	330	41	24	11
945757df-7329-4610-a520-728773716d61	676	330	60	23	And
89655bf7-1075-4d9b-bdec-5aa1b1285d1f	739	330	14	23	I
9da48693-e9c2-43ec-8fdd-9f2a1b5bf252	757	330	55	23	will
2a4a898b-a6b4-4713-8df4-ca2cea8e6f73	814	330	98	23	rebuke
0baf3b6d-64dd-4e39-b09d-85a35652f0c2	915	330	49	23	the
fa56096b-91ba-4cab-ad79-8a08f3f069c0	967	330	134	24	"
aa4cbb62-2af5-474c-a3fc-e2ec5dae2d15	966	330	134	24	devourer
48d65e68-85a9-48dd-b129-29444216a56a	115	356	19	31	4
1800ed4e-8fd2-40c7-afd8-57d3412d0ee8	138	356	74	31	Then
c9220831-3d26-4166-867f-7a7817c34d47	216	356	70	31	shall
1cc075aa-112f-42a1-a093-31bda9d31905	289	356	47	31	the
997bc8f2-9c08-4a23-ae7a-0eea4cc32c86	340	356	120	31	offering
57571dd0-7e76-4b4e-a512-b3f7f7819de9	464	356	27	31	of
baa22dd9-cbac-4aef-830f-b0d7877744d1	495	356	86	31	Judah
aba28157-b641-4907-8b94-8c1d1eaa69be	617	358	51	29	for
dc93cfe2-f22a-4962-aee2-a68ca43c11f9	671	358	76	29	your
83607a89-d17c-43e3-ac2b-518970e3f9b6	751	358	94	29	sakes
483c9efb-efd6-4df9-bd5f-3aac06a6a4b2	751	358	94	29	,
a5b88644-8027-4b68-bb83-2f076fee59a7	849	358	65	29	and
2e67f548-f931-43e0-bbb4-8f5c98c332bc	918	358	44	29	he
29d0a4b4-1b4d-4fb1-b990-68f85cf84bf8	965	358	83	29	shall
6cf3e245-520d-43b8-ba4b-5896837ef576	1052	358	51	29	not
205f2acb-c8e9-4674-848e-c767994b2810	97	387	58	29	and
079d14e0-b115-44e5-bc6d-1eb171cc7ba1	159	387	141	29	Jerusalem
896ef132-5b7c-43e3-ab61-dc3418cee641	304	387	33	29	be
802c9205-727e-4e1f-a717-4a92b36cdeb6	340	387	120	29	pleasant
