ID	X	Y	Width	Height	Text
68e44209-08be-4578-9e7c-35e3d78dfc20	38	34	275	112	distinction
cd80e49b-dd38-4361-98a4-45094882a3fd	327	35	220	111	therefor
cecc4c38-d996-44f2-958b-6d239cd45d5d	561	36	83	110	me
b53092ea-f7ad-47f7-9c2e-a3154c6c00a9	657	36	83	110	did
ead377d7-a53c-43bb-8184-72540ace192b	753	37	124	110	fare
7aaab2c0-7872-4b49-8554-df8b06e972a7	891	37	97	110	ant
3d6279ac-1ea2-4e55-b212-b526b939aa54	1001	38	83	110	aur
15387fdb-12ad-47e7-a317-654dcc6be628	1097	38	124	110	sands
32904236-7dde-49e5-949e-c1d3ac9b668d	1235	39	55	110	to
8a6aa479-8f00-4b93-a43d-2d79133f771f	1303	39	42	110	in
ee034611-4b45-4405-b3c6-07e550a00615	1358	39	165	111	forges
22131736-2882-46ff-b30a-f3d94dc48e2c	1537	40	42	110	lo
3503b789-003e-4456-8ef3-26a61354c6a4	1592	40	83	111	So
f5779b9c-84f1-4c1e-abe7-b9cf81f79dc2	1854	39	112	68	317
999cb6a1-32f6-45a6-8d37-e8f99bd63856	33	116	102	102	What
b9afed43-b3d7-4915-af58-e53f73f4d3a0	145	117	52	101	he
6eafbf07-c3f6-4680-8d31-a3c524c4808f	208	118	164	103	mauld
38ac23b2-24b7-4757-bb22-22c73586d868	383	121	239	104	strengthen
14097eba-bd86-4d2d-926d-cee34f545387	633	125	289	105	usdeline
9405586a-4c5d-40fe-a92d-d0a09c5369c8	933	130	64	101	as
92070290-c6de-494a-88b7-2cf19f09a193	1008	131	77	101	out
c5337daf-93f1-47b2-9bd6-fd5fa89bb2ef	1095	133	64	101	e
89b4dd53-8ddd-4115-aa6d-18acc18f5bed	1095	133	64	101	/
51d78c95-4dae-40dc-8245-620361303df9	1170	134	77	101	the
80ed148c-18e6-4c53-afa0-06189128e549	1258	135	164	103	handso
efa6d459-1ba5-494a-90f1-d15f773d32bd	1433	138	89	101	au
f3e45973-4e06-467b-93c8-c1fa0db154bd	1533	140	189	103	enemas
af838364-4940-4a16-917d-101bd3c87d6a	1732	143	114	102	glas
4f807e01-a3a7-4f94-91cf-f8cbccf2cff2	1857	145	90	102	also
dc13f5ef-b02c-4ef7-baa6-62aaddb81ac0	24	219	169	97	finea
b419365a-6c05-4f9f-a8ba-734a0d4980d8	204	221	182	97	shength
f7fe807a-f771-425b-a1c9-a701259ee2b6	398	222	117	96	Mal
187812cf-c1b9-4da3-aead-06039a4ad2c8	527	223	246	97	semighe
4d7f894f-3bcf-430b-8ca1-1329d3e2e1ac	786	226	156	96	setain
7fb80195-6af5-4c6d-8a6f-f8f87ec90841	953	227	91	96	ai
90302d12-3cd1-4df5-9451-815aec018773	953	227	91	96	,
38ae7ea1-926b-4f50-83bb-ec4e509ce940	1057	228	143	96	cities
1cb54890-6d55-4a75-850f-1c22bad83579	1212	229	78	96	ear
393ad4d6-cb9e-4b0c-b4d5-2f810b7e938a	1302	230	117	96	land
5f9a3f3d-1e15-4ece-9b43-ad7fc84aaa9b	1431	231	117	96	taus
a182a3c4-a637-4e36-9da3-4915474187bc	1560	232	233	97	porsession
a762214b-819c-4962-b31a-0ea7be6eb176	1806	234	78	96	for
efc421bb-7df9-4617-b460-b40c3e6b46a3	1896	235	66	96	71
d0f7c0d6-24d6-4ff6-b4dc-8bfd157620ba	19	301	216	102	support
b134d3ea-e05b-4dbf-a302-1aaf19907ea8	249	301	128	102	gans
ce4cf743-837d-45dc-9bc2-ecf35e21434b	389	301	166	102	people
cb9b06b4-9173-43a7-a254-1534f4831eda	567	301	140	102	yeas
3e5657b1-6ab1-4f79-8688-d8d9eac3f926	720	301	51	102	it
7973a3d7-5df3-4658-a01b-a13ed48ce3b1	784	301	179	102	cometo
b32af315-b557-4458-aec5-10b63c59bf35	975	301	102	102	pass
25c3ade2-cc9b-475f-852c-5d3be2f442fd	1090	301	102	102	tal
bdb943c7-ea83-4d4b-939c-9dd7daa6e925	1205	301	51	102	the
cebe642d-0403-45a2-b2fd-fc99bdea88ee	1269	301	204	102	London
f865ebf3-7b75-4d4a-8588-8bf93979c989	1485	301	77	102	Cac
8c495514-8863-430c-8052-97990baa6fd9	1575	301	89	102	did
784df207-9723-48d1-8c6f-3fdc80cdb9e9	1677	301	127	102	risit
63a346e5-2b2e-461f-86b2-b2933fdd3958	1817	301	164	102	usmit
2c6d55b0-bdfb-4408-8ee0-e91a3d2cb15b	29	412	292	78	assureanees
f3cbabfa-b2b5-4ddd-aa34-737a72be8b8c	331	412	117	78	hat
d543554d-5d63-4735-86be-ba1f71dfb176	458	412	58	78	he
f451ddd3-0aa1-434c-a32b-b0f03f91c748	526	412	195	78	manda
9e3ed872-7f69-44ac-ba40-4e72883bcc5d	731	412	176	78	delines
902190ca-3037-4bb4-bcdd-2b8e5c6e027c	916	412	59	78	us
