ID	X	Y	Width	Height	Text
581c85bc-fb18-46f0-99ef-a901e5a69d47	341	112	46	24	110
0ad8ca90-4b8f-41c3-81ee-b2e7c8e01ab7	548	117	93	22	SECOND
7f25b385-9aaf-4c2a-b7ca-40b0593cbfa6	644	117	66	22	BOOK
db2cb8c8-ea56-4546-a60c-bbed18f4481a	713	117	36	22	OF
91879e41-358f-4b32-ad81-2d34c67e1f16	751	117	81	22	NEPH
e1f5c938-e97c-41cf-9780-5813b599099f	341	170	31	29	do
4e5beced-a1fa-427e-904c-48b9c7a6589d	376	170	98	28	imquity
41f91419-c693-4090-9afd-d30424a244b3	376	170	98	28	,
6ffaf2ae-83bb-489d-993e-b833a5893d9d	477	170	49	28	stay
adb5ddf1-dbb4-49e4-a310-ce7f262e44c6	530	170	122	28	yourselres
0683cee6-a0cf-4a34-9d65-75a5d2dc8f67	656	170	45	28	and
696252f8-cda7-4862-b327-8d98465aed48	705	170	98	28	wonder
0e8857bf-041e-4bc2-911e-4c7e23b766aa	705	170	98	28	,
7027af40-464e-4e73-b611-11cfd44ca5cd	806	170	38	28	for
ec34d23c-1e8e-40d9-bab0-99fc61b03995	848	170	31	28	ye
522ff30b-61c0-4c95-88f3-60cc2f88af92	883	170	56	28	shall
f21113a8-39d1-4669-92ef-880a4260ab81	943	170	38	28	cry
acec1509-6641-4ed5-8fe4-0e5b17ce4369	985	170	30	29	out
cd5541f1-6486-4286-b3e6-5851fcd9d9e1	985	170	30	29	,
97b2f387-29ec-4b59-ac7f-474be7b179af	339	196	44	27	and
aac050f3-b307-4484-aa44-dbe074928e47	386	196	47	27	cry
6f5905d1-9037-4610-9b97-1a99e58163a4	386	196	47	27	;
c119c2f2-acb7-4a1b-bce4-e05a4b1d03e0	437	196	51	27	yea
4955b84f-2e18-4988-8299-42abcb489d72	437	196	51	27	,
91473e6d-bfdf-45cb-8ca6-73120e03e416	491	196	30	27	ye
9e860b3b-3fe2-4119-a1f1-99b9a3e32de2	525	196	57	27	shall
f6d5cf0b-5b80-4f7c-8a14-bfb79c5cc363	585	196	30	27	be
0b9d0c88-b9ed-4c3b-9680-7fce26a7201a	619	196	105	27	drunken
ab494c71-3958-4582-8fc3-b97f1ae9b1fa	619	196	105	27	,
cc96147f-7633-4bc5-ac35-d8d83cd44521	727	196	37	27	but
410e1c13-ef68-46b0-bbc6-1c449a0e1159	768	196	41	27	not
f3cf6334-90d8-4725-9114-126b722b2e15	812	196	54	27	with
7aea62a1-a0a8-4fe8-9e1d-015ce9d1957c	869	196	71	27	wine
1591676e-02d7-4e7c-94ac-33c86d6a0f8b	869	196	71	27	;
4454bad8-ac05-4c80-a85c-8ce4d5d85500	943	196	27	27	ye
28618e84-e443-47c4-8bb1-b89e1fa33ef3	974	196	41	27	shall
56d80435-eac4-4bca-8845-51bb53ee3bb7	339	223	91	29	stagger
5da5ae77-9127-4da2-a846-9386110686f0	339	223	91	29	,
3f256b5c-bac6-4de4-8a39-598413728fe0	433	223	42	28	but
6fcf2ed3-1c05-4d40-a598-f05961460237	479	223	38	28	not
d7a663fd-6ca4-4b4c-a40b-feec4b3d717a	521	223	52	28	with
e01ab074-5038-4619-82fa-fb6b04c775ce	577	223	73	28	strong
d3d4bb66-7de8-4325-8f65-0d9bf8ab5f0d	654	223	80	28	drink
f44b5bc3-dc00-4373-86fe-4a4cafc6b521	654	223	80	28	:
7eac7ecc-a568-48c0-9bac-4e6a6b09f164	738	223	42	28	for
ba5b935f-deca-43ff-b93c-1ba53419a5e7	783	223	87	28	bebold
2692e281-d411-4c38-963e-0524e454b1c5	783	223	87	28	,
d6195388-4d56-41bc-9fd5-102c7ae58864	874	223	42	28	the
2b8ad9b2-e13b-4893-8d2e-f18bc050fa20	920	223	56	28	Lord
ab42d749-0bc2-48ba-88bd-eb6c4dde8377	979	223	37	29	bath
c51dde05-9845-4abf-9115-e7d845f9fa8c	339	253	81	27	poured
b1fc7aca-163b-49ca-b3b1-b316ab66b448	423	253	41	27	out
05a8451f-dd1d-4e55-a6fa-520aaa07ef05	467	253	61	27	upon
45edc0df-7650-4b3d-ad1b-8745172326f6	531	253	51	27	you
626a1fa6-d92f-4724-b93b-5cc02afab6a0	531	253	51	27	,
445c6fd8-7020-4313-84c3-95e80f13a7c9	585	253	41	27	the
6ce8bafc-7c90-4344-a7f1-85f21c9e0296	629	253	64	27	spirt
bf54c5c3-83d4-4992-83ac-89f85e9f3086	697	253	24	27	of
7c29d1ec-20f2-40eb-a5cc-8c4599263e15	724	253	57	27	deep
c93a0a93-f686-4144-8781-3c68b0bbc8d2	785	253	70	27	sleep
03e596ef-ee86-442e-8def-5f5af4609915	785	253	70	27	.
e6da2034-3124-4eb7-a792-1ca526f8734e	852	251	62	33	For
7cef2a46-317a-4200-be94-756f0f575970	918	251	74	33	behold
dd580ea0-7a3c-443e-a521-426c5f9c6732	918	251	74	33	,
ec5ff0ff-1378-4285-88bf-14168af214ac	996	251	21	33	re
ef463647-fe8d-401f-a84b-b816f86d9e8e	337	280	56	29	have
3b5772a7-6a7b-4c66-816e-19d59289d1e6	396	280	77	28	closed
1ddc82c6-958b-49cd-a0da-39e3ae8400a2	477	280	56	28	your
2a33ff41-9a78-4a08-a1d8-88a003ddc44f	536	280	56	28	eyes
7d36cf03-3265-4a03-99ff-3f9eedb20826	536	280	56	28	,
255cd47a-45ac-4f59-9670-203bef1742e8	596	280	49	28	and
adee743c-c071-4d45-b381-8619b791061d	648	280	28	28	ye
3343b13a-7b8d-4537-a48f-9057d376a2bc	680	280	56	28	have
cc15aab9-6805-4bdd-8528-5d4cd4421ab5	739	280	94	28	rejected
af31bddd-8cc7-427d-88b7-0784daefc20c	837	280	38	28	the
938d01ce-2ba7-4f27-b9ed-763183b74ea2	879	280	105	28	Prophets
e7015381-0a38-47dd-a1fc-bad4429f8592	879	280	105	28	,
bc708f0e-6452-4b45-9a57-aac3c5ac5702	988	280	29	29	and
b06708be-9fe8-4db3-8724-0c66e3a623ce	337	308	58	27	your
5e0efac1-9122-4b82-a300-14f680ea2f62	398	308	81	27	rulers
67d16ae8-7831-473d-9598-0f85f01d3548	398	308	81	27	,
94448847-8f7f-4a22-a428-41a567053307	482	308	47	27	and
