ID	X	Y	Width	Height	Text
06cfd65e-ffce-4ba5-9d82-fa08c1642690	323	105	66	22	BOOK
b23dd71c-871f-4cdd-b3e5-4c689cb570f6	392	105	39	22	OF
75964695-e2c6-47ec-a442-a5c3fdf61748	433	105	74	22	ALMA
c5f9e394-afc8-40b0-ae18-b840452decc3	727	92	44	26	279
f78e6c7b-e3bd-4486-b2ed-5dee6bc05452	83	152	29	40	the
ec24ca91-68bb-42f3-8cf0-194e5779b4d3	117	152	63	39	cause
0278e614-9977-45bf-bdc0-95cb5c9cad66	185	152	24	39	of
1286c1fb-9cc5-4710-b475-88636afaf3ee	215	152	44	39	this
c490b110-a640-4182-ae98-54665f34cdda	263	152	63	39	great
98c3ccf5-62f8-44de-af78-8a866e671e7a	332	152	83	39	power
29d817bf-5b8b-4af2-808a-d2d309ac511b	332	152	83	39	,
efbebf6e-6a24-4cd0-ac41-9039dd49f82d	419	152	29	39	or
4ffd3a4a-2215-4d3f-9556-72d91992a1a2	454	152	59	39	what
398682d4-0fe8-4aa9-a758-824590bac1f3	517	152	34	39	all
68362258-acc3-422b-830c-7b6b9d4525e5	556	152	63	39	these
8db92026-2305-4991-aba7-40288779cd47	624	152	78	39	things
8c846e1e-bc62-40a2-bda5-3d206d243fe2	707	152	64	40	could
d565d702-284d-44fe-9289-61da263abc3a	83	196	64	20	mean
82ab3841-8e74-4e25-8763-740297464f3b	83	196	64	20	.
c85f0b29-fc7c-426f-af3a-3f5bd501bec0	108	213	45	24	And
89211d9d-71e3-43e0-be55-922a6c397352	156	213	18	24	it
7254d96c-d4ca-4411-a935-adf63a7a2792	177	213	60	24	came
2529fb89-353e-4662-a43c-596bffa013fe	240	213	27	24	to
882f3786-f030-4b76-87d1-735c9112dcf4	270	213	54	24	pass
be3aac84-f294-49c8-9756-4640ae4dcb9a	327	213	51	24	that
502069a6-22f7-4975-8be5-093b2a8b21c3	381	213	63	24	there
8553fd9a-0f84-433e-8661-3314ce670cfe	447	213	51	24	was
8e781419-81c5-456b-90fe-7d59dec9f222	501	213	66	24	many
1519435e-f802-498e-94b6-8478c88be73f	570	213	78	24	among
3e1dd67a-d77a-4829-8ac5-06368753f54d	651	213	66	24	them
7a1bb9bc-44dc-4723-9544-ae0f32ead69a	651	213	66	24	,
00145109-df32-425f-a5f0-62fde0895f3b	720	213	48	24	who
0f0e347e-0f87-4766-89fd-a9f0d8f39d22	85	246	39	27	said
9fb9d8d9-ddfd-4829-97c2-1a5d3cb7562c	128	246	43	26	that
bcd1b25c-ceb2-41e8-b98a-6b2fc2b05b81	173	245	88	27	Ammon
a60dd874-f5d9-4393-8a2c-11276f123a23	264	244	52	27	was
53bc8404-ab79-4d3e-9453-debdf2b8b394	319	244	39	26	the
495506e8-2fb0-40c2-91de-3bb4d0e1af11	362	243	72	27	Great
86eeaaae-c817-4fb3-820b-61aafc4165a1	436	242	75	27	Spirit
6d8450c3-86c5-4326-9737-6cd9567075c2	436	242	75	27	,
2dfbec64-1232-48a8-a088-959b169a9e25	514	241	46	26	and
4b0165ef-ba5f-4c81-85da-ea0b64c98dce	563	241	72	27	others
13054da3-b785-4813-8b22-d95c0402aab0	638	240	52	27	said
752bcaaf-bb57-497e-9b7e-ff8fd926c8e8	693	240	30	26	he
412c5cac-2136-4f51-984c-2b703b8c2688	726	239	45	27	was
1b6b5fbd-77c6-4d5e-9e32-4c3961843ded	86	268	39	31	sent
