ID	X	Y	Width	Height	Text
12a45e76-669b-4c99-950f-cfc8a888c57c	421	107	46	24	$
27a01778-e97c-4275-b668-a2ceeac4d415	421	107	46	24	02
5d7ba5c8-0eee-4c13-9bdc-49200930bfca	679	114	71	22	BOOK
68ee3d3f-872c-4089-a23f-326608cd564a	753	114	36	22	OF
763f85ba-225a-4f44-b51c-17a9bfcd29f4	792	114	71	22	ALMA
94d2a5d0-d4a7-48c0-8e49-620304fbc54b	792	114	71	22	,
91ed7651-03be-4e8f-a501-b68dc2ee65e0	419	153	39	33	the
b50cd6d3-fb39-4d3f-82a3-b40fd656eba9	462	154	90	33	borders
8cd0ad98-2c9c-4b6b-84b8-3424ac99b117	554	156	70	32	round
2407313f-acdf-4b96-8524-7569f26d7a57	628	158	67	32	about
f920665d-e2db-4799-8126-8fdb5b533b06	698	159	36	32	the
c9388942-8d03-4ac9-a1fc-f5a6dfb6d689	737	160	59	32	land
8afca937-d4e2-4237-8f79-5881e1f8128f	799	161	24	31	of
f326b4fa-2c2f-4251-ba35-8dd7581b2580	826	162	132	34	Zarahemla
e4d514a2-b4bf-4526-bf8c-32bdbea3f7bc	826	162	132	34	;
f1357740-4b16-46a2-9a5a-2ee5e1510773	961	164	74	32	behold
34a9d110-cbf8-4323-9e96-c1cc25f779c6	1039	166	28	32	the
ccce3bfb-e5f8-4cb0-a90b-328cd87b3f23	1070	167	21	32	ar
1c37019a-4f18-4036-ad56-48000e1f0b81	419	190	60	35	mies
1376f7c0-8262-4624-88f4-8b05407ad1a6	483	190	21	34	of
b19abe71-7aa6-4fb6-8b57-cda85a17feb2	508	190	38	34	the
6110c2ed-d512-4e17-b25d-dcc86fa369f9	551	190	119	34	Lamanitos
f834ff2e-e32d-406f-a05c-50e9f0efbbd8	674	191	43	34	had
4ea2ff92-ef0a-4655-9cf4-3d742e50dc61	721	191	98	34	followed
dbe06ae5-2f0d-4120-a41b-e5c65b41d76d	823	192	60	34	their
57f735f1-aa7c-458d-9358-d612d9e5e837	887	192	89	34	brethren
bd772e47-d0c9-4bb1-8130-47f0a3506904	980	192	43	34	into
1c3ec64e-2bf5-45d5-be2e-dc871c6956ac	1027	192	30	34	the
a280344f-6088-4cfc-a680-96c86c8294dd	1061	193	27	35	mi
2ae7246f-961b-4b49-bd84-9dac29ae58b8	1061	193	27	35	,
ef177907-4b3d-482d-8173-facd9f5a67a8	421	214	109	33	derness
0cb10531-48cd-4c8a-abb6-e10b0c99dc0f	421	214	109	33	.
de6dc761-6625-4c98-bae8-79130267cb0b	534	216	55	32	And
1ccd231e-8337-4b6d-b432-fe369a4646f1	592	216	55	32	thus
6ba388ed-03d4-4a63-b392-b97010d2a8e1	650	217	16	31	a
19b3acf7-a666-45c2-a513-1665b467e8c3	669	218	140	33	tremendous
9b986593-0945-4ec5-b916-bf98814222ec	812	220	82	32	batile
fb2e0aa7-7af5-4e98-8077-fecc695771b4	812	220	82	32	;
03f3fb3e-80f6-4541-957e-bd5183fe1d0b	898	221	55	32	yea
e590052b-d6b9-4bd0-b23a-5fa671670a6d	898	221	55	32	,
b383e9d2-aa09-43fb-a98f-44af9f3aaba0	956	222	59	32	oven
272f6d6f-db76-4459-af32-fbdb4997433b	1018	223	47	32	such
f7a89cd6-1f59-4c40-8696-4f98772283c0	1068	224	20	32	an
c13d914e-92c0-4e50-acf5-0099044812c5	419	236	43	35	one
19404d33-b84e-4c4c-91dd-ebcb76eb1bc9	466	237	30	35	as
e02b8431-99a5-41f5-a07c-92fa0adc832b	500	238	69	35	never
0838a6ab-6b35-45f9-82f8-9e45f5f837a6	572	239	43	35	had
027a6d49-e405-4b90-9f91-23deec2ff3f6	619	240	56	35	been
6b22ed38-73d4-45c6-bbd2-c61745411220	678	241	81	35	known
b00591bd-7be1-4600-ac5a-d78c1b298f15	763	242	77	35	among
bb6d1b0b-df79-430d-886b-1fd0a5eb89f4	844	244	30	35	all
4b9804ca-83aa-433a-8cba-5d4935b9ed6d	878	245	39	35	the
c88262d8-8e97-4881-bf2f-25d8c87f5463	920	245	73	35	people
9d9ec3fb-3692-4d87-8d9e-d51d6aaa1849	997	247	22	34	in
edb2761a-8bcf-4535-92ef-f43e9dd35a06	1022	247	30	35	the
167f20e0-15f6-4109-9924-f9e028c56ef1	1056	248	32	35	land
cc48eb71-ad37-4b3f-828e-787ae7980543	419	272	56	33	from
224fa963-5767-49a5-ab2a-a865660b348d	479	272	36	32	the
99ba2f66-4bfa-4c1a-b2f0-51a4836da0e8	519	273	56	33	time
e2ac7dc9-fcc8-4dee-827a-3f795f05a3d3	579	273	56	33	Lehi
7490c480-aad6-4af1-9837-f8e1a886bd38	639	274	40	32	left
b95bd232-e116-475e-9e65-d3ebc84dde96	683	274	132	33	Jerusalem
d47ddc6f-5d80-4596-9b5c-3ec591bf2d6f	683	274	132	33	;
d5a18f77-c692-4e09-8395-f9a4f5e424cd	819	276	52	33	yea
14cb5a22-b99b-4ad7-9b20-668b7b8fcdc5	819	276	52	33	,
d533d98d-4ff5-466c-bf93-603e861e6c50	875	276	40	32	and
12e3a2f1-7bdf-495b-8b34-d010110eee5f	919	277	48	32	tens
