ID	X	Y	Width	Height	Text
d5936db4-c113-416e-8f51-5dadc9bddf15	226	104	22	18	83
758c46b3-c799-4cca-840c-7bb010bfb5db	358	106	63	14	SECOND
de35a3a3-1fb7-4e55-b971-accfc6f49ede	423	106	51	14	BOOK
d182ade5-aff4-46c6-8f9e-62a09b3cac23	475	106	26	14	OF
4a6abcf1-33a2-4743-a9b8-a6d311d5d71b	503	106	61	14	NEPHI
205aa5cd-85e3-43ca-9ed6-598b42cba0ce	503	106	61	14	.
07fa867d-78eb-4440-85c9-0cee1bbdbbd1	224	140	49	26	one
48e267bc-2593-4ebd-916e-20d972bfe4d3	224	140	49	26	.
d94d4971-5a31-4ba3-9a97-6a8c7cc2da2b	276	140	104	26	Remember
37814714-be91-45a8-9dfb-74ead6d89bb6	276	140	104	26	,
85163aed-7511-465f-ae6f-93a75c67c14a	383	140	19	26	to
092508a7-d750-4585-8888-80c628c3fa86	406	140	23	26	be
12b0d886-1979-49a4-b18f-6601032931d1	432	140	71	26	carnally
2b4bc9a1-ec84-444b-a0af-e58c69bdd87d	507	140	71	26	minded
1ab6f933-ac69-4ed6-b2b3-5d9493d1a51c	507	140	71	26	,
1c4fb4e9-855a-4fbc-a96c-b3fcb6142fd1	581	140	16	26	is
2df86e35-c88b-40f9-b546-50deccdb425a	601	140	55	26	death
723e49f7-c91b-4c65-9cba-4e3893481b29	601	140	55	26	;
f8706da9-6908-4f80-9da3-b662954e5fd2	659	140	35	26	and
0a87b484-a675-4beb-abca-e663b7f2eae8	224	160	19	26	to
bdbb18a4-91c9-4f7f-abd1-4f3fd5c6d871	247	160	19	26	be
169e0e6c-2658-42ad-a715-c71ab1009f1c	269	160	94	26	spiritually
8ca04390-4256-4f66-93d0-68f5bcfc4d2e	367	160	68	26	minded
0c002a6f-8fe9-4013-889f-7254deb985a8	367	160	68	26	,
b8249447-ad73-4e99-9bee-d30d39a53a54	438	160	19	26	is
3d96d6a6-7500-445f-a611-e3ff08ee1fe0	461	160	29	26	life
2387e740-45bd-48cc-8741-719dc0e150a7	494	160	70	26	eternal
b9e06363-6d59-41d1-b377-b016ebe3db65	494	160	70	26	.
f251287b-7f1f-4654-a822-173895bc7fca	224	178	80	46	Boneme
6cec6813-f9c1-480f-a4dd-85e4bdea375e	310	178	40	46	lie
7a5682a7-f560-4763-8367-a0599731b96c	356	178	17	46	g
92fe06a3-5626-4ad1-b127-7e04859fd2b5	379	178	63	46	retire
8efaaafe-71f1-4547-9d3c-f8ffa64f738f	448	178	52	46	he
c26707ba-bed6-49bd-a026-9c81083ba943	506	178	46	46	art
fd033559-8c40-45d5-a915-5cff074d2647	558	178	40	46	one
b8af890c-078d-45da-b004-db729192d18c	604	178	23	46	or
90e17877-10f4-4cff-9f09-988e2171f070	632	178	62	46	stag
ee8f3e82-7076-4d36-920b-4792e65610b2	632	178	62	46	.
2c84081d-1010-4eb6-8184-988196eb018b	228	224	25	19	Do
24463ba5-cc19-42f6-b179-91045358f916	255	223	36	18	not
4ec746f0-513c-4a17-a109-e63e7f0b869c	293	223	36	18	say
acf8dbe0-7ee8-4f97-90e2-9e451c7b39b8	331	223	41	18	that
31a648cd-b9f8-4d11-88fd-76ffa6247864	374	223	16	18	I
34b4d4da-4dd1-4500-8aaf-1d112781b1a6	392	222	47	18	have
b4555a5a-0480-482a-b0f5-4924d696a2bb	442	222	70	19	spoken
478b8407-6390-45a8-a47f-4ea9329957ac	514	221	45	18	hard
ae403ebe-3c25-4d1d-bf8a-14b385eef5f6	561	221	63	18	things
ff2a5623-b060-4821-8b8a-d89262a3429d	626	220	66	19	against
64982d7d-11bb-43e0-a876-65634a037e5a	222	242	58	42	Thare
bd73ef79-3b45-4f2c-8ed8-0cb6b6c62a6d	285	242	58	42	spoken
2be4341c-9374-43c8-bc58-6c024ec1ee6e	348	242	26	42	the
f2957c8c-aa72-4cae-b35b-13cd8a592cda	380	242	52	42	words
a80195fa-6d53-436e-8263-0038352dce3c	437	242	16	42	of
4ff1cfbd-9206-4d58-af5a-ac94c8ac5d3c	458	242	42	42	your
4aff21d0-4b3b-4af9-86ac-c1d0afabe8aa	505	242	68	42	Maker
fcc73f27-8304-47f8-98ec-4994be0cda57	505	242	68	42	.
76dbab61-195a-487a-85c5-79cb18c300d6	579	242	21	42	I
900011c8-fa65-428c-83df-e4e27de520bf	605	242	47	42	know
7351e7ad-f0dd-4dd2-a9ef-9d96af80016b	658	242	36	42	that
d42eba08-8d39-4277-b9cf-65cb55b40be6	224	280	30	24	the
8405a657-7963-40d6-a87a-88cc2ef5a0a0	257	280	57	24	words
50c7740a-7f10-41b2-8b9d-34a035c9446d	317	280	21	24	of
48e5417f-959c-49a9-8e58-d3f7de63701a	341	280	48	24	truth
15055a20-4e5c-4201-9958-e0dd0944b5cf	392	280	30	24	are
d28635e2-fc89-427b-9847-c528368df656	425	280	45	24	hard
