ID	X	Y	Width	Height	Text
04b7f35e-2dbc-45eb-994c-fd487e5fdb03	182	60	36	12	BOOK
aebf2820-fceb-41d5-96e3-0160f0dda3d8	220	60	20	12	OF
0b35ae90-fe8b-4f83-9da4-a316e1024e17	241	60	47	12	ETHER
349e82cb-cf9b-45a9-adf5-49c9e46e6c86	241	60	47	12	.
7c3a75a3-f32c-438b-8686-3fe58524ca6f	400	58	28	16	543
980335af-c2d1-4fb8-b812-08494fa672ef	42	88	27	18	and
86911f89-0c42-4908-8179-255d464f002e	71	88	47	18	whoso
38dd601a-c905-402e-8b0f-f2b4c110df63	121	88	45	18	would
e91f1b82-efd4-4ad3-99a4-92018741237f	168	88	25	18	not
5b21b664-76de-452a-a6c3-2bd3b4aa26aa	195	88	20	18	be
d07e793c-a300-44f4-a9d7-6408a8ad82ca	218	88	54	18	subject
0ca2d1d5-1534-4ce2-ad69-31fe4e234434	274	88	31	18	unto
9641aead-73ea-4578-a9ec-4de6aec1ae91	308	88	43	18	taxes
20eda9f9-62a9-40a1-94a3-fb3e574cb6a1	308	88	43	18	,
aedb712f-2b36-410a-b814-58c4e3f080a0	353	88	18	18	he
dd509309-fce5-466f-b43e-40576ef93b1a	373	88	22	18	did
45170591-8222-428a-92ca-6d07e2491158	397	88	30	18	cost
534a80ad-a141-4eee-80d0-8e0d1f465d9d	42	104	29	18	into
6577ecad-648c-465d-954c-f1313f9dbe2c	74	104	50	18	prison
a08aa76e-e266-47dd-bad0-f50b0656089d	74	104	50	18	;
42672de4-87e6-4ea7-b5ec-4c7391843383	125	104	29	18	and
cccf4d7f-738c-403c-91da-ee4d0a5cf23a	157	104	45	18	whoso
3df2d75c-4e81-4154-9783-28045b219f64	204	104	29	18	was
8167cb88-4ed2-4ce6-a0cb-5b4b112ce8ec	236	104	22	18	not
83b2fd49-f034-4de7-a9ee-0e87d2204bfd	260	104	31	18	able
6836cf62-fe02-4472-955a-ed1171c2b96e	294	104	13	18	to
23064d0a-e171-4521-95cb-039ee9e0c063	310	104	27	18	pay
dfde67e7-67c6-4b57-885e-1b1ca4afbe0a	339	104	40	18	tnxes
68a31028-79e2-4d5b-b2f2-6f3da19d3ee5	339	104	40	18	,
ac56c63c-69a2-42be-bcb4-d4f1d4d597c1	382	104	18	18	he
9844400b-98cc-44ec-80f7-bb157afaa2e1	402	104	26	18	did
0cf1146a-6b2d-4d82-a69d-d9ad01e00d65	44	120	26	14	cast
8e5119ac-4342-45d8-9251-8b28d1a3247d	72	120	28	14	into
e014ace2-b60e-4ae5-8cb9-edc5a86f2c0a	102	120	52	14	prison
