ID	X	Y	Width	Height	Text
911a2f46-2f67-4218-84ca-3430d266e458	68	72	20	16	66
c5aa735e-e1af-4bc5-8d99-b25bc4519ca4	190	74	54	12	SECOND
07b88672-c58e-4920-bcf4-4dc667670b2a	246	74	39	12	BOOK
f0f6c251-2f50-486e-b3dd-e83c45108377	286	74	23	12	OF
348d61f4-e5f2-4d56-909f-5cefdcff0a53	310	74	46	12	NEPET
68552336-2760-4491-be20-441fe3d6b321	310	74	46	12	.
444d434a-064d-49c1-906a-eb517efdd1de	410	72	44	16	[
9ff5ee58-3e4e-43ac-8a44-0c294774ed63	410	72	44	16	CHAP
320e6b3b-e077-40b2-8030-7f9500fd166f	410	72	44	16	.
23778252-7a95-435c-a1f7-be5b897b7bdd	456	72	26	16	IV
d89f34cd-8d18-4365-a9e9-9e4e8a54c31f	456	72	26	16	.
b0aab8bb-e575-46d0-bf45-a97a0754e783	70	92	32	16	unto
cc651172-4bc1-4a0f-a910-59735858d1dc	104	92	70	16	Solomon's
6d1db998-da6e-4c04-ba6f-ea98f5fb6216	176	92	54	16	temple
00b87dc8-5a62-478c-b767-918afb1045f0	176	92	54	16	.
d42c071c-7779-4eef-81fa-a53856a223b0	232	92	30	16	But
c587e4f0-4561-489e-8c90-e3f9e871dc8b	264	92	24	16	the
699efbb1-2be1-4fe0-9236-efc26210f57d	290	92	54	16	manner
f96782fb-9a0c-4269-8003-f4f754e18358	346	92	16	16	of
ad3594e7-b067-4f1b-964f-b28e52dc04d1	364	92	26	16	the
13ef4b48-c352-40b4-a2f1-14a4f11065e7	392	92	86	16	construction
9be66a80-ff44-4547-9c1e-e58c63e8c706	70	105	25	18	was
95119a99-127a-4fd7-a8bd-e3e2f0392085	97	105	27	18	like
28a9f06b-f0d3-4e56-8795-7cd54cfa97cf	126	105	34	18	unto
44937542-7b1e-4511-a965-5a43933e62d2	162	105	23	18	the
c094fd1d-6288-4e5b-b8ba-27466ce9346b	187	106	50	18	temple
25ddcdd4-e086-4b2e-ae02-fdc4143adcde	239	106	16	18	of
8c92d961-807f-418b-b244-fcf1848b2507	257	106	68	19	Solomon
08f65752-d960-4ec3-baa9-448f7761a542	257	106	68	19	;
6638917e-4de5-4be3-8206-da13b41660d0	326	107	29	18	and
e6967ce8-d527-46fc-8df6-f009e268b15e	358	107	25	18	the
bf37cfbd-fb2b-4a50-927e-a8c7261d61c3	385	107	93	19	workmanship
6df10747-b693-4f49-8fde-92902adbea3a	70	124	50	16	thereof
5fe7c1a7-25e1-467b-848a-a9ea6fbd1efe	122	124	26	16	was
d352a89e-d2e3-4c71-b03b-7a072a91cb47	150	124	66	16	exceeding
7c4e589e-1e12-4dfa-bece-07f7adcf5681	218	124	30	16	fine
a25f16c7-e5f5-40ae-a87f-f25250618ed5	218	124	30	16	.
e334507d-38c4-4017-b4bd-bd2614d67b0f	68	154	18	16	be
3f3043f3-c44c-4da9-ac82-ad52b9c2235b	88	154	82	16	industrious
32bc75c0-8e5d-4920-aeac-0061f1893678	88	154	82	16	,
fb2fc429-8b73-456a-98ac-b913e2024297	172	154	26	16	and
fafbbf20-d95e-4fbe-bc37-697d7fe5b43a	200	154	14	16	to
63c07345-ad1d-4b19-ba40-eefa8ba41b94	216	154	46	16	labour
49bbdbba-8c48-43ac-bc73-19ad435fc6d1	264	154	32	16	with
cb410f97-aafb-4c93-89de-aabfd541e0e6	298	154	34	16	their
7d773399-b723-4e24-a31c-9587cb930047	334	154	44	16	hands
f19998f2-6dfb-4d4b-9595-f1aebffdef32	334	154	44	16	.
e4242042-536d-428e-92a2-a197e8a7bdf9	68	170	16	18	to
386464e6-bd34-4ff9-865b-3bd7eda177db	86	170	29	18	pass
22363c6a-1b52-43d8-9944-d9f2f480c4e3	118	170	29	18	that
468a0b97-745f-491f-8133-a22ff85f1751	149	170	34	18	they
0343a6cd-7570-4295-aa1b-ed8b40a6c4b1	185	170	43	18	would
e0cd44b2-11cc-4fe9-bdc3-355f21dcebc1	230	170	32	18	that
80b14a4d-de32-49ec-862e-92fa89fc7376	264	170	11	18	I
b4d586c7-2d31-418d-ad18-2c475c315c11	277	170	50	18	should
d3743e7a-500e-435e-8805-b9fcbdb77a28	329	170	16	18	be
7e7cc591-201b-423c-996b-bccdd093e9c8	347	170	36	18	their
903c504b-6182-487d-bee6-bea297875972	385	170	35	18	king
420b71d2-616b-4c4a-ac35-84e41e3477f8	385	170	35	18	.
bfbb4aa9-1200-496f-a1c5-cf5e80c9cea7	432	170	30	20	But
46c00662-815a-4657-b501-aa5d05f54764	464	169	14	20	I
34d4704f-ba46-493b-a61d-2651207bbb9f	464	169	14	20	,
3aae66f7-a2f0-4c7e-898e-712998a6a7fd	70	188	45	14	Nephi
3d2d1340-63b0-491f-8965-31d525334c94	70	188	45	14	,
2c10daf2-f596-451f-9663-0e5d887ecf8c	117	188	28	14	was
7742e501-af50-4ef5-802a-acaa96f9db33	147	188	59	14	desirous
394074b1-90b1-4427-94b4-b76a1a427566	208	188	33	14	that
04d2f056-d178-4cd4-805c-f08e093beb7f	243	188	33	14	they
b3fefa74-c970-46d2-b9af-4c5854c008eb	278	188	49	14	should
f9d786c2-9532-47c3-8cc3-75e78c22b7ca	329	188	35	14	have
43dab4b6-3e13-404e-8667-39e89714feb0	366	188	19	14	no
1fc83ccd-3998-4746-b07e-6ea31b525d5f	387	188	44	14	king
431aa5c9-3839-457f-8387-b5584602badf	387	188	44	14	;
