ID	X	Y	Width	Height	Text
6a97031d-afdf-4226-bbd1-4143462fcf60	72	58	46	16	CHAP
d150e58e-28ff-44d5-8ee4-fe380baf376b	72	58	46	16	.
c412e48b-979b-4b44-a969-359cfc06a664	120	58	34	16	1IT
f878b96c-567a-4e5c-a881-12588a34d3f9	120	58	34	16	.]
767d43ff-be6d-43f8-b91e-880b52b72fe3	220	60	42	12	BOOK
ad740449-3b99-41e7-9330-90ba271cee3a	264	60	24	12	OF
ead280d4-9924-49cf-9055-684536b77576	289	60	81	12	HELAMAN
80134ada-5412-4741-b4d4-b7ffb6ad3fe7	289	60	81	12	.
5ce19076-6cfa-4fa0-92cd-2b83eff1543b	494	58	26	16	433
d4081c11-40b9-4ef1-be14-059efb367652	96	86	28	16	10
d3d61997-4a8c-426a-974a-f4d753728f87	96	86	28	16	.
6a7310aa-fdbd-41ab-982f-fa8f49c3aefc	126	86	34	16	And
245695e7-1e2d-4101-bac4-30d4eff00e33	162	86	16	16	it
5a9ad546-d84c-40e5-b3ac-4eec72a62b6c	180	86	38	16	came
3c50578f-61e4-4bbc-9565-1b624c8a3e11	220	86	18	16	to
7bf1aac7-fd69-4ac0-812c-b83c26de679f	240	86	36	16	pass
62db1346-95d4-4590-9b0c-e1755d81c000	278	86	34	16	that
3a4e6770-7f6f-4992-9896-fc6006a13662	314	86	70	16	Helaman
a11f1877-59a1-4b12-90ad-0279a4c79939	386	86	26	16	did
e7c03cc5-334c-4d4d-960e-25acfc866fba	414	86	42	16	send
30e342db-2f64-490e-a97d-0b40c6ecb290	458	86	42	16	forth
03f287d2-053e-4403-aa8c-cba1d5df476f	502	86	18	16	to
47145798-1660-417f-b8be-e5fae5d2fbf1	72	100	34	18	take
d0c69c1b-6f0d-4c33-b6e2-14d4a5304ac3	108	100	34	18	this
c54c8d36-ed57-4ae5-a181-8e160f468c05	144	100	41	18	band
a335e042-d386-45a2-b00e-1b8eeee51cdd	187	100	18	18	of
65ebdcb5-1421-49ac-bf00-b94473c2f763	207	100	63	18	robbers
315ca534-c0e8-4bc0-8720-9f063d48ad3a	272	100	34	18	and
99ccfe9d-7bc7-4ed2-9539-64eaa3d64829	308	100	47	18	secret
9c38d7d3-7fbe-4b0d-b252-29ef595c08a6	358	100	86	18	murderers
5f17d7db-85e4-4dab-81b7-bc36ae1e7c89	358	100	86	18	,
982eca2c-4f23-421d-8826-39808ea7cd2e	446	100	36	18	that
