ID	X	Y	Width	Height	Text
192582e3-7ca2-43bc-bf40-4ab7437f0dde	136	134	59	35	444
0d18913f-26eb-4259-b6f4-17d7b46f0cf1	431	134	99	32	BOOK
7c3b0d35-7dd8-4fa6-a57b-ac256c6b0add	534	134	48	32	OF
a47a02f0-987c-4fe4-bb73-e5c8ec33da1c	586	134	102	32	ALMA
04f8e4d1-d043-4a5e-afee-fa3607bb704f	586	134	102	32	.
75aaa553-1f13-4229-9f44-1ef5b2eee3d5	840	136	105	30	[
fba75871-386f-4d13-a573-c9c4c544b384	840	136	105	30	CHAP
cbf5fe6d-3336-483a-bcf8-ae8954ff2a5e	840	136	105	30	.
0758e99a-10bb-4904-aa2c-21498331b412	948	136	35	30	L
cba0a2e6-7144-4f47-bd82-409d70458f2e	948	136	35	30	.
7088f3df-5a2a-464d-81ca-6acb70260d90	191	191	65	40	28
b448e35e-0b12-479a-96ca-3ecef14e9ce9	191	191	65	40	.
1d5f8cec-545b-4865-b3c9-0a29be84d919	261	191	75	40	And
03b21765-aa6c-4750-ad6a-f88ef09fceda	341	191	30	40	it
a60d1269-c675-4f48-82b9-1a55a697914c	376	191	85	40	came
90b53ceb-6e58-4afe-b4b5-7b6e4065b1ae	466	191	40	40	to
d3be6375-2445-4d9e-9e70-3e639f1900b5	511	191	80	40	pass
b4dba4f6-caf0-4c4e-9823-ea26bcb55580	511	191	80	40	,
3171e0c9-420a-4dd7-9b6c-670b15c770c3	595	191	75	40	that
c4cf3543-50f3-40aa-a48a-2fa2829e6d5a	675	191	45	40	on
39c3c347-484f-496a-be60-d500bfda6e00	725	191	60	40	the
73431439-2e86-4c5f-bcf5-6157df009ff7	790	191	90	40	other
85031493-357d-4771-901a-0df39760c0eb	885	191	96	40	hand
27804c8c-9f1f-4f5f-8ed7-97c255fc3a23	885	191	96	40	,
dbc795dc-001e-4e04-95a5-bb110d158777	146	223	55	37	the
76d0584a-a10e-467e-8367-3648c02e0010	206	223	102	37	people
8af0d9d6-1805-4bed-8370-8028970491fc	312	223	32	37	of
9d283a4b-e1c1-4409-a723-50decf141c7e	349	223	102	37	Nephi
c77fbbfa-4cd5-474e-9d3f-dcdeaa3d88f4	455	223	55	37	did
cbc801f5-395f-4aea-abbd-307dae3b4008	515	223	97	37	thank
3933079e-d8d4-4c93-a170-0ae06c668cb0	617	223	55	37	the
f8240502-e1b9-4012-a658-00bd8256a54e	677	223	79	37	Lord
e38af8cf-e989-441e-900d-91e6a34fa8e1	760	223	79	37	their
f483f415-fe74-4822-8568-facf7eeed9d9	844	223	74	37	God
f7e81e42-d2be-4771-ba0d-62258129ddd3	844	223	74	37	,
d22d6677-c21a-43b8-baf3-0cee1775d854	922	223	56	37	be
d7e37963-d71a-4707-9eeb-76faabc35e04	922	223	56	37	-
aa06590c-6aa2-4ca0-bd87-e8ded1326e3c	149	255	88	28	cause
34bb97ef-e7cf-42ae-a7a6-031f65cfa34d	240	255	38	28	of
2b202988-6f59-4cb6-b4c8-0e0c402fa5e8	282	255	52	28	his
a2e4a820-2203-4c0d-8769-4750c3e0e4e7	338	255	157	28	matchless
d5970661-a5db-44e7-894b-b93355776897	499	255	101	28	power
040b4112-5235-4a43-a22c-49ed9927436e	603	255	38	28	in
ae7a8f7d-cb7f-4b6a-8326-0db79ee37028	645	255	161	28	delivering
4642cdaa-b5fd-449b-8cb1-301f84cc3227	810	255	87	28	them
a62802b0-9233-4878-bdfb-8b2686e9f875	901	255	73	28	from
1a742eee-6f39-43e4-b0ed-9bf3b270b77c	146	285	56	32	the
0783bd23-b14f-4927-8bfb-2b60a668b7d9	206	285	100	32	hands
7ecbf052-c23b-45d3-a142-d22812e2171b	310	285	40	32	of
ef3adb62-2449-4439-bb25-de9cd06a2c15	354	285	84	32	their
792b59b8-1b7e-4295-a1b7-cd3bab12d53e	442	285	141	32	enemies
5de9c1b1-a1d2-4783-a7b0-e39a8aec0178	442	285	141	32	.
