ID	X	Y	Width	Height	Text
717c00c0-96c0-4370-9ab3-319bc45d17bf	66	68	42	14	CRAP
a232319a-2ed3-486d-9417-6ab794c9286e	66	68	42	14	.
32193339-9f49-40c0-ba1e-58387362b7c0	110	68	34	14	XIT
d388cf4f-aa71-45f8-9e94-19980ee44d35	110	68	34	14	.]
417c6b6a-33fc-4e99-9849-c025635e3c5f	250	70	34	12	BOOK
5468f743-4472-4ab6-a816-f656500e2fe5	286	70	21	12	OF
f0423da5-096f-4d67-b092-94c7332a6e38	309	70	49	12	RTHER
9213577d-4c3f-40f5-abb3-70d856193302	309	70	49	12	.
91896376-eb43-4ce2-b894-914e06619ef6	472	68	30	16	599
c999f4bc-0449-4fbc-bbd5-f43f7e653cc9	68	96	42	16	write
f1629406-b83b-4fb2-83e9-8b8f00d1a297	68	96	42	16	,
6d6041d0-58cd-4b74-a32c-389b32e0e68c	112	96	24	16	we
3783ac48-55aa-4f50-82b0-0d75f0c3d6c1	138	96	52	16	behold
96fb700c-a9fc-4487-818d-db29fd5098d6	192	96	28	16	our
3ddb832d-24a8-4598-b06a-52001b98138c	222	96	74	16	weakness
cf8ed585-4a4b-486e-884a-1d89b5344472	222	96	74	16	,
186b87fd-cb56-4c2e-8b91-e805ef637eec	304	96	31	14	and
1461a9d0-4e68-4e88-bf35-c064bf89f312	337	96	58	14	stumble
7c0e2df4-50c6-409b-9004-4ccc0df72979	397	96	59	14	because
9211d007-fc47-4ef0-83a1-d09bc1fb9583	458	96	17	14	of
1fcf19a3-1b50-4978-aae9-85025c5c1fe8	477	96	25	14	the
3e3c4727-cb95-4c3e-a6f1-19438b4d96cb	66	110	56	16	placing
01fb3fd0-d1f7-4fda-bbf3-e5e0c9a464b0	124	110	18	16	of
b0c24c69-98ad-4958-bf1b-9141b9d9b2b7	144	110	26	16	our
5b2b967f-ddc5-46f0-9bcb-0987a3f222c2	172	110	48	16	words
22014a55-debb-4702-923f-4b1570009cc7	172	110	48	16	;
688ccb17-1a53-4304-8c75-cf6d3924832d	222	110	30	16	and
bae7eaef-b4c7-4c6e-beaf-47fa6ee830d9	254	110	12	16	I
c74a1b0a-8316-4a38-a8d7-2998b5a702b8	268	110	32	16	fear
5dcb2fac-2653-4640-a8bf-dec7106ea323	302	110	26	16	lest
65732ec3-d21c-4a72-9d30-7825b748a7ee	330	110	24	16	the
5115b38d-1eaf-46e1-b84e-0f9fc6e5a1d4	356	110	60	16	Gentiles
1abd71cd-c910-4b31-bc6a-aa15e711b036	418	110	38	16	shall
d54cbde3-0fa3-49b2-8d5d-5dc5b798331e	458	110	44	16	mock
fd63d155-205f-4896-b8a3-2999df6b1e6a	66	124	16	14	at
7fbf20df-ab8c-44ad-b54d-4439581d46ee	83	124	26	14	our
a43829fa-3b1a-40e8-b4b1-d6f56715637c	111	124	51	14	words
21e11c34-c55b-47c7-adb2-778cfe28d76d	111	124	51	14	.
16c86cc8-bcd4-434a-97b5-72f9d1c6c31c	90	138	24	14	26
05947ad6-3348-407a-837a-2e5ea2f29876	90	138	24	14	.
a22b1594-06a3-4f71-99de-8b27b6f94049	120	138	34	16	And
e56ec138-7978-4b0d-b86d-390ce9dc9cd5	156	138	42	16	when
10915c64-7994-4042-9d53-0ef8ed9a2336	200	138	10	16	I
11b9920b-907b-432b-b89c-669f1d2af31f	212	138	28	16	hatt
86cd9578-9346-48f1-8037-a79ba662ff8f	242	138	32	16	sald
000da252-10ff-42d1-a26c-d60840ee0c4f	276	138	40	16	this
27c6376b-7538-4815-bbf2-b867e451405c	276	138	40	16	,
6a2b44c9-152e-4b4b-ab8c-d3ccb4c6ebe5	318	138	28	16	the
6489fe69-4b34-4337-b283-96baf5f268a2	352	138	36	13	Lord
354766d9-4cff-4ccd-8d6c-62773a9d972c	66	152	50	16	saying
18677e2b-a39f-4a5d-963a-97e64c7632f3	66	152	50	16	,
32e96049-812f-4900-a84e-4473fe054e9e	118	152	40	16	Fools
b84c2952-689e-443e-8277-9f9d184bcf23	160	152	48	16	mock
dae6506c-6842-4b25-8dc7-92180c4b6689	160	152	48	16	,
990b17ab-ebf4-4217-b1bd-d16423b8cd99	210	154	28	12	but
bac8c2b3-4225-4859-bca2-420b9b63b934	240	154	33	12	they
51af6154-1668-42f6-b43c-8386721e94f4	275	154	39	12	shall
