ID	X	Y	Width	Height	Text
9f59edfa-5dd1-49ad-83a6-1d5f37aabc50	120	116	72	38	122
00878b3c-9ba5-49e2-83ce-c978fded20f3	412	110	211	47	SECOND
1a935ff3-f84c-450b-9858-04352eee2022	629	110	153	47	BOOK
96d0a084-a335-4369-97a3-16d020096115	787	110	88	47	OF
d1da0bdb-b24b-4698-8417-57396744ff32	881	110	194	47	NEPHI
82843305-64dd-4c13-874e-bf6ce8caeef4	881	110	194	47	.
10298019-a3cd-463a-b112-5b249d6f6756	1132	113	159	44	[
3439c04e-b7a7-4581-a0de-ef7d6f116241	1132	113	159	44	cHAP
524a35b3-e763-488c-bce6-f9395fede9fa	1132	113	159	44	.
af276cdd-b350-4fbf-8411-53f9835f4524	1297	113	43	44	8
1f69c012-0178-43e6-a6d5-957997e09046	1297	113	43	44	.
a7ad33d5-ec8c-483a-9d37-a34b614701da	123	189	94	47	wine
2353a68a-5d15-4158-ad6f-69c44f3f63c9	223	189	70	47	are
ebd568b4-449c-468d-a5c9-4319e32bbab8	299	189	47	47	in
22a3d857-4a3a-4430-8ba0-a3b0128c2a78	352	189	106	47	their
e5885991-68ab-45d2-ada2-a4f93633e5ef	463	189	153	47	feasts
1a848eb6-889f-4c93-bfb8-9d75e4b6852c	463	189	153	47	;
772a3209-e351-4fff-ae04-acbf0d206e79	622	189	76	47	but
95d79839-f785-40fc-b92e-a35d8fcf4dbe	704	189	94	47	they
2b842a5b-baa4-4cd1-a1d2-20e5c66a284a	804	189	141	47	regard
1d3ea3ff-1503-43c2-b40a-a0adcba3d1d7	951	189	70	47	not
10186f2a-de68-458b-9229-6f94a5d74d63	1027	189	70	47	the
cff074aa-2fb5-41ad-91e7-0126d42a16cb	1103	189	106	47	work
6f7b68aa-47a8-4f39-8b92-48f41c8b80d0	1215	189	53	47	of
a72aacd6-f2e9-4dca-b50e-a97fb18f9aed	1274	189	63	47	the
ab08c40f-9ff8-45a2-a689-6e4efad02ef2	120	239	109	51	Lord
8660cf48-9921-4a5a-9cf9-d8fa0bf85710	120	239	109	51	,
bba355a0-543f-4eea-86d4-f20636c1ff0c	235	239	153	51	neither
84e685df-fc1b-4713-8017-0df9af331d2b	394	239	172	51	consider
c2e6d1d3-3847-43b2-9bdc-109961edea8e	572	239	76	51	the
27223aa5-93fe-434f-bac4-5fcf3d064d8a	655	239	191	51	operation
e33a9908-34dc-41e0-ae16-75c96c6c392d	853	239	57	51	of
22ebfbbc-419c-494f-ab05-c4400cd4a249	916	239	70	51	his
a2608481-fe01-435a-8d37-8537413be373	993	239	133	51	hands
9e91177e-9af2-4547-b12c-d7965001d8af	993	239	133	51	.
7d0fc707-227d-438a-9ba0-12d09b2dd7ac	164	286	51	51	83
c6890ce3-9de8-41e2-8fa1-31c00ca4c07b	221	286	242	51	Therefore
3e904a94-5718-4747-a8a4-8251380c922a	221	286	242	51	,
254e7f66-31f6-41c7-97d4-fe7e796c2bf9	470	286	76	51	my
6e0d1133-47b4-4af1-b571-ffb72bdf4914	552	286	134	51	people
0bbc2ac5-dbbe-4bec-9fb3-683d587bc06c	693	286	76	51	are
75e8dea1-1910-4903-8cbd-237b55fc370e	775	286	102	51	gone
975b5572-7597-4860-ba80-656c31855ad2	884	286	89	51	into
7f1da61c-5354-4d2b-b2a8-41b29d1855d8	979	286	197	51	captivity
3e4ad8e9-38a5-4dc4-99d0-6812e22c047f	979	286	197	51	,
7b712564-9dd0-426d-853b-7dc984ca691c	1183	286	153	51	because
cbf46829-bb9a-4836-93e5-82c7aa1ee960	119	337	94	46	they
b655b0ea-37af-4e41-ad3e-4285f41b85b5	218	336	105	45	have
96e84675-9182-4b65-92a5-f8f664baaa21	328	335	61	45	no
f437c8c5-4e09-47ae-845d-087c7e0de412	394	333	242	47	knowledge
c8eaa293-212a-49a6-bf45-9868af8c5f8f	394	333	242	47	:
e7c60883-a531-4ea4-9713-94ed8ab1644f	641	332	88	45	and
c42a48d9-ead1-49fe-aca1-3f5b4045cd00	735	330	110	45	their
08b83ad4-66b1-49e9-9010-ab7b1e398a13	850	328	204	46	honorable
f3d56bbf-5e64-482f-873f-30d9268db436	1059	327	94	45	men
36554914-6e82-4f4a-b27a-4ce165d54a7c	1158	326	77	45	are
b837485c-713d-4160-99eb-6383995532e0	1240	325	103	46	fam
893955f5-f33e-4707-a8e7-ee15829c9e93	1240	325	103	45	-
2e37588c-6f24-48b4-a2be-77ebfb3a25db	116	384	123	47	ished
d3080f80-4f3f-4f25-a76d-c03b9340ecb7	116	384	123	47	,
7d345a54-9c3b-484d-a0e7-ffdb67e49468	245	384	88	47	and
e7e69dfe-2e63-43d4-aef1-ce6edffd1d7e	339	384	106	47	their
83d0e0f1-ebfe-495d-ae53-459c86234e8c	451	384	200	47	multitude
e14348ff-8590-48eb-8604-3794d3ac1a6f	656	384	112	47	dried
c9c8bb5f-710f-4d25-b0ad-bce22c6076e8	773	384	65	47	up
e3ca2796-5364-4e77-ac15-50d9c7aa33b4	844	384	100	47	with
dfb37f97-9fa0-4c0d-b33a-bac6ab4b153b	950	384	132	47	thirst
7163e825-7048-44e2-aac4-775c7158e324	950	384	132	47	.
b9fbbab3-206b-4ed7-b0b8-57f96adbc29e	164	431	58	51	84
150fd537-8247-4b1f-9619-4ab47d7a01e0	228	431	217	51	Therefore
fdbea455-8128-4c6f-b283-15a45eef19e5	228	431	217	51	,
2d8fa064-eeef-4a18-970e-840150129519	451	431	89	51	hell
a298e7a6-a365-4456-b270-26e88e2c46cf	546	431	102	51	hath
2f21103a-4725-4344-9d7c-ad09f571b6ca	654	431	185	51	enlarged
900cf38c-04a5-4ee5-8a1c-b0c6e33c2f9b	846	431	166	51	herself
01cff6c8-3ef5-4ef2-a11e-c36943aec2a5	846	431	166	51	,
25b9e02e-aaf7-4aa9-9933-761b893b278f	1018	431	89	51	and
c21fb6ef-661b-42fd-ab62-6559f88499aa	1113	431	147	51	opened
2d08856e-a078-42cb-8ca0-022610a96175	1266	431	71	51	her
9d8d979d-f67f-4757-aa16-4d3ac344a839	120	479	130	47	mouth
791e2423-6a41-4dcd-b4d7-96cb4fd36dc9	255	479	153	47	without
5c899569-031b-4f1f-850a-728fa9c44331	413	479	194	47	measure
badb5ddd-1d14-441e-88b7-2c01e4f4f41c	413	479	194	47	:
f32a096b-0519-4021-b2b9-6e2aa8b1cea7	613	479	82	47	and
065b9211-aa19-4b2c-a9b6-778ebbe92d38	701	479	106	47	their
3726c726-4f51-4f1c-80cc-8d484fc501c4	813	479	123	47	glory
cc6bdc2e-2880-4610-8322-53c1cad63d96	813	479	123	47	,
c2536a41-f5c9-46b3-88de-38e4e9c8f64a	942	479	76	47	and
1e3311a7-7ada-4faf-a73b-1eaad04fd306	1024	479	106	47	their
5c3d4cab-fc51-4a25-ac31-386ea4010e85	1136	479	207	47	multitude
6e2cf350-08a8-43a1-ae5d-600fc2cbd64b	1136	479	207	47	,
000fd90e-e40d-447d-b6d1-e9a8bbb84d2c	123	530	72	49	and
e3f4a55f-3b00-4df7-bdc5-d8882ed8626f	200	530	108	48	their
3fdeb09b-4d99-440c-8dca-2d97b3a70984	314	529	126	49	pomp
33dd0a6c-e63d-4610-84af-e160d552d867	314	529	126	49	,
03cdda6d-f206-49b4-bed2-4af4191807bf	446	529	78	48	and
cbe9fb40-8fc3-4c94-93f3-30c1e39062ed	530	529	54	48	he
091ea583-6164-4a54-adc0-c281ff408c2d	590	528	90	48	that
b10aa55f-91bb-4171-98fe-83736d598828	686	527	192	49	rejoiceth
f1f9a5dc-a37c-4ab6-b58f-f974f7481186	686	527	192	49	,
475e5330-0658-4d6f-a475-e88c315443e8	884	527	102	48	shall
c3a9c172-bee4-40a6-9c16-b8f8df7752b1	992	526	156	49	descend
1501b104-9d3b-43f8-bb2d-4029a67e0dc3	1154	526	90	48	into
4907eb6e-5564-4e4e-afd9-c92cb6efa3fb	1250	526	49	49	it
57c70206-d1fc-45a8-9883-1d1a1d1c0843	1250	526	49	49	.
68745320-1f9f-4030-acae-06a95eac3451	167	576	55	44	85
6ba76fa4-ea83-4eff-86ce-b6da236486f9	227	576	104	44	And
1352303e-6c65-4eaa-882f-9899c3ca1f98	337	576	77	44	the
08ce1c07-98ce-4338-a1d1-b2ace5587149	420	576	126	44	mean
65f80279-0808-4872-8a21-f836fb24069c	552	576	104	44	man
f82bcc31-a03e-40bc-9d62-c30351777609	662	576	115	44	shall
f17c3601-e82a-4cfc-b48c-b66317b0e7d5	782	576	66	44	be
edf45b2b-e0f4-4aa8-9e26-e7c12f81f803	854	576	176	44	brought
800fb383-4d79-48e8-991c-d57eca670b82	1035	576	132	44	down
6770cc77-e793-4618-ab9b-ef0520044e96	1035	576	132	44	,
881a3226-f9a8-4f05-a6f7-6e1e8c1149c6	1173	576	93	44	and
d1fa78ba-0188-4c56-9e6a-432aec0018c5	1272	576	68	44	the
b31874fa-2c7c-48aa-acf7-2af266e2fd38	123	623	140	51	mighty
ef50abfd-6b74-4119-9830-67181b284563	269	623	96	51	man
683b4d2b-71d4-4a82-b9d0-c39d742fb696	371	623	102	51	shall
1283e414-e439-487e-b73b-b613472009f0	480	623	51	51	be
ede509a2-a031-4cea-8af9-bb42c532711c	537	623	185	51	humbled
113cfaa3-4963-409f-b3e5-2f59bc9d576c	537	623	185	51	,
6e3da4d7-8b0c-4c7a-a23d-4c96902cd80a	728	623	83	51	and
3c0bf1d2-3bf7-4d32-a841-9952508b0cc3	817	623	76	51	the
73725ef8-50d4-4f0b-94ca-d83294d9e98d	900	623	89	51	eyes
321e64ab-0900-4bca-9d6a-60023be7e74e	996	623	51	51	of
a51d53b9-2b7c-40e2-99d2-46fec6e0cbf7	1053	623	70	51	the
2347bed2-990c-47a3-8e12-775937a96c31	1129	623	108	51	lofty
12826cdb-3071-488a-b904-58b943ad38a8	1244	623	96	51	shall
0893d0cc-831d-4818-b7bb-224288479db5	123	677	52	38	be
6c6e6c1b-423c-42a6-bb50-7c14204db62e	180	677	185	38	humbled
3876859f-fd27-429e-94b9-c75e399e42b1	180	677	185	38	:
67a196dc-caf3-4d0f-bf9e-c4cd748dd5b2	164	721	59	47	86
a6185a4f-81db-4701-a6de-cd943cefc18b	228	721	76	47	But
7be17c19-637b-4117-900b-8accc5304f2c	311	721	76	47	the
bf04be87-b5ad-4c25-98e6-7f39f1a32ef4	393	721	106	47	Lord
0108df9b-ac70-4ae3-810e-66ac38260283	504	721	47	47	of
86d425fb-dbfc-4a69-8bd2-a652ad272e20	557	721	112	47	hosts
eaeb1f04-1d4a-48b8-9053-aedafead117a	675	721	100	47	shall
0bfd2d9a-aaa3-4ca2-b878-e233a7d234f0	780	721	59	47	be
fbceeec4-1e74-4db1-a83b-f827d491ce73	845	721	147	47	exalted
d1f3e0d1-7a96-49d8-b3a8-98e375b1cc58	998	721	47	47	in
b246554c-0d56-4b70-b258-7c7a378bbf41	1050	721	211	47	judgment
5ab8e23b-04dd-456b-a328-69b86755ef09	1050	721	211	47	,
7cd7cec4-0d02-47ce-a1eb-13063ce19321	1268	721	72	47	and
65413937-399c-40da-a894-824aae461a93	126	765	82	47	God
7beb5b25-83ce-4457-9bd9-0a59855f2198	214	765	88	47	that
578cae51-9489-4e05-8f61-fc922affe223	308	765	41	47	is
8ce535e5-77dd-4827-aeae-c8bbbba0cb26	355	765	100	47	holy
b9ccec91-4458-4174-ba2b-3f9384cc92aa	461	765	106	47	shall
65095a6c-b336-45a2-931b-93786b897c59	572	765	53	47	be
