ID	X	Y	Width	Height	Text
f63a0430-163e-4bc9-99d7-05c75178de59	97	63	52	26	217
3769d99b-b377-4f7b-a08c-59fddfa0444f	97	126	47	31	the
86148cf8-7afe-4562-bee1-09dd97bc1092	147	126	171	31	persecutions
f5581911-118d-4e95-9caa-3168075196ee	322	126	85	31	which
cac842de-4e14-4b7e-9cdb-ba8788137f1a	411	126	66	31	were
3ce89e33-04fe-41f2-9a2b-2a2ce1387e1d	481	126	100	31	heaped
83b868ae-7202-4731-9afa-2031f5c87080	99	154	72	32	upon
90e73dd6-2c7b-4782-94e8-9e4e6450d122	175	154	76	32	them
b80eecc9-e32d-4696-a507-97f81f4f9d03	255	154	36	32	by
c835784b-91a2-4674-8759-72bdb512e828	295	154	48	32	the
5225b0f0-a449-4f36-9861-fe6f4ba000c5	347	154	152	32	remainder
a3c8ac70-eae3-4661-9270-060837aa6386	503	154	28	32	of
e97a4ef1-42ab-4326-b128-34120bd82725	535	154	45	32	his
2b372957-1158-40c6-ab8b-06e5063992ee	99	185	109	32	people
fb4960b7-1b12-4d22-96e2-a947e8ca2986	99	185	109	32	,
e6604a5c-e3db-44a4-85cd-05f93d33d6f2	212	185	66	31	and
07cad894-aa2f-46c1-9579-106b7a3064f4	281	184	105	32	seeing
67998160-6008-4955-ae47-f4ab91d9d0ec	390	184	47	31	all
8677fdf4-5380-45e2-8f84-7f25747fd7e5	440	183	82	32	their
216be502-0c44-42bd-9f04-3f156b380e26	525	183	58	32	"
ebeddf86-fb76-48dc-9abc-752eae14a542	525	183	58	32	in
c65f9913-f436-412c-adcd-54fde32203bc	525	183	58	32	-
ca1bebf4-1527-4faf-8703-987f58213178	99	212	123	34	equality
5647b281-dc38-478a-a49f-c21d719713ce	99	212	123	34	,
ac920ece-f550-4128-8887-e9f0f2c77c16	227	212	89	34	began
72893eb5-4351-4e15-a7e8-3aefb0139658	320	212	34	34	to
50c4c6bf-9ff8-4398-b06b-2bcaf7ec4409	358	212	38	34	be
ee8aaa04-5bf9-4429-9f7d-69df086be84f	401	212	68	34	very
f1ed25d0-0fb0-4ca8-b57f-7809327b50b6	473	212	110	34	sorrow
78a8f0f9-b113-4d22-9686-7c620ca7b623	473	212	110	34	-
b75e95b9-e60d-44d6-bb11-b34282271976	99	238	51	34	ful
9bf2251d-08ac-4f02-817d-2caa03549d4e	99	238	51	34	;
d4f4874b-0d58-40ae-9e78-5efc0d870a87	154	238	183	34	nevertheless
81faab8d-5960-4ddf-a23d-fc530c20ca41	341	238	55	34	the
0088ae01-90f1-4522-8c7a-6ae0855d62ad	401	238	89	34	Spirit
f6ed1544-0b4e-4096-851b-c2d78e73b5ef	494	238	34	34	of
6512cd24-5d9a-41f5-a47c-4dca83ffa011	532	238	48	34	the
c5c36bf8-b71e-4d35-b244-34dfb31cf993	99	269	72	29	Lord
67695943-a988-4bbb-ad07-7f7f1ed7b693	175	269	51	29	did
599bd04c-2142-44ca-a52c-8c85f03ec7b4	230	269	51	29	not
c5261beb-b1b3-4fcf-a963-b49bc0697ae9	284	269	54	29	fail
1007dd1e-0eda-4ecb-8703-887dee276157	342	269	69	29	him
c57de58c-3911-4f6a-90a4-2e0cf4bcc23f	342	269	69	29	.
281f3101-87ab-43ab-a79a-65528bd99471	115	301	40	24	16
dc6a67bc-784c-4ffb-a1e8-d358a852c5a0	158	301	69	23	And
28dc6363-ea3a-49a2-b25c-9b85ec0a5a61	230	301	46	23	he
395f0c98-8d94-4f8d-a1a2-09974b8600e8	279	301	127	23	selected
70d69cca-f8bf-4f1b-bc70-9e0523d31a76	408	301	26	23	a
f59238d1-098c-404e-8c8e-a31a5622e5cb	437	301	75	23	wise
48ca414f-52fe-48a5-9ff8-9821f746b421	515	301	66	24	man
5ae802dc-85de-4ce4-acb5-8c54755150a3	99	327	66	31	who
a5c83d91-0124-4d9c-84bc-27e6b84b1f63	169	327	58	31	was
72d2b147-880e-4fd6-b63c-4d7ee21b9378	231	327	101	31	among
8259e128-2487-48b1-9e63-ea08e6346151	335	327	50	31	the
8a20d95a-a1cb-41f3-b430-2b48931a7e17	390	327	105	31	"
d5d4b072-92b0-4e30-adeb-6abb3e7d2e4c	390	327	105	31	elders
788b47d6-05b8-4931-bd94-28dba8081222	498	327	31	31	of
3bb0ad94-f18a-43d2-b747-bad1d22bac95	533	327	50	31	the
1c4ebf3a-5a92-4140-80a9-0e1ac6d847ff	99	358	112	33	church
3e3e37e1-b138-46c2-a656-509f4a41b821	99	358	112	33	,
55476569-24dc-4e92-a4e2-b7fd838a708e	215	357	64	33	and
97303d99-9aa8-44e1-8751-77569e27a525	283	356	76	33	gave
cf3aaba2-ff18-40ee-b49f-8704e6675494	363	355	68	33	him
3ddee0ef-74e1-4144-aa94-3ab5e7b05f35	435	354	96	33	power
2522c01c-a220-4ddf-b45c-b8179e5c3de0	535	354	48	33	ac
c4be27d8-2eaa-4f2e-90c7-a6fbccf7c765	535	354	48	32	-
fd43ed83-739e-4753-ba2a-e698dbbbe0aa	97	385	111	34	cording
6cad1a0b-ff01-4ad6-bbf4-378f5d4a3f5f	212	385	30	34	to
383d55a0-40c0-42cf-918b-4e845131152e	246	385	47	34	the
7c822e7b-56ec-4f62-9b06-104e7610ac3e	297	385	89	34	voice
3c192ae3-dc54-4f38-8ebd-1a5487bf973f	390	385	30	34	of
f65d1d7c-0384-45d5-b7fa-2b3e32434669	424	385	47	34	the
690f3375-62ae-4a58-8512-659df3b37a8b	475	385	108	34	people
01935075-8048-4f59-8075-f9399327a719	475	385	108	34	,
347b1a2a-9ba0-43f1-93ed-459d95758a45	97	416	62	29	that
fb7daf33-435e-4c2b-82dc-27749f2d0717	162	416	40	29	he
