ID	X	Y	Width	Height	Text
d1bb4388-28bf-4526-9901-765c71d01f0a	46	23	29	110	%
e8273658-eb22-45e9-afc8-54383fc1719e	88	23	125	111	yuen
5030a4e2-c652-4ed0-8de5-fd68d45ceedd	225	25	111	111	ponce
2b5fde19-80ef-41d3-a81e-23ed8796308a	349	26	56	111	s
671d69fd-5c97-4a45-95ad-81eeb2d595b4	418	27	42	110	co
040162c1-06cb-44d2-a04b-88ebe4db954c	473	27	180	112	munda
c80073ae-0fde-4c4d-8d23-63c6b6356236	473	27	180	112	;
d0b4f42e-ce58-459d-baaa-fee1ee5756c9	665	30	15	110	s
7444b733-736d-4b92-9e54-db5ecb846300	693	30	42	110	1o
8d80725e-2177-4328-98ed-de3e69e338fd	748	30	180	112	plunder
0750cb30-b7c7-4c41-8ed6-47b8abb7af5e	940	33	42	110	3
0ec364bd-26e5-423d-aea6-41a576a3ad4d	995	33	56	111	to
195ae050-150d-49b3-8f82-975b741c7865	1064	34	111	111	lies
e20246ee-f94c-4581-99f8-e48b9390c866	1188	35	42	110	to
42fc61b4-0342-463d-9b47-dc2e3e15df24	1243	36	194	112	commit
a3cf3f26-ce30-46ca-b100-16d1b251f403	1449	38	70	111	all
291be5e6-eaa8-4707-bf2b-9f95f6f6022d	1531	39	221	112	manner
db6e4da3-baaf-4dc6-830e-dd4b29f6dc10	1765	41	212	113	rolane
0f6b22ab-22d6-4892-8307-6e77d031c1c8	1765	41	212	113	,
6b2e1803-2998-467c-9366-fb9ac7e5f1f6	24	120	29	75	*
7aa9afd2-5573-47f9-9d80-3aea626964fe	61	118	263	77	whoredoms
c53f01a4-83aa-4d44-9d4e-4ceb95e81e5e	61	118	263	77	,
b48191b4-3ed2-4029-aa71-7e6fb2cf9602	333	117	85	76	sit
fc8dba1b-6b69-446b-917c-ca446eeb1ebe	427	116	104	76	was
0d8bf305-00ed-47fc-bff7-a35b176a768d	539	116	76	76	the
954283af-0638-4b12-b86a-ec2f3ba7a879	623	114	207	77	daughter
7a51b5aa-b9c3-4d5f-96f2-d0aa08c3205a	839	114	38	75	of
08f1ee98-223c-4848-ab88-795d7921a1e8	886	113	132	76	fared
689af3f4-435d-4231-8255-9a11878615de	1027	111	141	76	w
e819a17a-c0f7-4577-a470-0a1b84530771	1177	111	85	76	put
eed101da-1d08-4b51-a996-344f589d95ea	1270	110	38	75	it
56e13adb-ddd9-4403-b135-13bbf644d9fb	1317	110	104	76	into
3383ed1a-a0bb-4a88-b888-40c482195cbd	1430	109	76	76	his
d86d9504-6a2f-4df0-a0da-c016739e1920	1514	108	122	76	heart
6dd960da-0afc-4d25-9d02-a3f63688707b	1645	107	57	75	to
69f7bdeb-56ea-4d4e-9825-bd80f5c7492b	1711	106	132	76	reinch
83bbd312-af7d-4743-a885-b9204c8a1e82	1852	106	47	75	up
45e06376-cc06-4ba5-a1da-4e03ff3ca63a	1908	105	69	76	Me
1c09f862-16bf-42c6-97bf-92ff8e692a75	23	187	128	115	Wings
b331053c-730f-494f-bd22-9a218b27759b	163	186	44	113	of
22c9d1ce-fb71-41af-b4cf-a76b6700395a	219	184	58	113	old
642563b3-fd7e-4a2e-b3c0-f19ecc884376	289	183	44	113	s
a071bf96-99f9-4a01-b179-e8c0bcdc1ee0	345	182	58	113	bes
b9a1f061-6eb6-4f32-9403-9d689a94af05	415	181	44	113	it
5e886d96-6cd6-466b-afa0-23e288384adf	471	180	72	113	pot
133bdb94-f181-4835-b8f9-c7888f78d2b5	555	179	44	113	it
f96e4a2a-6291-4cb4-b4da-50b2c0c538b6	611	177	100	114	ines
b1b03819-eaf3-4139-8e14-483450dfcfc3	723	175	72	113	the
cd7fea6a-8dfe-4a48-9a29-3c9cce278ad3	807	173	114	114	heart
e46f2763-7c3b-49de-bb14-75b7aa99ea8d	933	172	44	113	of
7f50ba24-9786-4ab2-9b17-f5cf3b248fc9	989	170	114	114	si
f437efbb-6ffa-434f-8ba7-b62325751028	1115	167	156	115	where
9eb552d8-37e7-47ca-9699-b9d8877c2cee	1283	165	72	113	ae
981ed735-16a5-4b2d-9f73-5d3b32da00b4	1367	163	128	114	think
1fa5dba1-52bd-4952-ac58-75134994265d	1507	162	58	113	ad
6f9770fa-2242-4f64-b438-ce4f6c04b3e4	1577	159	128	114	mine
86de4ea4-0f85-45ee-8e42-b3451ae8403c	1717	157	100	114	tened
7d547f6e-22d6-45cd-9f00-f32e9c5682b1	1829	156	44	113	t
e9b4387c-55d8-480f-bbca-1520b9eefe77	1885	154	88	114	wits
c200f0d8-7846-4cc8-bd9e-5af3976ff01d	33	277	57	65	his
075e047f-41bd-4f5f-a221-97dc32d22f9d	97	277	225	66	Kindreds
11e53cb8-4312-4cdb-bef4-f676fb169d9f	329	280	25	64	8
846f4027-412e-4009-ad97-ce36030b4b19	361	280	145	65	frende
72a69049-72f3-478b-a213-cedacfb09233	513	281	169	66	leading
1e47212c-bbc7-401d-ac7f-92ef796a28d5	689	283	105	65	Hem
0119f821-aa45-4764-b507-e500f36dab94	801	284	137	65	anay
eb2442ff-4452-4ece-bd4f-6ec334f52369	945	286	73	65	by
afee0626-acb6-49f0-8298-e0503e74f09f	1025	286	121	65	fuin
11483fbc-d220-453c-a428-c524513c162a	1153	288	185	66	promises
