ID	X	Y	Width	Height	Text
019a2527-639f-4fdc-bd93-faa043e1f6a8	312	125	71	22	BIRST
13ff508c-abe2-4473-b1ed-66ea37ec6343	385	125	68	21	BOOK
e88d9873-4b67-4d5f-bcdc-a1636b409158	456	125	37	21	OF
28d21aa5-0241-46ec-814f-c61418c85ad5	495	125	76	22	NEPHI
f63ec72e-8e6c-4b18-a02a-e7f86719b317	495	125	76	22	.
2ffebb8d-c49f-4e20-b4b8-1cafa0772229	761	114	32	26	27
588da252-caf9-4643-bbc1-8890297daa8a	96	176	88	34	noises
2dd4076f-98d6-4045-97f9-4edc45bfbf73	96	176	88	34	;
7e234ee3-37ac-4ba5-a0f1-9be3b5a341e3	188	176	48	33	and
28fb45f2-7232-4c55-abcc-09744ac4b2bd	240	175	20	32	I
ef4319aa-43da-4c2d-81d6-a07f2686561a	264	174	52	33	saw
f6a84264-f2bd-4406-b5e2-43664dd7195f	320	174	36	33	the
e68b5855-32d7-4ca1-b6b7-8c774cd53dac	360	173	68	33	earth
7a50d46e-46bc-4c30-9bed-1de827668b22	432	172	48	33	and
51a299c8-6f8c-42c7-8fc6-4f0a092e263e	484	171	40	33	the
c5913768-909c-4bc4-8cac-1286e024485d	528	170	80	33	rocks
e9514c05-8163-4a7c-bf9c-249f99ddd29f	528	170	80	33	,
6f4dc439-500f-42c5-a0de-39541fc7d65e	612	169	56	33	that
1bbaeec8-820c-4013-9bde-9a6f8d00699e	672	168	56	33	they
0a4cb960-b75e-4fa1-850f-50951f7e6f23	732	167	62	33	rent
5e7d56e1-5301-4f0a-82db-79f644c4b387	732	167	62	33	;
9d0e8043-8068-4088-aed3-3fe58d6f5885	98	204	45	32	and
a776d726-83a1-4f68-b2d7-c144f3976292	147	204	15	30	I
a6fa7c17-e29d-48f8-b338-21d79e08a8cf	166	203	45	31	saw
dbcea46e-f7db-4da3-ae51-c92c77a4cac8	215	202	117	32	mountains
038eaeb5-c63d-4537-9025-a17f9f6b3998	334	200	102	31	tumbling
a9246315-c3a2-444e-ac4a-e9294a6b765d	439	200	42	31	into
2cc05658-4543-4ab0-8c57-8c6a150a06ce	484	198	83	31	pieces
ecad2a3e-d1b3-4036-a10e-1387940bf286	484	198	83	31	;
e2631f6e-67c5-4ebf-aa67-9c15f6a6ae30	570	198	45	31	and
75b5041b-7448-49dc-a830-bc5c3a19a6c2	619	198	12	30	I
23f3df05-5045-47e8-9a87-37c1ac6ae2f3	634	197	45	31	saw
d58004c6-5d53-40f0-bf96-e3ef96502de6	683	196	38	30	the
4ac1622b-1f1f-4f70-899f-528b761840ef	724	195	71	32	plains
0ff3e42a-37e8-451a-bc3d-2c64b02bd42d	94	233	55	64	that
4acff86d-3511-4d6f-8f86-2e85bcc0cb60	155	232	40	63	the
ffc4ebad-2a19-4187-ad18-0d2c1d30d500	202	231	32	63	te
d7bae44c-afad-43ac-8e48-fcde40f319c0	241	230	48	63	last
61accd7d-d446-4c0d-b9de-733b1344172c	295	229	48	63	they
414237d1-b68f-4542-ade5-dc15988d7946	349	228	55	63	are
bc586f87-4ada-45c2-a12f-cc6710341167	411	227	71	63	baken
95a0be67-b893-4622-9b45-cbb618917824	488	226	40	63	an
bc6c1327-b158-4bf3-8038-6a2900faafcb	535	225	55	63	hat
a13fa7cb-e634-41bc-9137-ba8041ba56d1	597	224	48	63	they
6b3ebf01-93dd-4584-a7bc-2f9b8d9e2885	651	222	55	63	mere
2630a037-8da7-4ad6-9407-7d2618157135	713	221	85	64	utied
e26fd1fa-fa64-4335-9f6c-3897c197265a	98	291	50	34	with
1a20acfa-2f09-48e3-80ef-7b32b6758228	152	290	58	34	firc
8da57674-479f-4ece-b27c-ff28f20ece39	152	290	58	34	;
45ae76d2-8b65-40ea-94d5-9f734a273c55	214	289	46	34	and
9a8e9cfc-c7d6-4a0e-b0e8-a8b8f9b445e8	263	288	13	33	I
419db410-2efa-4a5d-8af6-d802904d65e0	280	287	50	34	saw
548d27eb-9494-4226-804e-20daa441b90e	333	286	75	34	many
0b698c62-2e93-45de-97ea-fe757fbb014a	333	286	75	34	,
338192ac-fd6f-457f-aea5-33ff4521f561	412	285	46	34	that
7e544b3d-90d7-449d-992d-7fbda01888e5	461	284	54	34	they
3ce6bdea-a556-4db5-95b9-0d03d8bc15c7	519	283	42	34	did
5b6473d8-5ab7-48b6-a883-07794d3b405e	564	281	87	35	tumble
33e0c70f-289b-4cef-b7c9-e045f70ad12b	655	281	25	33	to
11ffb9f0-af08-48eb-9523-e1a133c780e1	683	280	38	34	the
60ac3a2e-026c-417b-a9b8-656a9a6ff7b8	725	279	71	35	earth
9e5e35fc-92f3-40ad-946e-1c981b25c279	725	279	71	34	,
77967fd5-caa4-4596-a554-f033fb9c0ad5	98	318	94	33	because
758e1886-af94-4588-babc-be0ae55fa49e	196	318	23	31	of
05855fd5-90fb-4bc3-b2da-ae3372474054	222	317	46	31	the
8be134f1-a778-4351-85ce-107a75885b6d	271	314	94	32	quaking
66d6728b-3647-4884-9f94-3c53ce9db607	368	312	88	33	thereof
664110d8-e0c4-48b3-8772-5f061484339a	368	312	88	32	.
1e62e4fe-cce2-4341-b333-3e4165a0f7cc	129	340	45	30	And
7fc1e5bf-7fd8-42fe-bd73-ecbc70cbec58	178	340	19	30	it
9e05c5b7-c8ea-45c0-97a2-1d2b0e34fa64	200	340	60	30	came
4848df22-e526-411b-89ef-d75499c9a36d	264	340	30	30	to
e25784b9-c3b6-4ef3-9143-7244ba87b3d4	297	340	52	30	pass
56473ae7-1b96-4c25-bb41-8db495d000a1	354	340	45	30	that
72fb4ff8-adc2-4eac-8cc5-93082f76532a	402	340	64	30	after
9ac5b0a8-c094-4faa-86cd-d1b3d3ce9041	470	340	15	30	I
202d304b-5d3a-492f-8416-552016257bc6	488	340	49	30	saw
f4f39da4-8ddb-4fe6-8217-0d531cc68404	541	340	60	30	these
070e2abe-783f-4019-9f77-c6aa97ac7503	605	340	79	30	things
0dd4823a-ffed-4ee9-96e6-9cb5d4e60f6b	605	340	79	30	,
a9e7f93a-7a7d-4089-afc4-0478721cbfd6	687	340	15	30	I
6f249ea7-967b-444f-93bf-1943e1bdd6b5	706	340	49	30	saw
08972e8e-835a-4675-bf7a-783487ccb494	758	340	35	30	the
acf46804-a01e-4dbb-a604-277119fe04e5	98	377	69	28	vapor
470027b3-526e-47dc-8040-cff74c6d88ce	170	376	27	27	of
6a14a489-4a94-4a3a-b11a-c0deb29788bf	199	374	108	28	darkness
19d07940-b06a-4f9d-b701-4f944e1f9e1a	199	374	108	28	,
7988b4c7-bc63-409e-b36f-383baf9ba380	309	373	49	27	that
511ea81a-01b1-443e-8053-3d84715486d1	361	372	20	26	it
7b293d96-b4f2-4cfe-8db1-4e05a146b0d9	384	370	82	28	passed
79271a46-c229-492d-81c1-a19a3e7db67b	469	369	53	27	from
20728e62-6b7d-45b0-a141-a44b7e3e9522	524	368	33	27	off
38ef9a8d-4b8a-4f5d-9fae-5698e37e730e	559	367	36	27	the
7c7ad91b-7126-4f97-9407-323dc06bafda	598	366	49	27	face
7e6ef469-7f12-4c11-ac23-357b9df8795d	650	366	27	27	of
7abb7afb-3aee-4f19-aae5-853dbe7b8d05	679	365	36	27	the
aa70356a-6040-4867-8d67-b32478bd7d0f	718	363	75	28	earth
d885daa8-e12d-4406-b5ef-8ee52e97ec4b	718	363	75	28	;
d742e7c4-8cdf-4a8f-b875-2083a9d50a49	98	405	44	30	and
161a803c-fe47-4ec9-a17f-e25f7f63b1da	146	403	88	31	behold
e6e9a91c-d00a-4678-9b37-3f5a05b07612	146	403	88	31	,
42904e9d-53a2-49eb-b6e5-7939772088c5	236	402	62	30	Isaw
d3c11519-8487-4b30-a131-13c4a301435f	301	399	124	32	multitudes
7cf5e3b5-9799-435d-8ef3-12039b10ee00	428	397	73	31	which
fe116e3a-1f67-4100-b641-d1bec57f93ea	504	396	44	30	had
53015c2c-7324-4625-a6bf-55c8e55b53e7	551	395	73	31	fallen
b89459c0-b51f-491d-9911-2c3f44c633fb	551	395	73	31	,
92b5e3cb-39d8-447e-85fb-f9fbe36676f6	627	393	91	31	because
1a2a478d-4b42-4082-967f-b6a10f77fd89	721	392	30	30	of
fdfd7de9-af26-4308-9856-c07288e7494d	754	391	42	30	the
c2e73e61-9506-40d5-a653-46dac516fefb	98	431	62	28	great
dca54128-f4b0-4cc9-86b9-670f915ff25c	163	430	49	27	and
69d049c6-9c0a-4108-8a4b-e3944e442b5b	215	427	95	28	terrible
86670b57-5fa9-4391-a4ba-fa5d42bc0ffd	313	424	117	29	judgments
50cba500-27b4-4074-83e0-4589f936ebd4	433	424	33	27	of
b1e73849-4a2b-4e5a-aae7-53ac352990ec	468	422	46	27	the
96473eb0-2c29-4449-ab60-3b9b63240667	517	420	88	28	Lord
054c5533-fe8f-499d-9084-c630b96019b8	517	420	88	28	.
47af704c-b9c0-4fd1-98f5-3f117bd30c67	608	418	59	27	And
1aba3fe4-af73-4dff-8b1e-2a2df0ff0234	670	418	27	27	I
d5ebaf3d-0c99-49a6-ae5d-830cfe62f443	699	416	56	27	saw
65b9ae80-058f-4efa-b914-e2bc5a65734f	757	415	38	27	the
0e9cc45f-4fa5-410b-8313-3ab437a63034	103	452	100	35	Heavens
caeb1920-8b87-45b1-a518-9e87c3cc9799	208	452	66	35	open
2df7442e-bd58-4b17-a3dc-dbcec3b58ca8	208	452	66	35	,
fa17c22c-0bee-4382-997f-92ee78a5087b	278	452	39	35	and
27c7d4b9-e85e-4ce9-9926-2990e8c0ee09	321	452	39	35	the
56313349-2c20-4d43-a06f-39e1acebe515	365	452	66	35	Lamb
c5522260-f6cc-403d-8c23-0a313c96acc3	435	452	26	35	of
1762d57b-e599-403c-8ad8-9a0b37a04fd3	466	452	48	35	God
2df4cbfc-755c-4ec6-858b-2b0802790df3	518	452	131	35	descending
ebf93a22-8a3f-4c06-9151-815fb1d47311	654	452	39	35	out
148f8941-6282-4632-8d35-ec32e24fd00d	697	452	26	35	of
9d502cc3-f638-4f2e-bd99-08de3bb320d4	728	452	67	35	hear
66e327bc-377f-43ca-b4f8-db9b8f91d169	728	452	67	35	-
fdeeb3b0-c01f-4a7d-bf2b-7ce985fafc01	101	487	47	26	en
06bff651-2455-4074-bae8-5b1039a3b39c	101	487	47	26	;
7ee30956-7136-473f-b4eb-bfa3bb40b06e	151	486	47	26	and
b2a07a1d-1bd2-438c-ae29-c4a2cbed1350	201	485	35	26	he
37ebe772-4af3-4d75-bbce-6d3114e09c81	238	484	60	26	came
be2a7c25-fc70-4d13-99be-987f9c2426bd	300	483	69	26	down
f4d0ee0b-a640-4110-b4aa-ebfb7eec9a26	372	483	44	26	and
48d687ef-fb0c-4925-83e7-051d68341225	419	481	91	26	shewed
2e2327c1-fc91-4b78-8414-d455b28c4335	513	480	88	26	himself
502136c2-0b2f-4293-a771-2f44c4b4a9eb	603	479	53	26	unto
9b37d625-87ea-416f-9f9d-82d935f818e2	659	478	85	26	them
850d77ec-8db5-4b66-aae9-22dc8d35ac8e	659	478	85	26	.
4c3c2b01-8dce-4c19-a8d5-adaabc43e8a0	747	477	49	26	And
3dda06f0-f728-4c3d-aebe-83db2043c0b2	99	504	13	35	I
3c13b245-1044-40d5-afc5-9ff27c7f10cd	116	504	48	35	also
84d15a2d-b0ab-42f3-99f7-ad4e9de01ee5	169	504	44	35	saw
