ID	X	Y	Width	Height	Text
49f1db22-5eca-4d0f-94c1-194179960f62	212	132	22	16	62
28d5913c-ae54-40eb-be98-0d28b8aa1d42	350	126	52	18	FIRST
4f4df205-18c3-428b-8d46-4250a6694b19	404	126	52	18	BOOK
ba5a506e-bb90-45c5-bf50-3f5768c21785	458	126	27	18	OF
d95c284d-f3e8-402a-9171-e0aa3f9eec5c	487	126	61	18	NEPHI
572c73ab-ec07-4d1f-87fe-4ff889e401f7	487	126	61	18	.
426ceacd-6937-418f-963e-70f768c0f8a8	206	168	76	27	ensnare
1cbfc265-7311-4da4-b652-562e291a7398	284	168	31	25	the
0bb482cf-cdc7-440d-8bd6-eafff5383215	316	166	70	26	people
0868a88c-3aef-4a49-ad2d-3282f6255eed	388	165	25	25	of
a9e0aeb6-1d8f-4053-97c5-d0b1e9e16288	415	164	34	25	the
79bf6178-ec0e-4b5b-913b-92fcdea88743	451	163	64	25	Lord
5bfa5b2a-bf89-4244-b3af-558b773157ce	451	163	64	25	.
1672af0d-94c7-41b2-ba33-af8064887fda	517	162	43	25	And
6c54c646-e22a-470c-b293-23f807e347a0	562	161	34	25	all
e91ca6c7-982f-4f80-8cb4-bbfa283a523b	598	160	40	25	that
56843e8d-b974-471f-a04b-c7bcff263ac7	640	159	48	26	fight
f042e76d-0291-4abb-a11a-f7bef15d1bdf	204	189	72	28	against
dfda5ddc-518b-4bbd-9fe1-17d53f7296d8	278	188	59	27	Zion
4c7439bd-69d6-4cce-b7cd-97e50c6e0b47	278	188	59	27	,
5e9e6051-3c9a-4725-a645-5ed0844a0cbb	340	186	49	27	shall
4b7b93a6-8fd8-477c-8901-fd39b0b53d83	392	186	30	27	be
50002f03-5b41-48a6-af0e-801a97dacf24	425	183	105	28	destroyed
4908c1a1-e1b4-4975-a0d7-2d14f11a41c4	425	183	105	28	.
683fb117-d3fb-4aa8-86c2-9f6c5b6ac04b	532	182	49	27	And
68358030-db0e-4763-94cc-8f0a4b13569b	584	181	49	27	that
f77f6acc-342d-4d82-9bf0-d30e7166530c	636	180	51	27	great
7d470d0f-577e-4567-a747-00c13a4342bc	208	212	60	21	whore
74ca7b37-1e0b-440c-a433-10ff4792ba4b	208	212	60	21	,
4cf0a34e-3bc2-4577-aa3c-3558bd633533	269	211	41	20	who
fa3fb66e-1e77-478c-80fe-c44c3b9be314	312	210	43	20	hath
9299c5a8-c261-43e3-8516-976e872b4d5c	357	207	86	21	perverted
eb2d417c-08f8-4260-9ff6-98647f84e36d	445	207	31	20	the
1fc37f4e-7270-4b29-a419-7fc8de69a3d2	478	205	48	20	right
dfcdfa28-906c-4627-98aa-6cb67df33597	528	204	48	20	ways
a1075890-c58d-4e66-8e55-cf5da73893f9	578	203	20	19	of
5a611fbd-9c97-41dc-aa0a-4aca27ca1e3c	599	202	31	20	the
192d6abc-dbf5-4d24-a161-e272fee97508	633	201	52	21	Lord
204a5f4f-c853-41aa-b11e-4c48cd4170ed	633	201	52	20	;
7011a97d-11ad-42d7-b50a-c7b3c7b975fa	206	233	40	21	yea
df82dbd5-f5c2-418f-a489-53aa42202748	206	233	40	21	,
18e9055e-ab35-442b-ae54-2c9b8f279ea5	248	232	40	21	that
076ac1ae-340f-45e6-a5c5-40708a29c71e	291	231	48	21	great
45713922-8c02-4004-8f02-0a33538bbf4e	341	230	33	21	and
adc9b3b3-c98c-49a3-afd4-4cc1e05c8273	376	227	103	22	abominable
cab467f7-5133-4453-80df-bd4f1cb36467	481	225	68	22	church
ccd51504-b9e7-4355-b56d-2524a5a65919	481	225	68	22	,
03ce0340-4212-4d54-a81b-325082853ead	551	224	48	21	shall
b6f6761b-7477-4268-88d7-47cfe57cb5ad	600	223	63	22	tumble
c27cc566-30cb-431c-a03f-8f69d493e9f6	665	222	19	21	to
c6f2fbb8-24a7-4218-bf3a-bfd10d2bcfe4	206	251	32	25	the
8eaaa862-cb9e-4842-982f-302dfeb7c867	240	250	49	24	dust
75d15d38-271a-4873-9dcc-516d64709eea	240	250	49	24	,
301bd94a-5f97-4364-befd-fb6f273f0a0a	292	249	35	24	and
31e9ba6f-d70a-4547-8ccf-d11e9744d8d9	329	248	47	24	great
26a80d57-0553-4ca7-9d64-43b3176598e4	378	247	44	24	shall
a8647ff3-33e0-43d3-95cc-b3c29bd02746	424	246	24	24	be
9e39d65f-bf90-4fa7-a0f3-8b9cdfc3de1f	450	245	32	24	the
82e9f98f-148e-41f8-a808-af50dc9e623b	484	244	32	24	fall
585faf1b-a557-4c77-a3ab-7a06ea60d33f	519	244	21	23	of
a3dd7660-cc7a-450a-9d4d-4354b1c3a717	542	243	24	24	it
da62b0e5-83f8-49c5-9f92-13645b4472f8	542	243	24	24	.
450f8db7-69ac-4162-ab05-52a4d0aa738c	564	240	54	24	For
9ed69fca-deb7-4fe4-9a93-677390248476	621	240	67	24	behold
65aa42de-5a30-4b1a-abbc-d60a5f12ee34	621	240	67	24	,
a450903e-3c3e-4d2b-85bf-3e6cb18865c0	208	264	49	30	saith
a6083cec-a2c3-4cb2-807b-b9e7c0276d14	260	264	34	30	the
52f9b139-8400-482d-b91f-1e47f8182ff9	298	264	79	30	prophet
c72e1189-df48-428a-be9d-9997e0b45fea	298	264	79	30	,
9e48966d-009c-4eed-98b3-57a4d1c46210	380	264	30	30	the
5248e972-d413-4510-9d71-dfc60b543ac4	414	264	45	30	time
ce1a30ee-3b00-4af3-9277-5ed263980b53	463	264	64	30	cometh
72e29a81-736d-466d-a845-e0f5a3696019	530	264	82	30	speedily
022276c8-be25-4d41-a367-63ab4b1d2d50	530	264	82	30	,
412ca2bb-b49f-4e84-b26a-13543f52adf4	617	264	37	30	that
2c0ba975-88a3-4020-9978-27c5ad1dc60a	658	264	30	30	sa
4ef3fe1e-3393-4f93-a2b3-66f8f8eba18d	658	264	30	30	-
741908ef-3c9a-40c3-8150-0c217535281a	208	292	31	23	tan
5ae87b6f-52d3-4d0a-bb52-77104da6a89e	241	291	47	23	shall
1d42a33a-c49f-4823-8a9b-a0b8b9f2be10	290	290	45	23	have
c7807824-8e6f-46b7-a210-ff0860778671	337	289	28	23	no
279af48a-6bd4-4f38-adde-c29d7c132d49	367	288	50	23	more
2d6d54c6-0071-4767-b864-35033deb0448	419	286	61	24	power
33b9d1f1-fa8f-4236-8337-368cc202c493	482	285	42	23	over
6270ea34-2889-46ff-82bf-17526bce9ee2	526	284	39	23	the
82df5b85-6762-4c60-99e5-bf23757fa62b	568	282	58	23	hearts
aae0c006-95d5-4faf-904f-ca9683b7a6d6	628	281	25	23	of
8adbe7d3-5406-4374-8de2-3fd8da64f14f	656	281	33	23	the
27ca3d4f-6711-486b-a463-9c22a5df5543	208	310	76	26	children
897184ac-b829-401b-9619-adbb1dd41862	286	310	22	24	of
93561a12-3583-4d6e-879c-9a3ffd103d7b	310	309	49	25	men
9aee7555-788c-492f-8884-d5d5b06bf7c9	310	309	49	25	:
acf283f1-8cae-49e7-a433-978fdc0a8e77	361	308	31	25	for
2db7aa02-4569-4321-a6eb-6e249d39389c	394	307	28	25	the
d4c4d88f-fb1a-4bf9-9f88-2ff304510e46	424	306	37	25	day
5de2fec2-3c99-4423-b12e-74557e7852ee	463	305	46	25	soon
261a7f90-e662-4b0e-a233-9d8623928a35	510	303	73	26	cometh
a2f633b1-3931-4480-8c22-9e8914f94c68	510	303	73	26	,
391122cc-7d2e-40d6-adfc-006d005f2d59	585	302	43	25	that
9a637d67-010e-4a98-ac4f-2b2fced07cb9	630	301	25	25	all
db4f7758-3f67-4c03-be95-dd9b492f10f7	657	301	33	25	the
7f8a6277-0d53-4db2-8832-4662df5a954f	207	330	57	27	proud
139fb5bf-ade8-4221-9da8-a31faf6c6358	267	329	38	26	and
f27c1544-ecc4-4df4-a8ac-1a2e02e4e4cf	307	328	41	26	they
99fce595-408e-46b3-96d9-6a3bb81e057d	351	327	41	26	who
c06aff54-5075-46e9-928a-cb248d6376f6	395	326	26	26	do
ef47d6b3-53ca-4003-a446-3aa53c7d267a	423	324	88	27	wickedly
f1fc416e-ffd1-4e5b-a221-6debe6ee0f4b	423	324	88	27	,
82b598b9-7c96-45fb-907a-54dad6302a94	514	323	47	26	shall
0a53724e-df6d-4b08-adf9-3458f3d2eee6	564	322	26	26	be
ae1b2e61-48eb-41ab-b08b-701d523d6d6b	592	322	22	25	as
af9a7acc-a2a9-4020-8e4c-a15a80f4ddef	617	320	76	28	stubble
0babeeb6-1b02-46c6-ba81-f6d68c8cb480	617	320	76	27	;
589fd60b-6d61-421e-8d8e-65addb3c4321	210	353	36	24	and
4fa674f9-42ae-4089-8b54-dcc06bb2e2c9	248	352	34	23	the
4b788be8-f86c-4840-aef9-1bc74ab0b66d	284	351	36	23	day
8c9c19b5-8c8f-4482-b853-945e4c4accd3	322	349	72	24	cometh
d5d95e9d-7c32-491d-b623-f6a5ac75f49d	396	348	39	23	that
9e15b25d-71b3-4c61-b931-c57cf3af19cf	438	347	45	23	they
02fd5711-41bb-43dd-a7b9-1779aaf3480f	484	346	50	23	must
dd1d7262-a1e6-4eac-a19e-8160155d3bc8	537	345	28	23	be
23f9c7a8-7fc4-40c9-9c30-d3e12f046404	567	343	88	25	burned
705ed824-dfba-43a4-81fd-5245d820e71e	567	343	88	24	.
31cd009a-9a39-4d11-89f7-247734086cc5	650	342	40	20	For
85a6fcb7-cb74-4909-bc3b-97f7c3cb8c85	210	372	30	27	the
b6d39535-ed37-4709-b20a-29a8e891169c	242	371	43	27	time
4859c33e-fe5a-462e-a7fb-8c74eb78ed2e	288	370	43	27	soon
0fbc528b-6c39-4439-a2ac-d61e0da05f9d	333	367	75	28	cometh
5792b75a-021a-4340-a73c-fd7eeb7802a3	333	367	75	28	,
2e3315cb-55b6-4706-affd-717e0b512dde	411	366	40	27	that
6f2b5c44-9de0-429d-ab5a-11d474229a51	453	365	30	27	the
e30d3901-fcaa-40f6-881e-72ab76953e97	486	363	66	28	fulness
5181e1a4-3031-4f2c-a2bf-8a5181d1b855	554	363	20	27	of
1de9af34-9b4a-487a-845a-2a4df5506e41	577	362	30	27	the
c3bc2455-89f0-4e54-8e3b-e6dda07f54b7	609	360	59	28	wrath
9ee8f617-ed37-4038-9f88-c149f64e7376	671	359	24	27	of
36e3a52c-e21e-4591-aed3-954b14ab6821	212	392	38	25	God
791f9d12-1ec5-4d16-8153-578aee1ff4df	252	391	47	24	shall
2421131d-dab3-4213-a76a-a2470ec67721	301	390	21	23	be
a394d888-58c8-4ad8-a531-e07d138f0747	324	389	67	25	poured
bd94be61-f99b-495b-991e-6378a8ec5bf0	393	388	35	24	out
7486a735-dd7a-47a9-95e1-5b3229149fb6	430	387	47	24	upon
44b0480a-bc88-44a6-9966-b894f2d12bbe	479	386	29	24	all
50133091-00dc-44a4-972b-778db747a20a	511	385	29	24	the
f968d398-c5f9-4c66-b31d-cca0cc133074	542	383	75	25	children
bff5d7dd-1653-481e-9222-401f4a78c8a0	620	383	21	23	of
4d788756-8722-48e6-ac05-175ca8691323	643	382	50	25	men
5def9b4c-a836-4623-b02a-7feeae8cc4cc	643	382	50	24	:
4abe313f-9cf3-499f-85a9-71247dd0e384	210	409	29	24	for
8bbcfd63-9e8e-4257-b840-70ae24f2271e	241	409	23	23	he
805517c3-02cd-4c81-804d-76797eafbf0e	267	408	38	24	will
d6a64f5a-62f8-4f33-818f-1e6ef6928310	307	408	32	24	not
dfad2e22-6519-4f44-9f5a-3768445e791d	342	407	52	24	suffer
2d732622-8f47-40c6-ba6f-5f5251064c6a	396	406	38	24	that
1b26dd8d-b116-4a33-b57e-362c6cc09ad4	437	405	32	24	the
9466f9be-a66c-4994-8300-00d31c1f0ff3	471	404	64	24	wicked
43247454-a472-4934-a7dc-45657c7db268	537	403	46	24	shall
d410f786-8f28-4fd4-8c51-0f7f33a2d8f1	586	402	69	24	destroy
6352a33c-e8ef-4315-9ecb-fee014ac0ca7	658	401	34	24	the
0b9a193a-f472-47b4-acc8-f5f790e11bbd	207	430	63	52	The
d117b632-0085-42c7-b552-127d59e5675a	274	428	57	51	pover
