ID	X	Y	Width	Height	Text
5df71f66-6a37-4b24-9248-95b035943f91	134	136	84	30	718
9f7552e4-8b05-40db-8a86-5f4f8542e58f	411	139	91	27	BOOK
21396c2a-2ba4-40cc-a86f-f45722c882dd	506	139	51	27	OF
0496d581-ce53-41ca-a13b-74a77446ac9e	560	139	136	27	MORONI
01a2f3b3-958e-45b3-a31d-2373c9370ace	560	139	136	27	.
4017bcb6-c693-47b1-83ef-28dc5ec7a975	815	136	105	31	[
8e440740-f3e7-4275-8ca8-cd2b32f3b943	815	136	105	31	CHAF
b1cd37f8-fc20-4721-9887-71146ec71062	923	135	38	30	IX
8b624571-ce15-466a-b0c1-8a529bb518da	141	255	56	35	old
b0ee31e2-555c-458a-a496-6d12c66178aa	202	255	61	35	nor
cb88c016-2b93-4983-8fc3-dfba0e742471	268	255	118	35	young
21c7c268-6721-4a37-8122-d3ec92b0c94c	268	255	118	35	;
3d7befe9-386b-4fe2-b561-c6916c509c3c	390	255	66	35	and
60b49748-e559-4346-bfec-6a2046a5130b	460	255	83	35	they
ff716a23-2ff3-49d7-bdf5-d8d0d3bb1111	547	255	118	35	delight
9042f48d-19f8-40d9-815b-6bd8b95c331f	670	255	44	35	in
394ab43e-020a-42ab-9973-4c7d06b322ad	718	255	175	35	everything
bcc2fe06-6f8b-4137-aa7e-5c1f118fe751	897	255	72	35	save
ad8c68c7-07a3-49be-94ba-b9be57fb732d	139	287	72	35	that
35300555-682a-4e87-a667-d5e7a244da9a	215	288	98	34	which
51d31916-f92a-4427-ad1a-334017629fce	317	288	38	34	is
6fac4a33-7e7b-4c7b-b3da-1db4bef9476d	360	288	93	34	good
a5f31add-e52b-40a9-be3b-e77aa70b522d	360	288	93	34	;
fdf5d089-6610-4d59-8bc0-ccc32f956b88	457	288	64	34	and
131cfcab-e7f2-47f8-a4f2-229d1eaedae2	525	288	59	34	the
f14320ae-ab82-440c-8ea4-00f483dbd68e	589	288	157	34	sufferings
0c5f6220-4641-48cd-9bee-5f173bbeb93e	750	288	38	34	of
9247d407-160e-45d1-8baf-350907d89b8c	793	288	64	34	our
4c75fe52-892c-4f34-9a47-4cd455e1d0fc	861	287	105	35	women
95bc75ea-2dd8-4270-8b13-07b1aca0e6e1	139	317	62	38	and
6eeb0d9d-d9e9-4a43-a77a-4052de0d6da0	205	317	62	38	our
d53d5f89-14ea-47ce-bfe9-fe04c629a454	272	317	133	38	children
a231b249-948c-4311-90bc-b4802c4f79d1	409	317	81	38	upon
7c49c859-0503-4269-8492-8a1e65d77681	495	317	47	38	all
c41c1a3a-6bf0-4ffd-9199-f3301864fb58	547	317	57	38	the
074357ed-055e-4efb-95c7-74a8c0e7e564	609	317	76	38	face
94cfd16e-ab98-4374-a686-76c1feeae960	689	317	38	38	of
0ef26b1f-0e57-42a3-97af-7880504cb2a7	732	317	66	38	this
effa02b9-37cd-43ea-8348-9ded140bc2f7	803	317	85	38	land
67e0219b-d38f-4bf6-ae9b-f9fe5c280ef4	803	317	85	38	,
0199cb0e-478e-44a0-be28-0eb6c77fc9cd	893	317	73	38	doth
53c3f899-00b7-463e-8614-d7d73e727adb	139	349	111	35	exceed
6633e80c-792c-451e-93c2-3200ef56960f	254	350	195	34	everything
3e483e19-b022-4bee-9bbd-b50285ab515e	254	350	195	34	;
423a70d0-dc7b-4d32-ab7f-730aca131e56	453	350	72	34	yea
e9ac506a-14cb-48c2-85ee-90908af6a56d	453	350	72	34	,
20d9ad64-e89c-4769-8bcf-ff07cf2d13c9	529	350	119	34	tongue
7751cc03-bf91-4b8c-a34d-668e6b9362e8	653	350	115	34	cannot
f7f373bf-7b3b-40dd-90fa-23e59c6da027	771	350	76	34	tell
ef302f60-0c5d-4908-82c9-fa9dd32cbfe0	771	350	76	34	,
d5b785ff-336a-4bb6-8315-94d797a019c8	852	349	116	35	neither
d26af3c4-9075-4c44-b96a-b00174b1cf4d	139	382	60	30	can
54a57dc6-8368-4076-9534-73cdb6ead2e1	203	382	37	30	it
32ebd9ae-7759-45ac-8205-f6b78f99c461	244	382	49	30	be
f515cb15-b027-444c-9bd1-e1e444d45489	296	382	127	30	written
387a72b3-21fb-4ec3-a033-8412156da563	296	382	127	30	.
63405a7a-0e59-4dfb-88dc-887b8424fde8	183	411	67	35	20
fe2d2ad7-088c-401b-ba6f-a97afb602b21	183	411	67	35	.
cc59d949-d4f1-4574-9ba4-28c482ee3ccb	255	412	68	34	And
30f2a4e8-427c-4961-a3ec-1d7c94629e36	327	412	81	34	now
283a0e8e-196b-412e-a513-a3ce9f33d822	327	412	81	34	,
c4feb8a9-7e38-4184-9692-2a5802bb6830	412	412	55	34	my
9e17c224-d822-4068-a826-bc2113db7ab0	472	412	68	34	son
99a85c27-3a32-432e-85bf-3c8bb0af0b9c	472	412	68	34	,
7e1cf0a6-2d8a-495e-9ee2-66a1e1f66091	544	412	21	34	I
ea3185ed-5ef0-4aba-aaa5-4021cacece5d	569	412	89	34	dwell
e35f380a-2c69-4ef5-bf27-5f915d31f1c4	663	412	47	34	no
0b1325cd-f099-4e66-b54a-efa65c3b9d58	714	412	102	34	longer
1bad9bee-e0a1-4b89-84ae-990bafd4bbc5	820	412	81	34	upon
1a3d59a3-f387-4108-aa25-b4fb35746ea4	905	411	64	35	this
cc030b46-ccd4-4fde-bf8e-098103c29b7d	139	441	127	35	horrible
cf9009d3-3cea-491f-95d9-7b03a5e6ba42	270	441	114	35	scene
c2a946e8-4c26-418e-819c-04c1a9bdbddb	270	441	114	35	.
b97acaea-072d-4ab4-b318-6d581c81b97b	388	441	122	35	Behold
5ba36eb4-a9e2-443f-b207-970e31f7780d	388	441	122	35	,
41e08484-bf62-4bcf-a884-eb25adfe100b	515	441	74	35	thou
f1b28996-41a7-4fbe-a1aa-851ee83f337a	593	441	135	35	knowest
28c888e3-ec25-42fa-802a-17cc7cf95e5d	733	441	57	35	the
b3e0dd78-942e-418e-bc33-817e1bc03f3e	794	441	174	35	wickedness
a1e40a81-55f5-4f49-91dc-81ff1cb9a257	139	471	39	35	of
32adfa5b-9921-432a-abe1-7b4ea32b5c98	183	471	70	35	this
5cd889ed-72ba-468d-806d-5a336ece2b88	257	471	122	35	people
adf89485-933d-48a0-bec8-84a4a75c9911	257	471	122	35	;
a2543491-64c7-4822-92cd-36a94fe08113	384	471	79	35	thou
8a0166f4-c820-4f17-8db2-f4a0e8bcd238	467	471	140	35	knowest
8e48c02d-9516-4f4e-bc4e-7268be64b7d6	611	471	79	35	that
2682767f-0ffa-419d-a8e9-b0a0e0312d24	694	471	79	35	they
6bf484b4-9b48-4327-8299-754989d1a72b	777	471	66	35	are
7a7cd5d7-5cf3-436f-ae40-730672ca835c	847	471	122	35	without
a17e2109-23d3-488e-b30c-d122610dc85a	139	503	149	35	principle
5dccc8f4-e4b6-4d5b-b145-54e744013727	139	503	149	35	,
a00ddde6-9c64-4f55-8ff6-95ec8d1bc593	292	503	61	35	and
edf6a022-f717-49b1-8b17-c655c93b5ed1	357	503	70	35	past
a54e78e3-20ca-4922-82d0-b7e1ab43f7b3	432	503	127	35	feeling
5cc63736-efff-4773-8592-e0f28535fae1	432	503	127	35	;
46ec8323-e202-41d4-8ae1-3d81e12b6dda	563	503	61	35	and
a6e44fa9-9463-4962-b66b-2794c7179789	628	503	83	35	their
40d9925c-bbce-4d13-afe1-50b247986fa5	716	503	179	35	wickedness
1f596ab2-491e-40dc-b439-36fbca8830b0	899	503	67	35	doth
cc96177a-2557-4147-a45f-02886ec9f3d8	139	530	106	35	exceed
56dc88b7-89d9-47d3-84e3-b134ed6e2de5	249	531	68	34	that
4446388c-1df0-42c6-b29e-bf50b4ab701e	321	531	34	34	of
398cb5a7-d565-4b06-b091-f25680239e11	360	531	55	34	the
843f2e62-0695-4115-89bc-6a0cb95b9557	419	530	175	35	Lamanites
76f15302-50e1-48fc-9ff8-4ca16afaea0d	419	530	175	35	.
6e1d4a8e-2f3e-469a-b549-2449e0c92ebd	186	565	66	35	21
1aa11088-3ccd-477f-8a5d-7fb98213aa95	186	565	66	35	.
792258ec-454b-4206-ad0c-3b593d14bc18	256	565	127	35	Behold
763c6e5e-abc7-4e49-9932-477415812bf9	256	565	127	35	,
1a2f18da-df29-4b3c-a7ec-647db7be7179	387	565	66	35	my
b76c2527-e439-4d4b-8d64-e997bdd98a7f	457	565	74	35	son
b5170dd5-6f80-4b96-a827-d4a4cbebd33f	457	565	74	35	,
10db4b14-6462-4c59-952a-8d2c81357abd	535	565	31	35	I
172d5749-e463-4b20-bfda-50f2e01d50d2	570	565	118	35	cannot
61644dea-ef86-46eb-902b-40c280aea5e3	693	565	188	35	recommend
8376d6d1-26ef-4bac-b379-721b9bd8b37d	885	565	83	35	them
7ea47b9c-8a23-4bed-9664-2e00b6dbd75b	141	597	76	32	unto
f8bd6a15-56e2-40b8-b7be-908c7a6a1578	221	598	64	32	God
2621f1e0-739d-4fce-ae14-1b93117e9b20	289	598	68	32	lest
44dd7acd-ac17-4f99-9a63-0ba22ab330db	361	598	44	32	he
0455a92a-5ac9-4420-84aa-f058127aed03	409	598	108	32	should
06e4a36f-1a1e-4b79-8794-92137005ee81	520	598	92	32	smite
d621b403-0c25-4591-91e2-eb50eebe3c90	616	597	60	32	me
1e000910-5429-4f0b-beb7-931fd0e9a763	616	597	60	32	.
419b3cfe-67ce-4d7c-9834-6fe309232edf	186	627	61	35	22
5d12c8a9-beaf-4b32-aa8a-231a36285d1d	186	627	61	35	.
e16b344e-e172-486f-9d2f-a24eb1ad7d9d	251	627	70	35	But
c72d5228-7fde-417c-99d6-4982cdd32294	326	627	122	35	behold
c1f15ef2-643f-458c-abb4-5fb6cf5bfe3c	326	627	122	35	,
e4611944-70ed-4874-a030-aaf6c697202f	452	627	57	35	my
4a35246d-3320-4430-bcde-0df7b57776d9	514	627	74	35	son
14e5baa5-3e13-4e39-ac5c-97cb3e7ee4dd	514	627	74	35	,
a8dac890-8edf-439e-be13-8cad63b0c2cd	592	627	26	35	I
14580fcd-75a8-48b9-b667-ee651d73b6f0	623	627	188	35	recommend
df7a61bc-6fcb-4b88-88d4-b28edf175920	815	627	74	35	thee
0940e839-b06c-4eab-9030-3e85962a194d	894	627	75	35	unto
f8959beb-b4c1-4b0a-a3d6-e0d29a18992d	141	659	72	35	God
14d933af-d27d-4a2b-bdec-e277775c60fe	141	659	72	35	,
