ID	X	Y	Width	Height	Text
f1ff7814-84da-4af1-a1ce-010858a9f9c9	66	70	40	16	ОНАР
cf8686ef-0acb-4dac-ad46-cf798c041196	66	70	40	16	.
48b474b8-b4c3-4706-8e9d-6ef00622ea71	108	70	12	16	V
da572711-4abc-49be-8dfe-6f2baa4d59db	122	70	10	16	]
d7bd13e5-ad67-4993-914b-890adf6622e0	202	70	49	18	BOOK
28d380cf-1285-404b-ac05-32c959a65a74	254	70	25	18	OF
f785b5a8-30dc-446c-b7d1-657ac51470b1	281	70	77	18	MOSIAR
bf4d48b7-1bf0-4474-bf0c-a397ace03849	281	70	77	18	.
0163c69f-c297-41b1-9224-32f2d51e8f9a	456	66	34	18	159
7408bacc-bbd0-4e28-9125-1dc15cda771a	66	98	36	18	were
e8cf6477-f61e-419a-af19-15281f9bd562	104	98	65	18	cankered
e0a14199-6448-4784-9137-a94d90d11e8b	172	98	34	18	with
75840779-949b-464c-9091-329b2e3d8467	208	98	36	18	rust
af3b0e72-f45d-458b-816a-6843c64265df	208	98	36	18	;
754965ec-abdf-43df-9c71-416021749776	246	98	27	18	and
2b16c8f4-228a-497f-9370-213facea4a58	275	98	36	18	there
029f8353-5789-4bfa-b958-e70bd7775d9d	314	98	16	18	is
9c7de995-71d8-4cb1-9723-2980e86583cb	332	98	18	18	no
83a6ce0b-b4da-4dd5-8b42-18ae6eb1523d	352	98	27	18	one
d189b9c0-7fbe-4647-8b06-9e4a8c32a18c	381	98	16	18	in
001a61c9-0434-4261-a62e-1d8ab7a75c6b	399	98	25	18	the
988db7a9-f908-4772-9ea5-1cf812269d7c	426	98	31	18	land
60ef0d11-4164-4956-95bf-b7c1d02532bb	460	98	32	18	that
0ad9bda2-62c7-4aa2-a546-9cea6024f852	66	114	12	16	is
36593a02-0f51-4f53-9920-581a60454fc0	80	114	32	16	able
e6f7ffce-83fa-447c-9476-65e71494b434	114	114	18	16	to
3de31fe7-90a0-4c52-8c33-de9b1db20007	134	114	62	16	interpret
8311c5d9-70b5-448c-8af9-46fd4a353743	198	114	22	16	the
b11c5f52-4696-4e11-937b-75dd9e937310	222	114	62	16	language
07b5352c-dcd6-45c5-ae80-d6910404dc1b	286	114	18	16	or
9bbc373d-7c74-4bb2-b45c-2e5f3cb0baaa	306	114	26	16	the
8a9f32bb-c369-4175-8d95-7ac3c2f64149	334	114	74	16	engravings
545f84b0-d1ab-4e07-84bb-5af1dcd0e838	410	114	28	16	that
28e45ffa-df0f-4b86-b1c0-af2dd010b22c	440	114	28	16	are
f139cff1-3f5e-480f-bce8-d261a8944106	470	114	20	16	on
650d90f5-cc34-409e-8c9b-e9ab4b27b663	64	129	25	18	the
c9d22731-1360-478e-9b83-08f32762a3fd	91	130	47	19	plates
74303c79-826e-4589-8d0d-967d1f27e539	91	130	47	19	.
4facdd79-878e-40ae-a043-290d750002f9	152	130	70	18	Therefore
674238b2-d514-4b23-b6ef-30c0e5b8359f	152	130	70	18	,
34639534-ee75-451c-8b6f-14c428cf250d	224	130	9	18	I
a5f76538-c1b1-4ca9-8a53-e2c5dbcb5e67	235	130	32	18	said
4bb1b8ef-5969-4f93-8ed4-d0b6e547f0cd	269	130	32	18	unto
9afed1c9-e7f8-49b1-9074-dc42b2792dab	303	130	36	18	thee
da7acdc6-2ae9-4b8a-9134-d75aecfcbb71	303	130	36	18	,
537d152d-eb0e-4399-a020-e227648b7ffd	341	130	40	18	canst
79faa2e6-0401-4b0f-9b11-45c043cace67	384	130	32	18	thou
d6d449c7-e7a3-4f82-8c02-9a04713c494f	418	130	61	18	translate
5c77ff05-6bf0-4221-9c91-12de2e55af91	481	130	9	18	?
ce3ce68a-b19d-45e6-a0a1-726be7238d4f	66	144	33	20	And
07d7eb9c-fe86-4419-9716-1b3fa1785d3d	101	144	12	20	I
68d572db-f084-4e6c-bdfa-ad0bdea22b7a	116	144	25	20	say
26720c46-bd21-4510-8d9f-4fb93e1ef701	144	144	30	20	unto
