ID	X	Y	Width	Height	Text
aafe8272-77f1-4e99-bcea-2f3440cb2a62	88	66	28	14	268
cb715efd-d86f-4b6c-8ed1-9a1feaa60562	258	66	37	12	BOOK
6f221c21-9d94-48b9-b1c4-108aa1e8187c	297	66	21	12	OF
d88b16bb-3132-4ac0-8c31-a06d5dfe3676	320	66	57	12	NOSIAH
56b08277-4e1e-459a-93e3-dbd8f33b69eb	320	66	57	12	.
0b1ae8ce-1386-4f23-8ec1-d60af1937f15	442	64	49	14	[
325a103c-5aa9-421a-a6c1-96b9aa9d5a77	442	64	49	14	OHAP
8c07a1b5-99a6-4083-b49e-3780fca2186d	442	64	49	14	.
b0a2c8c1-ab9f-4e0e-aa07-f825ed897ccb	493	64	35	14	XXI
a3d4aeb0-e38a-4e07-a6ed-67088136fe8a	493	64	35	14	.
20bd52ea-d2a3-4cca-bcd5-c0cd662acf21	90	92	24	16	ing
1afc9e14-7968-43da-84cd-49587ef9c0cf	116	92	24	16	his
885f7d49-9763-4760-b296-332af8eabe9c	142	92	48	16	father
69fbb4ec-8d1b-4947-89fc-137144b7021a	142	92	48	16	,
614277bb-bb2a-4c72-ae62-496c436a7006	192	92	30	16	and
b9095915-5942-4387-8cea-eaa755791b46	224	92	26	16	the
9ba1196a-841e-4659-b643-ca93248bca75	252	92	60	16	priests
e618eb29-120d-48d6-8931-0e8fecb291b1	314	92	32	16	that
76e5ce76-365e-49af-bab9-a64df2c5b44f	348	92	30	16	had
5c438f07-4cb3-4e97-b34e-35b76b6fdba3	380	92	28	16	fled
42c62302-8bd6-4f61-a14f-d47150aa92f5	410	92	32	16	into
867a0406-1c49-465b-96c2-8c8ee4325e66	444	92	26	16	the
cb05c74d-c1c4-4083-b9eb-800e4c5ae48c	472	92	54	16	wilder
9638b555-538d-4c90-9ccb-1466b86bedc9	472	92	54	16	-
28ded72a-563b-425f-9467-b5c738049a7d	90	106	34	16	ness
cfd19324-5bb9-454a-8fb4-97ee6c0aacf2	90	106	34	16	,
a895b094-8bef-492b-8ed6-8d2d04814d51	126	106	30	16	aud
2b941592-dcb3-4e60-8af0-b231a7e86526	158	106	74	16	attributed
e634ef9a-b562-4a20-b653-2bbd49de880e	90	122	16	16	to
c329e122-5ea9-4984-b2c8-caaa64244d5c	108	122	46	16	them
