ID	X	Y	Width	Height	Text
f1a39aff-53a1-44ac-a153-d1846d397dfe	92	81	66	23	CHAP
07b9f0b4-fad7-4ebc-bd1b-f7c5767f70a4	92	81	66	23	.
902af84f-c54b-4cb3-9667-e03dd9cb8ed0	161	82	59	23	XIII
268022ee-f277-493d-8a6d-63c935fe22dc	161	82	59	23	.]
2bdddc28-4df9-4d55-b793-1fd6a16d6f19	352	84	38	20	III
42885957-a8c9-47fd-9e40-84cd1e017db3	352	84	37	20	.
d018a0c0-2de4-4dd2-9b1f-d5286e7169a0	392	84	76	20	NEPHI
3f44041b-a7e8-4100-9dad-80f1c79b5a22	392	84	76	20	.
d7afa734-fab4-47b6-b63b-14c4519f8577	682	78	36	24	517
e77efb4b-59a5-4823-b66a-9bac174180f8	90	118	48	48	puts
5f9477a1-4dda-4cef-820f-0ddf030bd5e7	144	118	60	48	eule
ea7cfbb0-a37b-47d3-98be-97768c79d7a8	210	118	30	48	to
f1269e79-1924-4302-9abd-9d01b8685c90	246	118	60	48	wife
affde5cc-c49c-405c-b505-28da847c16bd	312	118	120	48	taintero
b8677fe6-6a73-4508-b752-f6618edc079f	312	118	120	48	;
716f1e78-6a4b-42f3-b509-3c6a966f2762	438	118	36	48	the
f3b69172-beca-486d-b90e-152a006fe6cd	480	118	66	48	cause
ca21f166-15d3-446d-9054-ccfaf8f79cd7	552	118	30	48	of
f35ea70a-d6cc-4fe7-bf6b-49110b89ca4f	588	118	132	48	foriation
a83013a7-fdd9-4f64-bde1-28fda2c83962	588	118	132	48	,
bacaed7a-9e4a-47fd-bcbe-09a343f003da	94	158	45	26	who
c5d9bafc-e52d-4d9c-a239-4e698d6f731b	143	158	19	26	is
8e744806-5392-4388-a499-f5cd0e29a9b5	165	158	97	26	divorced
9fc1da39-abef-404b-8be5-1fd49cae50fe	165	158	97	26	,
4f614eab-d585-4b5e-9acb-c6943f08fa96	266	158	123	26	committeth
0ee291e8-e203-43cf-b263-6f1be8abb7cc	393	158	99	26	adultery
a4cc32e9-869d-4520-b80e-b1f45ad356ec	393	158	99	26	.
67081285-c59c-40af-9c46-1f74ae7c2c73	130	178	36	26	33
96e64975-adda-4715-96ad-7f0bee2ee664	130	178	36	26	.
e6123907-717c-4f48-8c59-bd83248e952f	169	178	49	26	And
728d0546-84a3-4f96-8471-2ba6f48f8c83	221	178	68	26	again
721cfc8e-656b-4ee4-bd51-deda9a19b64a	292	178	23	26	it
d92ac4ed-680a-4473-b4aa-d7631b4af036	318	178	26	26	is
4b59ac79-9bec-48c9-ba36-5a64c69438ad	348	178	91	26	written
56fe8cb3-a10d-4b58-b385-086eab919fa8	348	178	91	26	,
005876d7-96db-4c49-8610-aefe37b2fe43	442	178	58	26	thou
1235985d-926b-4fff-a6b9-6714c917107a	500	182	67	18	shalt
d860e48b-10c4-4bc8-ad92-cc34810a61d8	570	182	50	18	not
365e2bad-12e6-465e-a09b-887a1835d93e	622	182	97	18	forswear
e6cd862f-6d6e-418b-a1a5-91cd9d7b842a	92	200	69	46	IsH
4e582673-b8d6-4a9a-add1-200b5369cabe	92	200	69	46	.
0a4a8387-dd7d-4598-b1aa-8a3a54b4a6cd	167	200	46	46	But
076b10e7-77ae-45bf-9b73-a48f236b7ee7	219	200	69	46	veris
3a477b78-0bcb-4964-9068-fc159d3391d4	219	200	69	46	,
6e1f063c-9979-4a9d-9235-f4d963032974	293	200	63	46	very
ea5ef335-80fe-4fc0-815a-57e8b59434c9	362	200	6	46	I
1f201ad1-003f-4ddf-8079-411e6849f3f8	374	200	40	46	sty
48f6e398-f99a-4c4f-add4-29c780b5c683	420	200	46	46	wto
60187b3a-50f3-45f2-8b93-af2890535728	472	200	52	46	son
f6e399bf-58de-45e4-a26c-c12a70ba3573	472	200	52	46	,
535e55fc-dab7-43c7-a39c-85f10e1af95a	529	200	63	46	swear
e80e6556-df7e-4ade-b42e-3d5b7f074b80	598	200	40	46	not
d230e4c6-17ae-465e-96a4-30a88b1aa788	644	200	23	46	at
158bc684-93a0-45d4-94af-f20b8a226adb	673	200	47	46	all
65fe7f73-d8ee-4fe8-99cd-4723d2c36ad8	673	200	47	46	;
353dde07-ba72-4e8a-a48f-e3152b367e90	94	241	79	22	neither
13f512a3-15d0-4398-91ff-39bb75889985	175	241	29	21	by
3f961afc-c23c-46d4-b5e7-93d7d4efceee	207	239	82	22	heaven
8bde2233-e196-491e-90e4-222c99b0cef7	207	239	82	22	,
bf964fa1-8b18-4a38-8edd-7fc6b252b228	291	239	34	21	for
f4433b10-e7de-4d46-a27a-587373ab6b2f	327	239	19	21	it
0f1a0720-911d-4bf2-8c06-b16b5db791e3	348	238	24	21	is
2c6d1ae6-e4a3-4566-9c26-c9f00d486554	375	238	58	22	God's
90dc3619-4f9b-43aa-b530-472e33b1ccd3	435	236	87	23	throne
c3116461-a8f6-4a24-b941-75dfc4347fb9	435	236	87	22	;
