ID	X	Y	Width	Height	Text
f9446159-d2bb-4868-9bc5-8d680bd201d3	97	63	22	29	2
0b9a9b27-0d61-4132-bf3e-ad5cbe83f198	122	63	105	29	NEPHI
56132b9c-9fb4-4519-953e-d5d34218ca16	231	63	132	29	16
6187a9a2-92a0-44bb-ae68-eab8eb301af0	231	63	132	29	:
0cf0b016-aab7-4dcd-a0a6-643dd3d001d4	231	63	132	29	1
b376a8f3-fa71-4b81-aa21-28e266b9d298	231	63	132	29	-
7365ff5f-4338-4b56-b298-46ebf18986bc	231	63	132	29	17
b63f2c5a-95fb-46cf-b262-fef1e41fa8d9	231	63	132	29	:
ce9e21c1-5478-4ac6-a605-9fe8a68cc75c	231	63	132	29	3
8cbd4676-53b8-4182-93a0-0db85280f9fd	1061	60	44	29	86
5709a8b0-c5b3-4d2f-a37d-d61ba1caaa80	97	126	55	31	sea
4c5a3af8-cb63-41ac-85f7-1c435b7bf89f	97	126	55	31	;
65a863d4-86b6-453f-9b5d-4f63a27b127b	155	126	58	31	and
c8a2bb99-5b95-45e2-90b8-97bfafd5e8b1	217	126	23	31	if
dfb2e560-85f8-47f3-91f1-251659ca016e	244	126	66	31	they
31d1673f-6ae5-4cbf-9bfa-b2ecd29c2bbd	314	126	66	31	look
b9d7a2a0-06b4-4a22-9497-4eaf34bd9a4f	384	126	66	31	unto
9f0ce4e0-3fd2-4309-a64f-bab0f289121e	454	126	50	31	the
5e20ffed-c9ee-48c9-acf0-49f089aa8e0e	508	126	78	31	land
fd7cee24-3043-438c-91a8-fdab8ba8d8cb	508	126	78	31	,
55f60ff3-d1ec-40ce-9062-0675787fab73	97	211	53	29	ens
a790d4b4-7238-4871-aa52-b4e058edf2d0	153	212	117	30	thereof
ef385cec-3c78-4bf2-a55d-15a0b3b977dc	153	212	117	30	.
126083cc-7b4f-4dff-962c-410a9a1e335d	243	269	155	27	CHAPTER
e5d00f77-3ada-4552-b740-b7133ff85cb0	402	269	38	27	16
692e005b-af92-45c4-9739-0d0154a0bea2	97	314	85	26	Isaiah
ae9d2a20-b67c-440c-94d0-5cc99e41a6d0	185	314	52	26	sees
abf7aeac-1030-4e2f-9447-f79b25cec817	240	314	42	26	the
0fabe807-d680-40d3-b63c-a35c14fed0df	285	314	195	26	Lord
6155707a-b54d-4542-8fbc-511d96ea4558	285	314	195	26	—
