ID	X	Y	Width	Height	Text
a237525d-24aa-4866-be7c-debf74cf21f0	401	40	125	58	FIRST
c02bab44-460f-4afd-b87d-bdc2b191c170	531	43	132	58	BOOK
b9d4abe1-731b-4137-a49a-367af161aacd	669	46	63	56	OF
3acb4772-e4f2-4fcd-8acd-867c3fcfdb44	737	47	158	59	NEPHI
d6101e37-63d1-4f86-be41-f007993b8121	737	47	158	59	.
31afd68c-8d94-45ad-96ef-f7551abe1459	61	144	88	52	saw
5a84d8a3-478d-443c-ad44-c748e2879350	154	145	88	51	that
8baf9417-c5e2-4950-a189-23687877a3d3	248	146	75	51	the
5f324c74-5b34-4bbe-868f-76d8208475b0	329	147	119	51	blade
c97de720-876b-417f-9d71-69b76f274e5b	454	148	157	52	thereof
9b44b6bd-da45-420c-b27c-3c181d3aa890	617	150	82	51	was
08f1c193-6670-4e26-8b42-64fc6fc68d86	704	151	51	51	of
099e3fd6-a577-4f87-aaca-8fa765822abd	760	151	63	51	the
32d4d6b6-d7b9-45c5-8a85-6daeb4c2635f	829	152	107	51	most
e72bc6f2-5819-4d08-9c09-78b33b76d75a	941	153	175	52	precious
74978b60-3988-4f5b-967b-cd14c8aaf94a	1122	156	112	52	steel
4fdd2384-d37a-4dea-8edc-0cc17269f0d0	1122	156	112	52	.
4617668b-5de5-4c1c-aff4-2a2236fd754b	92	193	111	53	•
818d4021-4311-4208-8b99-7ffb0323df55	92	193	111	54	And
ed52a6ab-a14d-4d60-ae13-9e482df73f3a	208	194	39	52	it
260bd466-899d-4d4d-89df-4a6e3bbad0c5	254	194	111	53	came
46ed480c-d355-41ee-8948-029c277bd414	371	195	52	52	to
9c45f8f4-decd-4c5f-97c8-a1fc9446b671	429	196	91	53	pass
19923471-a0d1-488d-b900-e25cd9abbbd4	527	196	91	53	that
3a228768-2571-474a-83bd-f7e9a7153a38	624	197	20	52	I
eff2bd89-e11e-4086-801a-77929c088bf4	650	197	85	53	was
8d5aad3c-e72d-4f2e-943c-88136d236fb1	741	198	241	54	constrained
1e01953f-3684-46dd-a833-97afb010a600	988	200	52	52	by
2c87d90b-0374-4f3c-8d28-4279baa78213	1046	200	65	52	the
7e14b774-ca24-4acf-be0b-90de60a671e2	1118	200	117	54	spirit
ba2e1b08-13fd-4c1b-8cc9-9f485593038e	60	228	87	56	that
1aabf483-d88f-41f8-87ab-fd063f6de12e	153	230	180	57	I'should
1af84071-b6de-4812-9f0a-f178a0e47e83	338	235	81	55	kill
921bafc8-fea3-4d66-8ef0-ddd73877a60c	424	237	173	57	Laban
b133ab2f-d161-4a08-a455-3334b466b493	424	237	173	57	:
76419b68-ebd1-4808-8113-ede8612a30ac	603	241	87	55	but
d1d03b4b-fe7a-44f8-b85b-aae03f720099	696	243	41	54	I
b288a6e5-17ac-41bd-8504-50923ffdc6b6	742	245	94	55	said
9f979fcc-d579-42d2-84c0-26852cba36e4	841	247	48	54	in
7c75ec11-8870-40d0-9ebf-041db3414212	894	248	74	55	my
8f2057cc-3f9e-4a38-94bb-d4e2dbc86d8e	974	250	134	56	heart
e2dd23b7-f0b2-4fd6-acc0-b8b24473e6af	974	250	134	56	,
30e926ff-c744-4cf0-9ac6-6dc18f4a9c7c	1113	254	122	56	never
deb7b215-e4fa-476b-8f5c-091c42f3ce49	54	286	72	116	and
5c38b1f5-7b54-4c82-98a4-cd298d6a2242	141	286	130	116	would
